% Model:              Cav_Hex_Unif_flux_v5.1.1 - Lin. Distn.mph
% Version:            COMSOL 5.5.0.359
% Date:               Dec 9 2021, 14:48
% Dimension:          1
% Nodes:              388
% Expressions:        6
% Description:        Line graph
% x                       Height                   Height                   Height                   Height                   Height                   Height
0                         14645.119300093866       21780.735080299193       21780.735080299193       21780.85420775658        21780.85420775658        21780.85420775658
0.1291989664082689        14645.119300093866       21780.735080299193       21780.735080299193       21780.85420775658        21780.85420775658        21780.85420775658
0.2583979328165378        14645.119300093866       21780.735080299193       21780.735080299193       21780.85420775658        21780.85420775658        21780.85420775658
0.38759689922480667       28682.352613598596       19861.244109359635       20815.277244006305       20819.943410743144       20819.943410743144       20819.943410743144
0.5167958656330756        42719.585927103326       17941.753138420077       19849.819407713418       19859.032613729712       19859.032613729712       19859.032613729712
0.6459948320413443        42719.585927103326       17941.753138420077       19849.819407713418       19859.032613729712       19859.032613729712       19859.032613729712
0.7751937984496132        38604.06392509013        16394.85979645321        18363.250223093804       18381.109882045137       18381.109882045137       18381.109882045137
0.9043927648578822        34488.54192307694        14847.966454486344       16876.681038474188       16903.18715036056        16903.18715036056        16903.18715036056
1.0335917312661511        34488.54192307694        14847.966454486344       16876.681038474188       16903.18715036056        16903.18715036056        16903.18715036056
1.16279069767442          26111.464629663853       16235.399713405248       18651.46963578274        18792.243805597594       18793.758478177733       18793.758478177733
1.291989664082689         17734.38733625077        17622.83297232415        20426.258233091292       20681.30046083463        20684.32980599491        20684.32980599491
1.4211886304909576        17734.38733625077        17622.83297232415        20426.258233091292       20681.30046083463        20684.32980599491        20684.32980599491
1.5503875968992265        16396.08721131053        19544.747706275215       22043.505933703855       22247.150760773744       22248.665433353883       22248.665433353883
1.6795865633074953        15057.78708637029        21466.662440226275       23660.753634316417       23813.001060712857       23813.001060712857       23813.001060712857
1.8087855297157642        15057.78708637029        21466.662440226275       23660.753634316417       23813.001060712857       23813.001060712857       23813.001060712857
1.937984496124033         25862.35945028934        24208.289724672395       26055.938865096192       26132.072370086793       26132.075145242445       26132.075145242445
2.0671834625323022        36666.93181420839        26949.917009118515       28451.124095875966       28451.14367946073        28451.149229772032       28451.149229772032
2.1963824289405713        36666.93181420839        26949.917009118515       28451.124095875966       28451.14367946073        28451.149229772032       28451.149229772032
2.32558139534884          35763.676619529935       23904.177502818537       26833.863003639224       26837.48711341926        26837.493314693005       26837.493314693005
2.4547803617571087        34860.42142485148        20858.43799651856        25216.601911402482       25223.830547377795       25223.837399613978       25223.837399613978
2.583979328165377         34860.42142485148        20858.43799651856        25216.601911402482       25223.830547377795       25223.837399613978       25223.837399613978
2.7131782945736456        42457.879115057876       24806.436539501425       28568.170795396807       28576.371611341838       28576.38171605128        28576.38171605128
2.842377260981915         50055.336805264276       28754.43508248429        31919.739679391132       31928.91267530588        31928.926032488584       31928.926032488584
2.9715762273901842        50055.336805264276       28754.43508248429        31919.739679391132       31928.91267530588        31928.926032488584       31928.926032488584
3.1007751937984533        41037.88761580546        20301.591051341136       24141.05174384694        24145.669599640707       24145.67627823206        24145.67627823206
3.229974160206722         32020.438426346645       11848.747020197981       16362.363808302744       16362.426523975537       16362.426523975537       16362.426523975537
3.3591731266149902        32020.438426346645       11848.747020197981       16362.363808302744       16362.426523975537       16362.426523975537       16362.426523975537
3.488372093023259         23797.974279271024       15012.39627747474        20627.02882513216        20627.885755812356       20627.905754407468       20627.905754407468
3.617571059431528         15575.510132195399       18176.045534751498       24891.693841961576       24893.344987649176       24893.384984839402       24893.384984839402
3.7467700258397962        15575.510132195399       18176.045534751498       24891.693841961576       24893.344987649176       24893.384984839402       24893.384984839402
3.8759689922480653        17098.276408142407       15639.154626569603       21749.699475441277       21757.01390773086        21757.07299882151        21757.07299882151
4.005167958656335         18621.042684089414       13102.263718387709       18607.705108920978       18620.682827812543       18620.761012803618       18620.761012803618
4.1343669250646045        18621.042684089414       13102.263718387709       18607.705108920978       18620.682827812543       18620.761012803618       18620.761012803618
4.263565891472873         19250.72425051735        15000.744407517863       20200.27792962705        20206.902599528014       20206.941692023553       20206.941692023553
4.392764857881143         19880.405816945284       16899.225096648017       21792.85075033312        21793.122371243484       21793.122371243484       21793.122371243484
4.521963824289411         19880.405816945284       16899.225096648017       21792.85075033312        21793.122371243484       21793.122371243484       21793.122371243484
4.651162790697679         25911.21985586187        12159.847225043148       19621.67102772618        19643.115542455726       19643.120080910492       19643.120080910492
4.780361757105949         31942.033894778455       7420.469353438277        17450.49130511924        17493.108713667967       17493.117790577504       17493.117790577504
4.9095607235142165        31942.033894778455       7420.469353438277        17450.49130511924        17493.108713667967       17493.117790577504       17493.117790577504
5.038759689922486         25173.13496606737        10896.419266413186       15466.34416999868        15488.95401807917        15488.958556533938       15488.958556533938
5.167958656330756         18404.236037356284       14372.369179388095       13482.197034878118       13484.799322490373       13484.799322490373       13484.799322490373
5.297157622739023         18404.236037356284       14372.369179388095       13482.197034878118       13484.799322490373       13484.799322490373       13484.799322490373
5.426356589147293         18320.750236784952       23780.63257357529        14142.920646274444       14153.422256890522       14153.444569714293       14153.444569714293
5.555555555555562         18237.26443621362        33188.89596776249        14803.644257670769       14822.045191290672       14822.089816938213       14822.089816938213
5.68475452196383          18237.26443621362        33188.89596776249        14803.644257670769       14822.045191290672       14822.089816938213       14822.089816938213
5.813953488372099         17529.645674638738       30210.33459299003        12569.67096033026        12578.884002270404       12578.919427581635       12578.919427581635
5.9431524547803685        16822.026913063855       27231.773218217575       10335.697662989753       10335.722813250137       10335.749038225058       10335.749038225058
