irradiance,signal,slope_model_K_per_LPM,slope_experiment_K_per_LPM,error_K_per_LPM
256000.0,T8,-28.02174838053177,-20.88606484778701,-7.135683532744757
256000.0,T12_perim,-19.541781567160985,-13.987976018518863,-5.5538055486421225
256000.0,T11_perim,-11.827182406030458,-5.174190237226035,-6.652992168804423
256000.0,T9_core,-19.564088368026457,-13.924381477027032,-5.639706890999426
256000.0,T10_core,-11.211253731694471,-6.148389808009175,-5.062863923685296
256000.0,T3,-8.415734121571209,-3.039355302230513,-5.376378819340696
256000.0,T2,-1.339805011160122,-1.1393701213842518,-0.20043488977587032
304000.0,T8,-31.508098532708065,-23.65036823444102,-7.857730298267043
304000.0,T12_perim,-23.58176766612301,-13.173548257550575,-10.408219408572435
304000.0,T11_perim,-15.750272282318988,-1.9289615808695002,-13.821310701449487
304000.0,T9_core,-23.66261569816207,-13.384545690629912,-10.27807000753216
304000.0,T10_core,-15.086881768352397,-3.67897996265457,-11.407901805697827
304000.0,T3,-12.003526456093654,-0.13175631351821884,-11.871770142575436
304000.0,T2,-2.604242854718572,-2.0439067897339482,-0.5603360649846238
456000.0,T8,-37.2078294955267,-34.14928244526689,-3.0585470502598113
456000.0,T12_perim,-28.78065371654351,-16.81065855368442,-11.969995162859092
456000.0,T11_perim,-20.148366646532264,-1.3657133576718719,-18.78265328886039
456000.0,T9_core,-28.905975702873654,-16.731949144758126,-12.174026558115528
456000.0,T10_core,-19.370958127669635,-3.5441256722753445,-15.82683245539429
456000.0,T3,-16.03703951520569,0.5430107656374393,-16.580050280843132
456000.0,T2,-4.458157091096831,-3.714704533708543,-0.7434525573882884
