variant,irradiance_kW_m2,model_slope_K_per_lpm,observed_slope_K_per_lpm,model_correlation,observed_correlation
apparent_prescribed_v9,456.0,5.38731313428722,17.33862389158247,0.9528879356867295,0.9606473585973468
apparent_prescribed_v9,304.0,7.095491199868424,10.476819976890445,0.9843877046512017,0.8895277435028278
apparent_prescribed_v9,256.0,8.780951965106551,6.898088829268151,0.9950283866527737,0.8889864490590046
graetz_fd361_prescribed,456.0,-14.195781068182946,17.33862389158247,-0.9950324868941434,0.9606473585973468
graetz_fd361_prescribed,304.0,-9.149177910399015,10.476819976890445,-0.9873352910525217,0.8895277435028278
graetz_fd361_prescribed,256.0,-6.102971038580569,6.898088829268151,-0.9910583426503129,0.8889864490590046
graetz_fd298_prescribed,456.0,-14.24117673241574,17.33862389158247,-0.9946034467443713,0.9606473585973468
graetz_fd298_prescribed,304.0,-9.202263741461339,10.476819976890445,-0.986360549998917,0.8895277435028278
graetz_fd298_prescribed,256.0,-6.161805714696543,6.898088829268151,-0.99011654398964,0.8889864490590046
graetz_capuano366_prescribed,456.0,-14.431471981184451,17.33862389158247,-0.9946716906934645,0.9606473585973468
graetz_capuano366_prescribed,304.0,-9.259156000294862,10.476819976890445,-0.9868152765987912,0.8895277435028278
graetz_capuano366_prescribed,256.0,-6.1453233513707755,6.898088829268151,-0.9907799606340852,0.8889864490590046
graetz_fd361_equal_open,456.0,-14.206048429908876,17.33862389158247,-0.995035179375613,0.9606473585973468
graetz_fd361_equal_open,304.0,-9.153988158843163,10.476819976890445,-0.9873437567820563,0.8895277435028278
graetz_fd361_equal_open,256.0,-6.10547376618677,6.898088829268151,-0.9910714816867771,0.8889864490590046
graetz_fd361_equal_groove,456.0,-14.588662077606033,17.33862389158247,-0.9947131097760011,0.9606473585973468
graetz_fd361_equal_groove,304.0,-9.398295789204997,10.476819976890445,-0.9865564742171627,0.8895277435028278
graetz_fd361_equal_groove,256.0,-6.293906033989426,6.898088829268151,-0.9905257085644512,0.8889864490590046
