mesh,simulation_id,T8_K,T12_K,T11_K,T9_K,T10_K,T3_K,T2_K,dp1_mbar
sensitivity,E67,815.963730100616,811.4035774392373,790.7519480310946,812.6603692164982,791.9173006746672,780.9048583022014,350.0956985075227,2.410683806420383
sensitivity,E72,556.9722835764611,545.8100352525307,537.9049286986213,546.2353305087902,538.3370404418677,532.803932321207,316.919581458751,1.4639374340022573
sensitivity,E77,504.40473492426264,498.47274971430573,490.16479172307646,498.790760368306,490.4766631612495,484.4002131167545,312.7365522199049,0.7128395222991624
nominal,E67,814.2661677266143,809.3886194896497,788.3485397946558,810.7060435637904,789.5673364524787,778.3205640137859,352.28210250857876,2.46321945116425
nominal,E72,556.510031486782,545.2671949949961,537.2732385228378,545.7101260486853,537.7238251202051,532.1637524054038,317.6685745476292,1.5220293867389536
nominal,E77,503.93782762669656,497.9468495669686,489.5782877109109,498.27825496556216,489.9022006017239,483.7938403481103,313.2868272321073,0.7434162999467384
