variant,simulation_id,irradiance_kW_m2,mean_flow_lpm,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K,model_T12_minus_T8_K,observed_T12_minus_T8_K,model_T12_minus_T9_K,observed_T12_minus_T9_K,model_T11_minus_T10_K,observed_T11_minus_T10_K,model_dp1_mbar,observed_dp1_mbar,mean_Nu_5mm,mean_Nu_58mm,mean_Nu_107mm,core_mass_flux_kg_m2s,edge_mass_flux_kg_m2s,core_to_edge_mass_flux_ratio,max_groove_dp_Pa,pressure_equalization_error,nz
graetz_equal_groove_betaopt110,E67,456.0,15.2805125,680.0757455989667,931.6279999999999,732.9864214512905,991.103,716.2596326943719,878.055,733.8632182560198,966.6659999999999,717.1664592380924,824.995,707.7357024107366,763.414,339.136347194421,326.43699999999995,52.910675852323834,59.47500000000002,-0.8767968047292243,24.437000000000012,-0.9068265437205127,53.059999999999945,1.9507702986666398,2.712,5.490659800807139,3.763401871879592,3.693474373176822,2.188482164795708,0.8905829974611987,2.457359023285257,146.42049794721254,6.52421988786312e-6,30
graetz_equal_groove_betaopt110,E68,456.0,12.499871559633025,752.919699889438,1012.649,818.8563570171507,1047.717,793.8929856896259,898.751,820.0579840460186,1020.928,795.0231515140314,850.0989999999999,782.1725696465772,773.207,354.9603021512326,338.52,65.93665712771269,35.0680000000001,-1.2016270288679607,26.7890000000001,-1.1301658244054806,48.652000000000044,1.7719072313471504,2.004,5.03767697311981,3.7243733425488714,3.6724120784888483,1.6950518498996872,0.7795378817601334,2.174431659526792,124.04720372338595,3.168370813096598e-6,30
graetz_equal_groove_betaopt110,E69,456.0,10.499733944954128,826.4913248003077,1058.429,898.7410239282693,1070.73,863.2301551483456,896.755,900.2621077648978,1044.378,864.5840268229986,852.837,847.9200426281146,769.76,367.9814369433096,344.308,72.24969912796166,12.30099999999993,-1.5210838366284634,26.35200000000009,-1.3538716746529644,43.918000000000006,1.6199341170383015,1.542,4.728531242465527,3.699166754800403,3.658859054632059,1.3619884896507832,0.6915066689320245,1.9695955958808944,105.85981097686776,4.8851464364832445e-6,30
graetz_equal_groove_betaopt110,E70,456.0,9.107139705882352,900.2255043283657,1152.474,970.0290989270211,1120.277,923.0876039160435,912.173,971.8451349875522,1093.725,924.6418351808021,871.483,904.2151344323422,779.518,382.9792541005037,352.421,69.80359459865542,-32.19699999999989,-1.8160360605311325,26.552000000000135,-1.5542312647586414,40.690000000000055,1.4995584337397756,1.314,4.5170526033510665,3.682645948161195,3.649982616135168,1.1363671396652149,0.6235567800005534,1.8223956119348208,91.81909175042888,6.678915764651351e-6,30
graetz_equal_groove_betaopt110,E71,456.0,7.126846153846151,1044.2561557626059,1203.298,1090.6067955819549,1120.348,1017.1949510972247,882.823,1092.974528781868,1095.306,1019.0788316561861,847.476,991.3919800470564,753.56,410.53255675625365,356.00399999999996,46.350639819349,-82.95000000000005,-2.3677331999131184,25.041999999999916,-1.8838805589614367,35.34699999999998,1.2815043175219496,0.825,4.245810406501143,3.6618936635380677,3.6388581180034074,0.8395732935741916,0.5187394118251997,1.6184875766815725,69.69991515056537,3.5835523164259624e-6,30
graetz_equal_groove_betaopt110,E72,304.0,18.707575757575754,525.5043898319198,737.656,545.9611988006079,797.899,537.894380279537,733.977,546.2872954438815,771.112,538.3267114744735,684.1869999999999,533.0041845064977,652.9549999999999,316.86076788643675,309.928,20.456808968688165,60.24300000000005,-0.3260966432735586,26.787000000000035,-0.4323311949365234,49.79000000000008,1.4359224008205562,2.485,6.2275580757286635,3.839879476232911,3.7349320676053446,2.8063368912055093,0.9624384046462356,2.915861293208719,128.6949698379523,2.9496387085174477e-6,30
graetz_equal_groove_betaopt110,E73,304.0,13.170870967741934,596.1108769808537,837.694,634.4915417177456,894.482,620.1272945456863,791.76,635.0853839420272,867.5509999999999,620.7267544334969,747.4,611.7547493378443,694.626,329.2724085474857,325.12,38.380664736891845,56.78800000000001,-0.5938422242816159,26.93100000000004,-0.5994598878106672,44.360000000000014,1.1421927847121118,1.827,5.359489561717295,3.7546849744580983,3.688745034966945,1.862816125192803,0.780084789397972,2.387966219198333,97.1387460292879,7.102935601837005e-6,30
graetz_equal_groove_betaopt110,E74,304.0,9.023245901639344,713.4246073010636,948.538,763.913007506339,962.509,734.4545846467623,804.0,764.8972614230572,935.491,735.3312125620492,767.8009999999999,720.0443362069541,697.672,346.6319007727683,333.964,50.48840020527541,13.971000000000004,-0.9842539167182167,27.01800000000003,-0.8766279152869174,36.19900000000007,0.8740999940256631,1.071,4.653788583031353,3.6942580221156645,3.6561822742009773,1.1557650968242352,0.6002801577801002,1.925376146195432,67.77423055326364,5.3039553426779605e-6,30
graetz_equal_groove_betaopt110,E75,304.0,6.944410852713178,824.2557535318687,1008.725,867.7721310869347,979.689,820.3405102210542,788.678,869.1022591173105,954.178,821.4484879794333,757.393,800.4361252286817,681.066,362.63803789319195,336.517,43.516377555066015,-29.036000000000058,-1.3301280303758176,25.510999999999967,-1.1079777583790928,31.284999999999968,0.7143989277722926,0.651,4.32684430752901,3.6683002512428073,3.642231568088691,0.8334213019214584,0.4941507581495351,1.6865729500090265,51.08031611610043,8.84889182903526e-6,30
graetz_equal_groove_betaopt110,E76,304.0,4.526673611111114,1042.4008925440398,1067.693,1027.9013924910828,970.472,937.3054069626226,751.1579999999999,1029.8278317061156,947.353,938.7372999837354,726.308,907.3361908689192,647.019,393.3213186601906,338.123,-14.499500052957046,-97.221,-1.926439215032815,23.119000000000028,-1.4318930211128418,24.84999999999991,0.4448790783636354,0.174,4.002486499079832,3.643100235193508,3.6286669337048947,0.496401941673664,0.350461073424174,1.4164253302758485,29.140305546443567,5.541794259380522e-6,30
