phase,simulation_id,time_s,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K
heating_training,E67,0.0,293.3685,296.62199999999996,293.3685,296.25,293.3685,296.35299999999995,293.3685,296.22499999999997,293.3685,296.43399999999997,293.36850000000004,296.686,293.3685,293.39799999999997
heating_training,E67,50.0,775.3431004824605,383.55999999999995,468.4165169583058,341.47999999999996,324.13102318419465,308.99899999999997,471.7972568116513,316.138,324.9895709696331,300.25399999999996,307.6327065784858,299.786,293.3701099803659,293.414
heating_training,E67,100.0,800.6323988829906,540.75,679.0336122242422,473.256,471.63569076746336,376.486,682.6952709409455,420.83,474.0021677422146,346.76099999999997,397.9930074208106,327.39099999999996,293.3835532984166,293.438
heating_training,E67,150.0,806.2701538933518,664.299,751.9529199207557,589.1769999999999,618.2997323529866,445.365,754.9391366394784,529.854,621.3317768373458,403.433,523.5302828369556,354.489,293.4377668814392,293.471
heating_training,E67,200.0,808.8626239821301,748.8409999999999,773.9884939803055,676.7909999999999,693.6898965118505,499.078,776.5757729507127,618.247,696.4627098549444,448.715,616.3739315342874,378.13699999999994,293.5874788873989,293.50899999999996
heating_training,E67,250.0,810.015651307192,809.804,782.7298327627644,746.2349999999999,725.4102150440207,544.2439999999999,785.0847346666332,691.87,727.8591959513268,487.053,667.6912836117197,398.99399999999997,293.8942360976381,293.53999999999996
heating_training,E67,300.0,811.0716598357116,854.7379999999999,787.4710466661626,803.725,740.1810828265984,584.703,789.6680254977091,752.739,742.4056436730199,521.4689999999999,695.0771842847582,420.99299999999994,294.40628583817454,293.59299999999996
heating_training,E67,350.0,811.8475915967952,882.3009999999999,790.9333168644337,844.107,748.6960086497194,616.0509999999999,793.0155278542549,795.891,750.7691689025764,548.444,711.3733528094955,442.34799999999996,295.149122908384,293.645
heating_training,E67,400.0,812.0276553516904,903.242,793.5618975227496,877.372,754.6711085375493,644.2819999999999,795.548406972588,831.799,756.6340783458295,572.938,722.5105233260413,461.29599999999994,296.1251544001851,293.70799999999997
heating_training,E67,450.0,812.3728676050857,918.233,795.4183509957212,900.886,759.1370871429663,666.63,797.3259888304758,857.492,761.0091049010208,592.479,730.7695159853668,478.52299999999997,297.31835142010965,293.78099999999995
heating_training,E67,500.0,812.6098583744927,930.434,797.0101361963139,919.933,762.5690869574047,685.787,798.8551253859368,878.2909999999999,764.3684699658918,609.479,737.1142386538431,494.013,298.7004486422313,293.83799999999997
heating_training,E67,550.0,812.857379399836,938.485,798.3275912518116,935.644,765.3896841477837,703.467,800.1182948513468,895.824,767.1288618823846,625.688,742.1950515853114,510.158,300.2366470713189,293.935
heating_training,E67,600.0,813.231171578173,945.481,799.499262439964,947.425,767.7432844554388,718.056,801.2451364026778,908.976,769.4313603773521,639.185,746.3652046225598,522.261,301.8902133392142,294.03099999999995
heating_training,E67,650.0,813.5814146485391,950.697,800.6242226854849,957.418,769.7968534735043,730.835,802.3316487122979,919.996,771.4423767922993,651.1659999999999,749.876514984243,536.413,303.62573849421045,294.145
heating_training,E67,700.0,813.6096131026674,955.255,801.6085120815492,966.3199999999999,771.6581624637647,743.392,803.27885156512,930.026,773.267283052919,663.016,752.938319179041,550.509,305.4110814556358,294.32599999999996
heating_training,E67,750.0,813.6189795320498,955.7379999999999,802.3027710045191,972.053,773.2679641674232,753.972,803.9379628392121,936.941,774.8420643359066,673.497,755.6057176065422,562.942,307.2184229248084,294.496
heating_training,E67,800.0,813.6135704448603,959.4789999999999,802.8736579159362,977.4549999999999,774.5905548326441,763.094,804.4785600085864,942.962,776.1327075497886,682.845,757.862178592823,574.229,309.02463738384796,294.692
heating_training,E67,850.0,813.949191527703,961.689,803.4102713314344,982.935,775.7150474103436,772.385,804.9906100356051,949.114,777.2282566906055,692.27,759.7693236527024,586.5219999999999,310.81087106298696,294.95399999999995
heating_training,E67,900.0,814.2426228757618,962.116,804.1074951129539,986.364,776.7732008645846,780.284,805.6676362643077,953.384,778.26343571324,700.508,761.4456853888752,596.6769999999999,312.56245304682795,295.22999999999996
heating_training,E67,950.0,814.1731674976552,963.689,804.729092799994,989.629,777.8625304378513,787.754,806.2659144856553,957.206,779.3326892665053,708.5129999999999,763.039437976091,606.607,314.2682386869308,295.532
heating_training,E67,1000.0,814.306342023384,965.2819999999999,805.1159256413578,994.1569999999999,778.8187410246525,794.189,806.631055953223,961.788,780.2666645991019,715.48,764.4980601634848,614.825,315.9200932075523,295.83
heating_training,E67,1050.0,814.2225695728005,963.408,805.5277425154701,997.732,779.6209444142385,801.0699999999999,807.0241336855556,964.0079999999999,781.0498397706587,723.037,765.7551743219009,622.938,317.5123910782757,296.166
heating_training,E67,1100.0,814.4520308571848,963.127,805.8291266334592,998.2529999999999,780.338772066191,807.693,807.3085380906023,966.021,781.7485923496617,730.351,766.8644920429679,631.546,319.04158552706446,296.543
heating_training,E67,1150.0,814.559606516465,960.8299999999999,806.2677027240082,997.732,780.9955452577058,812.467,807.7337296822162,966.443,782.3902053495419,735.948,767.8468208753503,638.8399999999999,320.5057628716846,296.935
heating_training,E67,1200.0,814.5848093625757,959.7379999999999,806.6281352410598,997.293,781.6768181855813,816.3919999999999,808.0786564747409,966.6179999999999,783.0573020921036,740.795,768.7920377382183,645.547,321.90431408227516,297.36499999999995
heating_training,E67,1250.0,814.6937118611362,959.459,806.9214424093757,998.155,782.2828767921593,820.221,808.3585858048198,967.732,783.6489418323823,745.568,769.666071292279,651.79,323.2377111172241,297.842
heating_training,E67,1300.0,814.6611794665442,958.593,807.2149408362352,999.324,782.835113969038,824.156,808.6392523659783,969.259,784.1885878707926,750.065,770.4551464263249,657.969,324.5073876551356,298.337
heating_training,E67,1350.0,814.8941086562012,959.971,807.4423396935558,1000.691,783.3325763638433,827.909,808.8558020271994,970.793,784.6730008280229,754.442,771.1705924866574,663.902,325.715362349909,298.86499999999995
heating_training,E67,1400.0,815.1470152173285,961.14,807.8134054338359,1001.857,783.8031827312037,831.9259999999999,809.2194459111765,972.268,785.1335599760055,758.939,771.8139729498964,670.017,326.86400259570195,299.448
heating_training,E67,1450.0,815.041738009586,959.132,808.160975399072,1002.353,784.3423639008607,835.31,809.5558018197943,973.086,785.6644931274773,763.0429999999999,772.4778470803334,675.245,327.9559408186672,300.01399999999995
heating_training,E67,1500.0,815.0952001709323,960.8729999999999,808.2987923354566,1003.879,784.814241894687,838.6809999999999,809.6823285753613,974.5799999999999,786.1251252261886,767.0519999999999,773.1194354169666,680.717,328.99391986829545,300.644
heating_training,E67,1550.0,815.1033698310137,960.36,808.4774757230449,1003.5219999999999,785.1709570927408,841.977,809.8528401159801,974.894,786.4720686512042,770.9179999999999,773.6487341978919,685.712,329.98078973804604,301.243
