stage,group,evaluation,objective,tested_scale
power,1,1,19.90983090537828,0.3
power,1,2,9.038009905985176,0.6166666666666667
power,1,3,3.758051797187784,0.9333333333333333
power,1,4,2.9622912894628985,1.0506724963245677
power,1,5,2.7770940640659987,1.25
power,1,6,4.889947275626526,1.5666666666666667
power,1,7,9.160744350534408,1.8833333333333333
power,1,8,14.916395641791356,2.2
power,1,9,2.9151672140104883,1.2954131532837647
power,2,10,13.18080247552015,0.3
power,2,11,6.304185026184041,0.6166666666666667
power,2,12,3.240259937762827,0.9333333333333333
power,2,13,2.8358619018622475,1.051748201315345
power,2,14,2.851598714935406,1.25
power,2,15,4.276503154332466,1.5666666666666667
power,2,16,6.9644438920086795,1.8833333333333333
power,2,17,10.558458333497837,2.2
power,2,18,2.9178377692637856,1.2793793744716995
power,3,19,3.7157223044366354,0.3
power,3,20,1.6264588510324494,0.5
power,3,21,1.001653530029793,0.6212979097169832
power,3,22,0.8326620115989809,0.7
power,3,23,1.1459413904400941,0.9
power,3,24,2.3616720909918327,1.1
power,3,25,4.292739546403329,1.3
power,3,26,6.785003203559861,1.5
power,3,27,0.8300575175952797,0.7735176398768443
