variant,axial_mean_K,axial_rmse_K,mid_radial_mean_K,mid_radial_rmse_K,deep_radial_mean_K,deep_radial_rmse_K,T3_mae_K,dp1_rmse_mbar,dp1_bias_mbar,slope_rmse_K_per_lpm,mean_core_edge_flow_ratio,max_pressure_equalization_error
apparent_prescribed_v9,-128.08546980127952,143.07644178428419,-1.2337107380416608,25.845867517630648,-0.7014655454425641,38.00831141161312,78.38023190717233,0.16129920168066278,-0.11573826150513615,7.252870390497304,1.0657977528089886,0.08198870915630782
graetz_fd361_prescribed,153.0422687037922,178.63653230870307,-0.848715524176301,25.446983661079862,-0.7914907529954879,38.0846930430932,99.94934388871631,0.5228992037103477,-0.01763176396521303,22.72022628207265,1.0657977528089886,0.05266417459574278
graetz_fd298_prescribed,151.10249179962872,176.9428308714184,-0.8480008395919223,25.446251471617696,-0.7902099581315838,38.08338351270708,99.83712781546048,0.5227647423243488,-0.019775288419329837,22.7677475752057,1.0657977528089886,0.05261520465383084
graetz_capuano366_prescribed,152.0523912134586,177.8758886597286,-0.8470130559733017,25.445212663458857,-0.7902312137954481,38.08346434365876,99.65809616447679,0.5217840998670012,-0.020644206088009417,22.869035403436364,1.0657977528089886,0.052615338852982196
graetz_fd361_equal_open,153.18448082272127,178.78330597564275,-0.904160332923478,25.50458843369216,-0.797576411197906,38.092938351766904,99.9520581368799,0.5231271780697418,-0.025529696666838242,22.726838906941147,0.9985012132374158,8.845338311705001e-6
graetz_fd361_equal_groove,149.86996655423505,176.1377676301918,-0.2537324183962596,24.832676638176316,-0.7019922406961087,37.970235430967335,99.9060221297898,0.5697039379694449,-0.3734650655178669,23.010146635388562,2.177803726164493,8.607970652174304e-6
