model,simulation_id,flow_lpm,observed_dp1_mbar,predicted_dp1_mbar,residual_mbar
no_groove,E67,15.281090909090908,0.14436363636363633,0.08847528685944439,-0.05588834950419194
no_groove,E68,12.489909090909093,-0.06999999999999999,-0.04814804166906128,0.02185195833093871
no_groove,E70,9.096545454545456,-0.22672727272727275,-0.2016403463395176,0.025086926387755143
no_groove,E72,19.49518181818182,0.2585454545454546,0.27215418217310405,0.013608727627649475
no_groove,E74,9.016818181818183,-0.2273636363636364,-0.2039052898577074,0.023458346505929012
no_groove,E75,6.939636363636362,-0.3019090909090909,-0.2983095534122525,0.0035995374968383897
no_groove,E76,4.5151818181818175,-0.38345454545454544,-0.4086638803338506,-0.025209334879305156
no_groove,E78,10.007363636363637,-0.16436363636363638,-0.15819021500323777,0.006173421360398612
no_groove,E80,6.601545454545455,-0.30036363636363633,-0.3128717266155032,-0.012508090251866888
groove,E67,15.281090909090908,0.14436363636363633,0.08500526700396227,-0.05935836935967406
groove,E68,12.489909090909093,-0.06999999999999999,-0.05382376531191918,0.016176234688080812
groove,E70,9.096545454545456,-0.22672727272727275,-0.20632134159002413,0.020405931137248617
groove,E72,19.49518181818182,0.2585454545454546,0.2824846644102492,0.02393920986479464
groove,E74,9.016818181818183,-0.2273636363636364,-0.20880118145880033,0.018562454904836073
groove,E75,6.939636363636362,-0.3019090909090909,-0.2979425636113825,0.003966527297708411
groove,E76,4.5151818181818175,-0.38345454545454544,-0.39585023579863965,-0.012395690344094212
groove,E78,10.007363636363637,-0.16436363636363638,-0.16444042931721214,-7.67929535757661e-5
groove,E80,6.601545454545455,-0.30036363636363633,-0.31147008386062913,-0.0111064474969928
