index,parameter,value
1,beta_opt_1_m,218.79999999999998
2,heat_transfer_scale,1.142
3,axial_conductivity_scale,0.2
4,scale_456,1.25
5,scale_304,1.051748201315345
6,scale_256,0.7735176398768443
