variant,simulation_id,z_mm,core_solid_K,edge_solid_K,core_gas_K,edge_gas_K,core_Nu,edge_Nu
apparent_prescribed_v9,E67,0.9375,990.9197872427995,983.1686724629587,296.33849999999995,296.33849999999995,0.5809635972261328,0.5100569017589095
apparent_prescribed_v9,E67,2.8125,974.1184411099259,969.1788579504863,333.1466936578685,331.34944056451434,0.3970338192199908,0.34828391635137596
apparent_prescribed_v9,E67,4.6875,961.892683130564,958.1747765516548,356.79827246031607,353.9759970100665,0.3321569446404054,0.2913171695789086
apparent_prescribed_v9,E67,6.5625,952.3848374702782,949.2505637947824,375.6421730497039,372.06221118737534,0.2949670700160985,0.2587213949107872
apparent_prescribed_v9,E67,8.4375,944.6334398254369,941.8187881575976,391.6944847042708,387.5032144975642,0.2696927563453421,0.23659270596876136
apparent_prescribed_v9,E67,10.312499999999998,938.0761623239813,935.4664766973826,405.8402645173332,401.1336990883661,0.2509167459346395,0.22016128158539086
apparent_prescribed_v9,E67,12.1875,932.354316232281,929.8949556063818,418.5669794601827,413.4147999995412,0.2361818713501086,0.20726820730556536
apparent_prescribed_v9,E67,14.062499999999998,927.2238739366866,924.8850005395946,430.1787435826725,424.6347908772903,0.2241814986780111,0.1967676640711231
apparent_prescribed_v9,E67,17.772727272727273,917.8932039897625,915.7562453944187,440.8809845718628,434.98862227557186,0.20715500454445024,0.18184035261076462
apparent_prescribed_v9,E67,23.31818181818182,905.6935641665423,903.7643551091968,468.4477383826207,461.71589745933403,0.18726389168655255,0.16443811415029688
apparent_prescribed_v9,E67,28.863636363636363,893.8128991854662,892.0431797285718,491.5207357150884,484.15535242616,0.17310494049850186,0.15204469062123604
apparent_prescribed_v9,E67,34.40909090909091,881.688212669057,880.0499320804121,511.2865958440884,503.4341744175193,0.16242842936139967,0.14269515814060316
apparent_prescribed_v9,E67,39.95454545454545,869.1584649655168,867.6338305073945,528.4498217673395,520.221862446302,0.15406362135305204,0.13536671916065263
apparent_prescribed_v9,E67,45.5,856.2530060423468,854.8294978318447,543.4742249010877,534.9593911233684,0.1473255820021168,0.1294608297105267
apparent_prescribed_v9,E67,51.04545454545455,843.0858661424361,841.7537338796467,556.6894928139354,547.9603731655336,0.14178028168932622,0.12459809759712913
apparent_prescribed_v9,E67,56.59090909090909,829.8013103601404,828.5523438294201,568.3442651094548,559.4614531688011,0.1371363618289072,0.12052376872665728
apparent_prescribed_v9,E67,62.13636363636364,816.5457398609503,815.3726776493937,578.634905265791,569.6496322629279,0.13318956889705535,0.11705920214010229
apparent_prescribed_v9,E67,67.68181818181819,803.4536859678204,802.349937532405,587.7221276826808,578.6780616507244,0.1297918164358457,0.11407485025949862
apparent_prescribed_v9,E67,73.22727272727273,790.6415405943992,789.6010590399121,595.7411124888375,586.6756506916404,0.126832835523961,0.11147423117995527
apparent_prescribed_v9,E67,78.77272727272727,778.2055793106883,777.222804698841,602.807933589774,593.7531720630739,0.12422872495684678,0.1091839255856544
apparent_prescribed_v9,E67,84.31818181818181,766.2223407663892,765.2921755260032,609.023807833377,600.0072962355958,0.12191450212223631,0.10714706701059207
apparent_prescribed_v9,E67,89.86363636363637,754.7502385794714,753.8680380582716,614.4780104569096,605.523358405538,0.11983908435817858,0.10531895446145917
apparent_prescribed_v9,E67,95.40909090909092,743.8317352030418,742.9933080937526,619.2499493712389,610.3773261657901,0.11796180678185228,0.1036640067992276
apparent_prescribed_v9,E67,100.95454545454547,733.4956661054983,732.6972871734713,623.4106942357015,614.6372494178481,0.1162499462752222,0.10215359573012879
apparent_prescribed_v9,E67,106.50000000000001,723.7594476379435,722.9978931470436,627.0241421634813,618.3643656100568,0.11467692669523964,0.10076447336801896
apparent_prescribed_v9,E67,112.04545454545456,714.6309681718311,713.9035995366125,630.147933117185,621.6139681125445,0.11322100228035123,0.09947761619154362
apparent_prescribed_v9,E67,117.59090909090911,706.1099411244109,705.4149151528475,632.8341846383418,624.4361046007058,0.11186429476145093,0.09827737321966716
apparent_prescribed_v9,E67,123.13636363636364,698.1882171480355,697.5252365415432,635.1300853694144,626.876145029584,0.11059212916673274,0.09715084787282532
apparent_prescribed_v9,E67,128.6818181818182,690.8464721239496,690.2214867061887,637.078356841982,628.975239701993,0.1093928031452383,0.09608742994689372
apparent_prescribed_v9,E67,134.22727272727275,684.0270742033482,683.4941532288416,638.7175070239772,630.7706909537663,0.10825928743621312,0.09507778966786534
apparent_prescribed_v9,E72,0.9375,692.4977753502898,688.4186904607733,296.422,296.422,0.9721964462081346,0.8522200042551319
apparent_prescribed_v9,E72,2.8125,680.0232015840609,677.7369883245794,320.69841089572117,319.5257508364658,0.6661555077930758,0.5835496130572799
apparent_prescribed_v9,E72,4.6875,671.222856161664,669.6432019976506,336.0684016619691,334.251506322967,0.5582109389657551,0.4889467408968905
apparent_prescribed_v9,E72,6.5625,664.5944390079682,663.3173054521816,348.18022199948166,345.89812791108085,0.4963022904655404,0.4347797007031017
apparent_prescribed_v9,E72,8.4375,659.3780069516927,658.2477579729534,358.4068366736233,355.75581009117207,0.4541903946326394,0.3979660705617203
apparent_prescribed_v9,E72,10.312499999999998,655.1332227012512,654.0871059149503,367.35272312907307,364.3951030046381,0.422867206636846,0.3705928350325945
apparent_prescribed_v9,E72,12.1875,651.5796879463716,650.5902246129807,375.3511119378743,372.1316935386155,0.39824934406917556,0.3490802722904442
apparent_prescribed_v9,E72,14.062499999999998,648.5264451632479,647.5800276134503,382.60979497939553,379.16289320013124,0.3781667778847241,0.33152927470277005
apparent_prescribed_v9,E72,17.772727272727273,643.2099965730761,642.3335794287225,389.2689208765102,385.6219548639506,0.34932326050772766,0.30627914285160285
apparent_prescribed_v9,E72,23.31818181818182,636.9389977413526,636.1327408861393,406.283253304461,402.16443501068954,0.3158463092727943,0.2770176751744095
apparent_prescribed_v9,E72,28.863636363636363,631.2043384812181,630.4528994143933,420.40390393816773,415.9399244292967,0.29185365865437835,0.25603273619116307
apparent_prescribed_v9,E72,34.40909090909091,625.5124987732016,624.8074943473919,432.423900476342,427.70339430149136,0.2736289287128358,0.24008326898883656
apparent_prescribed_v9,E72,39.95454545454545,619.6759406107202,619.0121018700521,442.8084731268215,437.8979197669622,0.25923945119040004,0.22748327059998485
apparent_prescribed_v9,E72,45.5,613.6548192737354,613.0283343982879,451.86040294607966,446.81197600526497,0.2475551306301347,0.2172465318570173
apparent_prescribed_v9,E72,51.04545454545455,607.4784614484255,606.8862262774089,459.79268784114237,454.6485856606677,0.23786028028883557,0.20874826810581823
apparent_prescribed_v9,E72,56.59090909090909,601.2048882301222,600.6441733274971,466.7644925571866,461.55953587164487,0.22967489830366525,0.20156930656101224
apparent_prescribed_v9,E72,62.13636363636364,594.8997764653092,594.3680856546794,472.9004769339607,467.663777690863,0.22266293203913287,0.1954160978528453
apparent_prescribed_v9,E72,67.68181818181819,588.6257785010283,588.1207936130496,478.3018675161523,473.057965982551,0.21658118248823716,0.1900761537049435
apparent_prescribed_v9,E72,73.22727272727273,582.4374852910172,581.9570482009939,483.053136891817,477.82281720468643,0.2112489769940039,0.1853915901106652
apparent_prescribed_v9,E72,78.77272727272727,576.3794741948393,575.9215838927086,487.2262190449539,482.0271206839953,0.2065292330113213,0.18124260246728188
apparent_prescribed_v9,E72,84.31818181818181,570.4860100379689,570.048825212997,490.88328152969734,485.73037545143575,0.20231613757156774,0.17753671012518574
apparent_prescribed_v9,E72,89.86363636363637,564.7815826591639,564.363426521989,494.0786205918507,488.98459189128704,0.19852685522640628,0.17420151489927285
apparent_prescribed_v9,E72,95.40909090909092,559.2818091861466,558.8811766008345,496.8600051034869,491.8355686768498,0.1950957891837174,0.17117968720072085
apparent_prescribed_v9,E72,100.95454545454547,553.9944252958431,553.609994732623,499.2696625657086,494.3238291616306,0.19197051795630315,0.16842541425442215
apparent_prescribed_v9,E72,106.50000000000001,548.9201985418806,548.5508544925618,501.3450244598974,496.48532903768273,0.1891088671789022,0.16590183872097544
apparent_prescribed_v9,E72,112.04545454545456,544.0536486249889,543.6985268741812,503.1193031244363,498.3520041642093,0.18647677599078544,0.1635791896029731
apparent_prescribed_v9,E72,117.59090909090911,539.3834588090918,539.0420503695035,504.6219443399814,499.9522009857241,0.1840467438252914,0.16143341507455453
apparent_prescribed_v9,E72,123.13636363636364,534.8923385807932,534.5648319652834,505.8789807814531,501.3110145639966,0.1817967433839783,0.15944519601980636
apparent_prescribed_v9,E72,128.6818181818182,530.5551775856934,530.2445118873216,506.91329371135,502.4505469954106,0.1797096926859575,0.15759922839269436
apparent_prescribed_v9,E72,134.22727272727275,526.3264200243915,526.0567047081205,507.7447445546433,503.3900978150949,0.17777495304664595,0.15588309612603193
apparent_prescribed_v9,E77,0.9375,559.0306584617307,557.0207814195352,297.13699999999994,297.13699999999994,0.7526414079997455,0.6586402646455215
apparent_prescribed_v9,E77,2.8125,553.0130107591458,551.8301126349766,311.93250149150697,311.24728954503087,0.5163825609212345,0.45179845181976874
apparent_prescribed_v9,E77,4.6875,548.5397977117011,547.6921683903918,321.4338786658738,320.35618028543433,0.43293894626476537,0.37881080195271993
apparent_prescribed_v9,E77,6.5625,544.9791798389656,544.282250536513,328.9950610060459,327.62656337965785,0.38518174586111537,0.3370758095576412
apparent_prescribed_v9,E77,8.4375,542.0122255975059,541.3933987743839,335.4266298749494,333.8235297573265,0.3527904936863672,0.3087830386288863
apparent_prescribed_v9,E77,10.312499999999998,539.4544861861549,538.8832873507492,341.08483718401,339.2843197692845,0.3287703085178602,0.2878063133511979
apparent_prescribed_v9,E77,12.1875,537.1884963680801,536.6507128236174,346.166224649455,344.1954418815607,0.3099456287824653,0.2713674520451809
apparent_prescribed_v9,E77,14.062499999999998,535.1341382553242,534.6221627125159,350.79365792416576,348.67366802355764,0.29462763763868854,0.2579903152089438
apparent_prescribed_v9,E77,17.772727272727273,531.3781436957413,530.9080118450939,355.050323898799,352.7981251386054,0.27234829360781593,0.23850595047593617
apparent_prescribed_v9,E77,23.31818181818182,526.4739288183671,526.0450611800471,365.9648213692889,363.3968525884336,0.24706089490283117,0.21642348578902632
apparent_prescribed_v9,E77,28.863636363636363,521.8026141812581,521.4049383917652,375.04899935637445,372.24602991298485,0.22894263656735397,0.2005946022492055
apparent_prescribed_v9,E77,34.40909090909091,517.1593467251108,516.7872447130705,382.7897887749059,379.809181520421,0.2151569694320191,0.18854563650709524
apparent_prescribed_v9,E77,39.95454545454545,512.4707264066199,512.1206777173496,389.4782357111606,386.3634456067075,0.2042395035345683,0.1789994223781146
apparent_prescribed_v9,E77,45.5,507.7271971406884,507.39673592159676,395.3066671160068,392.0920203661384,0.19534020125271517,0.1712145061253862
apparent_prescribed_v9,E77,51.04545454545455,502.9490427231073,502.6362663742808,400.4118242660681,397.1252085620562,0.18792413520193813,0.16472422422414712
apparent_prescribed_v9,E77,56.59090909090909,498.1686157810564,497.8719476203986,404.89650505125695,401.56101407534675,0.18163429836004666,0.15921708243863417
apparent_prescribed_v9,E77,62.13636363636364,493.4209754297357,493.13904757349394,408.84139919547454,405.476405917365,0.17622159506084825,0.15447571137871566
apparent_prescribed_v9,E77,67.68181818181819,488.7390742419123,488.4706684538215,412.31199600064616,408.9338923646215,0.17150610046292622,0.1503430848286973
apparent_prescribed_v9,E77,73.22727272727273,484.15146576819654,483.89548280149864,415.3628329968725,411.9855638568619,0.1673542181768519,0.14670259933122196
apparent_prescribed_v9,E77,78.77272727272727,479.6814161267493,479.43685944519274,418.0402278130839,414.6756919445316,0.16366450664078636,0.143465711951282
apparent_prescribed_v9,E77,84.31818181818181,475.3467849724486,475.1127521414053,420.3841051987736,417.0424668559591,0.1603585087243353,0.14056394049219464
apparent_prescribed_v9,E77,89.86363636363637,471.16030697876397,470.93598576058116,422.42926347607744,419.11920149915807,0.15737460858240465,0.1379435034438045
apparent_prescribed_v9,E77,95.40909090909092,467.13005609324523,466.91472440115024,424.206281945844,420.9351938086252,0.15466379495044802,0.13556162245688547
apparent_prescribed_v9,E77,100.95454545454547,463.2599617262945,463.0529921999021,425.74219107954366,422.5163634721784,0.15218666746779105,0.13338390883056297
apparent_prescribed_v9,E77,106.50000000000001,459.55029449978923,459.3511664805981,427.06098107234664,423.88573503886386,0.14991127930662754,0.13138247915372686
apparent_prescribed_v9,E77,112.04545454545456,455.9980613322286,455.80638708959805,428.1839964846552,425.06381292752627,0.1478115601684063,0.1295345763662192
apparent_prescribed_v9,E77,117.59090909090911,452.59724553680513,452.4128305139125,429.1302471957784,426.06887729129784,0.14586615759771326,0.12782155306344828
apparent_prescribed_v9,E77,123.13636363636364,449.3387598412102,449.16178955645296,429.9166539744667,426.91721871385056,0.1440576037434936,0.1262281254474911
apparent_prescribed_v9,E77,128.6818181818182,446.2095166615405,446.0415954435148,430.5582364235588,427.62332186267906,0.14237182856115346,0.12474182429196178
apparent_prescribed_v9,E77,134.22727272727275,443.1861300695503,443.0393228565917,431.06822808676253,428.20000556743975,0.14079870688803986,0.12335231314030173
graetz_fd361_prescribed,E67,0.9375,491.18896514869016,487.91627325130577,296.33849999999995,296.33849999999995,12.02666094681591,11.541744102431439
graetz_fd361_prescribed,E67,2.8125,492.8606490471873,491.2549458364506,416.6567975484423,418.00470435352776,6.7244710629206565,6.486467974183969
graetz_fd361_prescribed,E67,4.6875,499.68602647910916,498.6109061812491,447.9446530318125,449.3623583149223,5.540533034200816,5.383691103975405
graetz_fd361_prescribed,E67,6.5625,508.1383485338535,507.23719147679105,466.30598191753376,467.74168785882677,5.004837213878478,4.88819629959079
graetz_fd361_prescribed,E67,8.4375,517.0484429769172,516.2034675901914,480.1019724779292,481.5143847997417,4.698256337366781,4.6057276513678405
graetz_fd361_prescribed,E67,10.312499999999998,525.9495554984024,525.1222397230702,491.7850412962575,493.1561359123337,4.499418658189434,4.422981622176429
