phase,simulation_id,sensor,rmse_K,steady_error_K,t90_error_s,shape_loss
heating_training,E67,T8,140.26122939814135,-115.66426989938395,-300.0,0.005702535967011002
heating_training,E67,T12,177.8176103949511,-179.69942256076263,-350.0,0.0009952381618257087
heating_training,E67,T11,81.10453324049524,-87.30305196890538,-900.0,0.0006230707280292781
heating_training,E67,T9,153.43819385139312,-154.00563078350172,-400.0,0.0014848347984217393
heating_training,E67,T10,79.57326243979159,-33.07769932533279,-1300.0,0.0010447529233945925
heating_training,E67,T3,117.2453557196022,17.490858302201445,-1500.0,0.001227429484389281
heating_training,E67,T2,23.8995611879483,23.65869850752273,-650.0,0.00042894473303956823
heating_training,E69,T8,83.5159927653797,-48.38436162082405,-350.0,0.004299277053086919
heating_training,E69,T12,76.28760161711476,-74.04428020333762,-550.0,0.0005377496994718839
heating_training,E69,T11,107.26335250369374,55.47770544647676,-1350.0,0.0007455753530637939
heating_training,E69,T9,68.61684505522236,-45.69600235306052,-600.0,0.000886162629737959
heating_training,E69,T10,155.7957294358327,101.11384650050604,-1650.0,0.0012077176479052582
heating_training,E69,T3,213.2254033835716,164.69974030369303,-1900.0,0.0016152099975802097
heating_training,E69,T2,36.92148459825087,42.66590735451746,-1450.0,0.0020221714700367475
heating_training,E71,T8,120.77137342381349,57.77525471788499,-450.0,0.005048030067256481
heating_training,E71,T12,116.39811877024256,65.3561897251102,-900.0,0.000407398431093079
heating_training,E71,T11,269.7078611108603,214.97151683248023,-2100.0,0.0005606332681127611
heating_training,E71,T9,147.9287084039487,93.31028754751719,-950.0,0.0006382648299444625
heating_training,E71,T10,312.27263129414644,252.5789158372744,-2350.0,0.0007629589507338274
heating_training,E71,T3,367.8050940451002,315.0989840515674,-2600.0,0.0009464936185717287
heating_training,E71,T2,76.43209639455694,80.43768496574984,-1550.0,0.00046763276101425487
heating_training,E72,T8,164.82240127343917,-180.68371642353884,-500.0,0.0029245846948443717
heating_training,E72,T12,233.20274113444202,-252.08896474746928,-350.0,0.0006279262539668018
heating_training,E72,T11,164.35405596641138,-196.07207130137863,-700.0,0.0002868124241400916
heating_training,E72,T9,202.93066276146138,-224.87666949120978,-450.0,0.0009883180689805237
heating_training,E72,T10,111.7536905015345,-145.84995955813224,-1050.0,0.00046939842083535836
heating_training,E72,T3,86.09867635454886,-120.15106767879297,-1150.0,0.00042045227103126496
heating_training,E72,T2,7.908971979887158,6.991581458751,-450.0,0.0003082691563073867
heating_training,E74,T8,176.55320906557398,-177.4336701973674,-450.0,0.0018507148341282025
heating_training,E74,T12,181.127283340037,-200.2694979015596,-650.0,0.00013118001075518586
heating_training,E74,T11,60.90079951307582,-71.30548228494058,-1600.0,0.0001635846984171821
heating_training,E74,T9,154.53678499675303,-172.26442486314772,-800.0,0.00023209496977682172
heating_training,E74,T10,64.61223130438033,-34.2381613470302,-1900.0,0.0002585349995055904
heating_training,E74,T3,95.27237353289617,20.46843525281679,-2150.0,0.0003510090354128757
heating_training,E74,T2,18.185131150763798,12.76027660418032,-1150.0,0.0001381360389850735
heating_training,E76,T8,94.28703220187501,40.332049998968614,-600.0,0.0020121019764314865
heating_training,E76,T12,79.70352615382913,41.733284533807364,-1050.0,8.824890065849956e-5
heating_training,E76,T11,204.5907245771933,172.7829642893014,-2000.0,0.0002534656508378373
heating_training,E76,T9,106.85808351376978,66.69027269857463,-1100.0,0.0001372431531603914
heating_training,E76,T10,234.01008677837152,199.01230569428094,-2200.0,0.0003207170339367027
heating_training,E76,T3,274.65278392781875,247.4081722288729,-2400.0,0.00045406450318078936
heating_training,E76,T2,49.42856795943584,52.622960002772686,-1600.0,0.00033860027164202294
heating_training,E77,T8,55.65959542940379,-61.13926507573734,-800.0,0.00588644281385127
heating_training,E77,T12,106.4228266623177,-124.87725028569417,-700.0,0.0005935485755500609
heating_training,E77,T11,62.69818951023129,-84.13420827692352,-1000.0,0.00034725353757626313
heating_training,E77,T9,85.79589109332635,-103.63823963169398,-800.0,0.0010576260782314848
heating_training,E77,T10,37.65825030941831,-53.25033683875046,-1250.0,0.0007578378860810127
heating_training,E77,T3,30.342198968349,-40.95578688324548,-1300.0,0.0006848586764223563
heating_training,E77,T2,5.875438179290988,4.366552219904918,-591.0,0.01190893011264885
heating_training,E79,T8,56.55971732551414,-46.17213664990982,-900.0,0.0031915275915581133
heating_training,E79,T12,77.14021549869638,-94.65968737460344,-950.0,0.00017289657447226562
heating_training,E79,T11,35.41987365728231,-22.83573017855599,-1600.0,0.0001852238927896918
heating_training,E79,T9,60.0813047927319,-72.05470132919959,-1150.0,0.0003141759124425766
heating_training,E79,T10,53.780722652110086,4.224039102151892,-1850.0,0.0003101779918690752
heating_training,E79,T3,70.20927232135529,26.917267534995517,-2000.0,0.00036596661189417044
heating_training,E79,T2,12.905580269051919,13.362739674462944,-1150.0,0.0005264096386778965
heating_training,E81,T8,118.43270181673103,78.1514642277076,-1000.0,0.00282606543363816
heating_training,E81,T12,66.40795933941997,36.286351686512376,-1150.0,0.00012745838469334147
heating_training,E81,T11,132.4335517122371,111.56505117327515,-1750.0,0.0002439495325303144
heating_training,E81,T9,90.20999153139114,58.65734775576209,-1250.0,0.00020984256773349117
heating_training,E81,T10,155.96396436936715,133.54096001867345,-1900.0,0.0003336888216433581
heating_training,E81,T3,173.945609922722,157.07941218231394,-2000.0,0.0004383181306379233
heating_training,E81,T2,26.405911000016715,30.53285581057247,-1200.0,0.0006430426824518075
heating_validation,E68,T8,118.19030892423574,-99.10088140033281,-300.0,0.0042067503564944325
heating_validation,E68,T12,133.99236981981994,-138.97793295567635,-450.0,0.0005650330565010026
heating_validation,E68,T11,76.94372642645139,-21.20250079225366,-1400.0,0.0005284958220603852
heating_validation,E68,T9,114.2463090190802,-110.56616358281303,-600.0,0.0008999355830069841
heating_validation,E68,T10,116.68831994911338,28.89687067240459,-1750.0,0.0008162768420593274
heating_validation,E68,T3,172.46641447089368,90.77602567575684,-1950.0,0.0010234544516148872
heating_validation,E68,T2,33.40712934714927,31.725090742890984,-1000.0,0.00029755169490803466
heating_validation,E70,T8,87.18589111847119,-51.857751869968524,-350.0,0.002956789442631066
heating_validation,E70,T12,65.89067267076446,-49.384562928203195,-700.0,0.0003411919737989512
heating_validation,E70,T11,165.76275161897823,100.47434542722749,-1800.0,0.0005057186215861195
heating_validation,E70,T9,72.81373460345152,-20.50293488125817,-750.0,0.0005221502492595329
heating_validation,E70,T10,213.15822024257275,143.10532995971198,-2100.0,0.0007028518599505746
heating_validation,E70,T3,276.4634306695694,211.32893669743817,-2400.0,0.0008638019894940989
heating_validation,E70,T2,53.59702031930977,53.203438851944895,-1450.0,0.0003118759802465899
heating_validation,E73,T8,192.01586782403828,-199.16622902564427,-400.0,0.0023934718423242614
heating_validation,E73,T12,240.50466223697092,-260.26397462819864,-450.0,0.0002804453062944089
heating_validation,E73,T11,137.42282813769643,-171.97395809155353,-1150.0,0.00017650659714462568
heating_validation,E73,T9,211.14595784248726,-232.6974195142268,-550.0,0.0004771805068443519
heating_validation,E73,T10,95.24024617420952,-127.01717870076072,-1500.0,0.0003220183317105449
heating_validation,E73,T3,64.04194624138125,-83.4205273911507,-1700.0,0.0003862651196955703
heating_validation,E73,T2,7.727087812768851,4.2870939154993835,-950.0,0.00038924359227439717
heating_validation,E75,T8,120.9163813903816,-117.9348336341177,-500.0,0.0018328061190330013
heating_validation,E75,T12,98.075093632547,-116.66353786647267,-900.0,0.00010178254258647672
heating_validation,E75,T11,88.06663687563618,27.16831662239315,-1900.0,0.00020986738971305802
heating_validation,E75,T9,79.8750450960017,-89.84512063640238,-1000.0,0.00017426402288892048
heating_validation,E75,T10,122.17710573694323,59.542784176007444,-2150.0,0.00029937964142603767
heating_validation,E75,T3,169.4109811238177,114.86457450241232,-2350.0,0.0004226032742176934
heating_validation,E75,T2,28.356711118882444,25.819342880138322,-1250.0,0.00019702861606465136
heating_validation,E78,T8,58.41083316606417,-59.39233055256682,-900.0,0.0029083473028235873
heating_validation,E78,T12,98.72841663738166,-118.44208167373472,-950.0,0.00019121975582728448
heating_validation,E78,T11,43.404192412276785,-59.44273362240028,-1700.0,0.00014835720104043054
heating_validation,E78,T9,78.29415087756618,-95.81368604523993,-1100.0,0.0003424853278776598
heating_validation,E78,T10,37.49683332765632,-30.642019667381078,-1950.0,0.00026808848030191086
heating_validation,E78,T3,44.23688948533794,-11.167236445752678,-2050.0,0.0003001820552764711
heating_validation,E78,T2,10.852473400155528,9.718347050443526,-800.0,0.000181892420228366
heating_validation,E80,T8,55.06600562574038,-17.492109245377833,-950.0,0.0026918265620984993
heating_validation,E80,T12,49.5574688071029,-59.88674570094486,-1100.0,0.00012621068147524228
heating_validation,E80,T11,59.69500215486991,18.262243298236285,-1850.0,0.00017991840790088974
heating_validation,E80,T9,43.336055766971135,-37.083117932066216,-1250.0,0.0002243532760936073
heating_validation,E80,T10,85.07733464091662,43.56686058698165,-2050.0,0.0002727291792208793
heating_validation,E80,T3,104.49501831996011,67.68576668426522,-2150.0,0.00033583714126227907
heating_validation,E80,T2,18.157377416659813,18.191864517926206,-1200.0,0.00027665647050627637
cooling_validation,C69,T8,106.78355574972515,-15.28169027148607,-600.0,0.005185615126552486
cooling_validation,C69,T12,113.14182558652638,-28.169090550085855,-700.0,0.0012078012886021002
cooling_validation,C69,T11,114.69653150662961,-43.49502995395335,-850.0,0.0014813779392649792
cooling_validation,C69,T9,127.66390663103294,-33.941374064951674,-800.0,0.0015047666786008483
cooling_validation,C69,T10,130.0159691987207,-52.507559999466196,-1000.0,0.0030108511140339886
cooling_validation,C69,T3,131.05376463558017,-57.671619301060275,-1000.0,0.002688764557626588
cooling_validation,C69,T2,18.699973241822057,-8.61827564858163,-250.0,0.008755395490237709
cooling_validation,C80,T8,64.55108565299685,-9.757191766256028,-1100.0,0.002889107298169898
cooling_validation,C80,T12,67.44064494019024,-16.09752673875147,-1150.0,0.00039522998098625114
cooling_validation,C80,T11,63.158997724084806,-21.929412214024296,-1300.0,0.0005175966527777784
cooling_validation,C80,T9,71.01572419119539,-17.132864159605617,-1250.0,0.0004970107344310478
cooling_validation,C80,T10,66.60594523126224,-23.916227128623007,-1350.0,0.0011193659418924013
cooling_validation,C80,T3,66.98831533690895,-25.866421260686593,-1450.0,0.0008255294257957716
cooling_validation,C80,T2,10.667991276978492,-3.985137471766791,-600.0,0.00809870129683489
cooling_validation,C81,T8,56.53185006806402,-6.428767844661081,-1200.0,0.0010968875459286666
cooling_validation,C81,T12,56.11267354239432,-8.136930545576547,-1500.0,0.00010198991321984653
cooling_validation,C81,T11,51.240768042505636,-10.73626857518974,-1800.0,0.00022359553163650458
cooling_validation,C81,T9,58.04411019357598,-9.034823492309044,-1600.0,0.00013125607480487842
cooling_validation,C81,T10,53.2889753900169,-11.710791024132334,-1900.0,0.00045790739814348966
cooling_validation,C81,T3,53.78287675755335,-12.112082147055219,-2100.0,0.00033091920985406733
cooling_validation,C81,T2,9.241433993103017,-2.215025601201603,-1000.0,0.0014741029448552489
