phase,simulation_id,mean_flow_lpm,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K,model_T12_minus_T8_K,observed_T12_minus_T8_K,model_T12_minus_T9_K,observed_T12_minus_T9_K,model_T11_minus_T10_K,observed_T11_minus_T10_K,dp1_model_mbar,dp1_observed_mbar
heating_training,E67,15.2805125,815.963730100616,931.6279999999999,811.4035774392373,991.103,790.7519480310946,878.055,812.6603692164982,966.6659999999999,791.9173006746672,824.995,780.9048583022014,763.414,350.0956985075227,326.43699999999995,-4.560152661378652,59.47500000000002,-1.2567917772609007,24.437000000000012,-1.1653526435726462,53.059999999999945,2.410683806420383,2.712
heating_training,E69,10.499733944954128,1010.044638379176,1058.429,996.6857197966624,1070.73,952.2327054464768,896.755,998.6819976469394,1044.378,953.950846500506,852.837,934.459740303693,769.76,386.97390735451745,344.308,-13.358918582513638,12.30099999999993,-1.9962778502770107,26.35200000000009,-1.7181410540292745,43.918000000000006,2.021743358959466,1.542
heating_training,E71,7.126846153846151,1261.073254717885,1203.298,1185.7041897251102,1120.348,1097.7945168324802,882.823,1188.6162875475172,1095.306,1100.0549158372744,847.476,1068.6589840515674,753.56,436.4416849657498,356.00399999999996,-75.36906499277484,-82.95000000000005,-2.912097822407077,25.041999999999916,-2.2603990047941807,35.34699999999998,1.5576563213454313,0.825
heating_training,E72,18.707575757575754,556.9722835764611,737.656,545.8100352525307,797.899,537.9049286986213,733.977,546.2353305087902,771.112,538.3370404418677,684.1869999999999,532.803932321207,652.9549999999999,316.919581458751,309.928,-11.162248323930385,60.24300000000005,-0.4252952562594601,26.787000000000035,-0.43211174324630974,49.79000000000008,1.4639374340022573,2.485
heating_training,E74,9.023245901639344,771.1043298026326,948.538,762.2395020984404,962.509,732.6945177150594,804.0,763.2265751368523,935.491,733.5628386529697,767.8009999999999,718.1404352528168,697.672,346.7242766041803,333.964,-8.86482770419218,13.971000000000004,-0.987073038411836,27.01800000000003,-0.8683209379103118,36.19900000000007,0.8909583590663714,1.071
heating_training,E76,4.526673611111114,1108.0250499989686,1067.693,1012.2052845338073,970.472,923.9409642893013,751.1579999999999,1014.0432726985746,947.353,925.3203056942809,726.308,894.4271722288729,647.019,390.7459600027727,338.123,-95.81976546516125,-97.221,-1.8379881647672391,23.119000000000028,-1.379341404979641,24.84999999999991,0.4369936850726187,0.174
heating_training,E77,13.84748387096774,504.40473492426264,565.544,498.47274971430573,623.3499999999999,490.16479172307646,574.299,498.790760368306,602.429,490.4766631612495,543.727,484.4002131167545,525.356,312.7365522199049,308.37,-5.931985209956906,57.805999999999926,-0.3180106540002612,20.920999999999935,-0.31187143817305696,30.572000000000003,0.7128395222991624,0.978
heating_training,E79,8.033490566037736,630.0408633500901,676.213,621.4483126253965,716.108,599.489269821444,622.325,622.0082986708004,694.063,599.9900391021519,595.766,586.9502675349954,560.0329999999999,328.3227396744629,314.96,-8.592550724693638,39.89499999999998,-0.559986045403889,22.04499999999996,-0.5007692807078001,26.559000000000083,0.3767514641298617,0.403
heating_training,E81,4.527140495867768,838.2124642277075,760.0609999999999,786.1883516865124,749.902,730.5400511732751,618.9749999999999,787.161347755762,728.5039999999999,731.3069600186734,597.766,707.578412182314,550.499,349.84785581057247,319.315,-52.02411254119511,-10.158999999999878,-0.9729960692495752,21.39800000000014,-0.7669088453983477,21.208999999999946,0.12250124015424102,-0.023
heating_validation,E68,12.499871559633025,913.5481185996672,1012.649,908.7390670443237,1047.717,877.5484992077463,898.751,910.361836417187,1020.928,878.9958706724045,850.0989999999999,863.9830256757568,773.207,370.24509074289097,338.52,-4.809051555343444,35.0680000000001,-1.6227693728632175,26.7890000000001,-1.4473714646582039,48.652000000000044,2.2062412993249203,2.004
heating_validation,E70,9.107139705882352,1100.6162481300314,1152.474,1070.8924370717968,1120.277,1012.6473454272275,912.173,1073.2220651187417,1093.725,1014.5883299597119,871.483,990.8469366974382,779.518,405.6244388519449,352.421,-29.72381105823456,-32.19699999999989,-2.3296280469448902,26.552000000000135,-1.9409845324844355,40.690000000000055,1.8622472827781178,1.314
heating_validation,E73,13.170870967741934,638.5277709743557,837.694,634.2180253718013,894.482,619.7860419084465,791.76,634.8535804857731,867.5509999999999,620.3828212992393,747.4,611.2054726088493,694.626,329.4070939154994,325.12,-4.309745602554358,56.78800000000001,-0.6355551139718045,26.93100000000004,-0.5967793907927899,44.360000000000014,1.1659635687886547,1.827
heating_validation,E75,6.944410852713178,890.7901663658823,1008.725,863.0254621335273,979.689,815.8463166223931,788.678,864.3328793635976,954.178,816.9357841760075,757.393,795.9305745024124,681.066,362.3363428801383,336.517,-27.76470423235503,-29.036000000000058,-1.307417230070314,25.510999999999967,-1.0894675536143268,31.284999999999968,0.7234069369578382,0.651
heating_validation,E78,10.009137614678897,572.2966694474331,631.689,567.3769183262652,685.819,552.6492663775997,612.092,567.8213139547601,663.635,553.0619803326189,583.704,543.2877635542472,554.4549999999999,322.6773470504435,312.95899999999995,-4.919751121167906,54.129999999999995,-0.4443956284948172,22.18399999999997,-0.4127139550191714,28.388000000000034,0.49786820649338925,0.637
