variant,simulation_id,irradiance_kW_m2,mean_flow_lpm,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K,model_T12_minus_T8_K,observed_T12_minus_T8_K,model_T12_minus_T9_K,observed_T12_minus_T9_K,model_T11_minus_T10_K,observed_T11_minus_T10_K,model_dp1_mbar,observed_dp1_mbar,mean_Nu_5mm,mean_Nu_58mm,mean_Nu_107mm,core_mass_flux_kg_m2s,edge_mass_flux_kg_m2s,core_to_edge_mass_flux_ratio,max_groove_dp_Pa,pressure_equalization_error,nz
apparent_prescribed_v9,E67,456.0,15.2805125,956.6874077588427,931.6279999999999,825.2034122590856,991.103,722.1779158542997,878.055,826.4330916267396,966.6659999999999,722.9363880139498,824.995,636.0902758719731,763.414,349.94774822052545,326.43699999999995,-131.48399549975716,59.47500000000002,-1.2296793676540574,24.437000000000012,-0.7584721596500685,53.059999999999945,2.560145974101332,2.712,0.3171325947494915,0.13101643471976798,0.10954926180797708,1.4142798071931368,1.326968276547495,1.0657977528089886,0.0,0.08198870915630782,30
apparent_prescribed_v9,E68,456.0,12.499871559633025,1075.631796057349,1012.649,921.0715388100539,1047.717,788.4746629025683,898.751,922.6257888290547,1020.928,789.3888296730943,850.0989999999999,673.7600239446297,773.207,369.82560499781226,338.52,-154.5602572472951,35.0680000000001,-1.5542500190008468,26.7890000000001,-0.9141667705259806,48.652000000000044,2.0379767004547715,2.004,0.21798770215430752,0.09063069874165716,0.07656713691412044,1.1553727486680776,1.084045022259624,1.0657977528089888,0.0,0.08105627966280347,30
apparent_prescribed_v9,E69,456.0,10.499733944954128,1168.4008787087398,1058.429,1000.7556488970843,1070.73,842.4957727866662,896.755,1002.6281715053706,1044.378,843.5568171267491,852.837,697.4666207561056,769.76,384.6625438494609,344.308,-167.64522981165555,12.30099999999993,-1.8725226082863173,26.35200000000009,-1.0610443400829581,43.918000000000006,1.6113895798637863,1.542,0.16057391410503977,0.06692443056690284,0.0569937796956286,0.9718261375351332,0.9118297866305439,1.0657977528089886,0.0,0.08036007719301468,30
apparent_prescribed_v9,E70,456.0,9.107139705882352,1237.2343491542317,1152.474,1064.4263312262578,1120.277,887.3069298372687,912.173,1066.5820098310487,1093.725,888.4959242741546,871.483,714.0862959958765,779.518,400.543968921275,352.421,-172.80801792797388,-32.19699999999989,-2.1556786047908645,26.552000000000135,-1.1889944368858778,40.690000000000055,1.3031585745402139,1.314,0.12536590444638213,0.05232025708121531,0.04478604920891605,0.8419102742395234,0.7899343679610945,1.0657977528089888,0.0,0.07961638634850779,30
apparent_prescribed_v9,E71,456.0,7.126846153846151,1334.2338039507672,1203.298,1160.3459073448041,1120.348,956.7422783880762,882.823,1162.997872568455,1095.306,958.1536556971903,847.476,730.2978330986265,753.56,424.94073210802674,356.00399999999996,-173.88789660596308,-82.95000000000005,-2.6519652236509046,25.041999999999916,-1.4113773091140729,35.34699999999998,0.8448248851247867,0.825,0.08389912259200637,0.035051957954767884,0.030199749135595665,0.6606753332719817,0.6198880899595848,1.0657977528089888,0.0,0.07839714266379443,30
apparent_prescribed_v9,E72,304.0,18.707575757575754,668.588885906739,737.656,599.0494297385025,797.899,548.1133495433636,733.977,599.6027696669321,771.112,548.4814112542921,684.1869999999999,506.16158102142134,652.9549999999999,321.0843123830356,309.928,-69.5394561682366,60.24300000000005,-0.5533399284296365,26.787000000000035,-0.3680617109284867,49.79000000000008,2.151313930848431,2.485,0.5327047514290582,0.21931605926204076,0.1805517027737168,1.6936220299803526,1.589065116263087,1.0657977528089888,0.0,0.07933333930564132,30
apparent_prescribed_v9,E73,304.0,13.170870967741934,822.191138366693,837.694,711.5744710178459,894.482,627.6076754854904,791.76,712.3828979831329,867.5509999999999,628.109729598143,747.4,559.2725276096323,694.626,337.2531579651507,325.12,-110.61666734884716,56.78800000000001,-0.8084269652870262,26.93100000000004,-0.5020541126525586,44.360000000000014,1.5039899753005521,1.827,0.28670937051643197,0.11987265492878296,0.10030789910713608,1.2186200443934847,1.1433877029499468,1.0657977528089886,0.0,0.07832909322671493,30
apparent_prescribed_v9,E74,304.0,9.023245901639344,1004.2836586287357,948.538,855.2097094591163,962.509,724.7907447049546,804.0,856.446401751244,935.491,725.4976674660072,767.8009999999999,609.7292190895691,697.672,358.771044908544,333.964,-149.07394916961937,13.971000000000004,-1.2366922921277137,27.01800000000003,-0.7069227610526241,36.19900000000007,0.8794530723568678,1.071,0.14428648320463425,0.06105279389938154,0.052071115001226555,0.8336807284506912,0.7822128788069443,1.0657977528089888,0.0,0.07698803611170757,30
apparent_prescribed_v9,E75,304.0,6.944410852713178,1111.7212478895635,1008.725,950.1295265771787,979.689,789.4970634015141,788.678,951.715256833254,954.178,790.3643837086607,757.393,631.8615038136336,681.066,375.15578858640316,336.517,-161.59172131238483,-29.036000000000058,-1.5857302560752942,25.510999999999967,-0.867320307146656,31.284999999999968,0.5252182176304719,0.651,0.09227662888883245,0.039179415984666566,0.03376639624364029,0.6419970383355312,0.6023629123288171,1.0657977528089888,0.0,0.07591733032333314,30
apparent_prescribed_v9,E76,304.0,4.526673611111114,1237.63817613981,1067.693,1074.4024729997739,970.472,878.3358410111659,751.1579999999999,1076.537587832621,947.353,879.4549363849223,726.308,641.7830738557554,647.019,400.86062373263474,338.123,-163.2357031400361,-97.221,-2.1351148328471936,23.119000000000028,-1.1190953737564087,24.84999999999991,0.08377365213002841,0.174,0.0465082033100936,0.01980782282654827,0.017262984743857946,0.4197068352304445,0.39379594686165925,1.065797752808989,0.0,0.07400078072832364,30
