variant,simulation_id,time_s,flow_lpm,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K,model_dp1_mbar,observed_dp1_mbar
apparent_prescribed_v9,E67,0.0,15.279999999999998,293.3685,296.62199999999996,293.3685,296.25,293.3685,296.35299999999995,293.3685,296.22499999999997,293.3685,296.43399999999997,293.3684999999999,296.686,293.3685,293.39799999999997,0.07655399940180319,0.146
apparent_prescribed_v9,E67,50.0,15.271,644.4104306041925,383.55999999999995,411.51951288610337,341.47999999999996,344.02333946870914,308.99899999999997,412.1621636057104,316.138,344.2750421683457,300.25399999999996,384.71263826797565,299.786,293.36996444251236,293.414,0.823221502597078,0.316
apparent_prescribed_v9,E67,100.0,15.279,771.3124180168252,540.75,509.6778447858708,473.256,398.4567438346446,376.486,510.6855578394009,420.83,398.8791320310322,346.76099999999997,443.2915554649925,327.39099999999996,293.3818848869361,293.438,1.2717942302781022,0.6
apparent_prescribed_v9,E67,150.0,15.276,834.3251379357255,664.299,581.0615577334221,589.1769999999999,447.0217928785287,445.365,582.3175747932863,529.854,447.5870425563087,403.433,483.6933770620649,354.489,293.42244382136477,293.471,1.5656597308680351,0.864
apparent_prescribed_v9,E67,200.0,15.274999999999999,869.770214682788,748.8409999999999,632.3220464313706,676.7909999999999,487.83922871093625,499.078,633.7305282750702,618.247,488.5153186276673,448.715,512.6394882835992,378.13699999999994,293.52169987660267,293.50899999999996,1.768377951176146,1.033
apparent_prescribed_v9,E67,250.0,15.288000000000002,891.3072745619957,809.804,669.452838680641,746.2349999999999,521.500341565184,544.2439999999999,670.9479266828355,691.87,522.2588241268262,487.053,534.0356263271967,398.99399999999997,293.7156540365123,293.53999999999996,1.9164494014705378,1.192
apparent_prescribed_v9,E67,300.0,15.274000000000001,905.5087243197759,854.7379999999999,696.8093414099902,803.725,549.1211955342633,584.703,698.3491725422994,752.739,549.9389550470983,521.4689999999999,550.2012328280784,420.99299999999994,294.0383457745128,293.59299999999996,2.0200764962003963,1.326
apparent_prescribed_v9,E67,350.0,15.269,915.4407779532637,882.3009999999999,717.4322295931665,844.107,571.8433792168995,616.0509999999999,718.9913332913129,795.891,572.7028707648401,548.444,562.7923006923899,442.34799999999996,294.5161021780148,293.645,2.1003525124091946,1.439
apparent_prescribed_v9,E67,400.0,15.283999999999999,922.3746694910508,903.242,733.2712568332496,877.372,590.6517415464411,644.2819999999999,734.8338654317168,831.799,591.5399420552532,572.938,572.805067899209,461.29599999999994,295.16460621551755,293.70799999999997,2.1676406433495963,1.538
apparent_prescribed_v9,E67,450.0,15.280000000000001,927.5393286372395,918.233,745.6680686886687,900.886,606.3138341066058,666.63,747.2249122014553,857.492,607.2209730695847,592.479,580.8128287770835,478.52299999999997,295.98846673160807,293.78099999999995,2.216728973130776,1.614
apparent_prescribed_v9,E67,500.0,15.284,931.5272733240026,930.434,755.5867365695691,919.933,619.4569276331666,685.787,757.1326538280738,878.2909999999999,620.3759419658481,609.479,587.3967482581788,494.013,296.9824040333227,293.83799999999997,2.2585090390469897,1.707
apparent_prescribed_v9,E67,550.0,15.283,934.6795856530205,938.485,763.660640878082,935.644,630.5738064639685,703.467,765.1928759915818,895.824,631.4995328464552,625.688,592.8466461513069,510.158,298.13325535362617,293.935,2.291683351969561,1.761
apparent_prescribed_v9,E67,600.0,15.276000000000002,937.3412524503267,945.481,770.3687118521623,947.425,640.0544869725754,718.056,771.8862009598299,908.976,640.9832125200743,639.185,597.4263525015347,522.261,299.42230979018206,294.03099999999995,2.317826764722194,1.819
apparent_prescribed_v9,E67,650.0,15.271,939.6122752462508,950.697,776.0428468463678,957.418,648.2107185758633,730.835,777.5453927951454,919.996,649.1398269095662,651.1659999999999,601.3442158856678,536.413,300.8276271294309,294.145,2.3403934415388608,1.877
apparent_prescribed_v9,E67,700.0,15.281,941.3582340182141,955.255,780.8612807652755,966.3199999999999,655.2787145757399,743.392,782.3486728921159,930.026,656.2063202601703,663.016,604.756010132835,550.509,302.3258876334621,294.32599999999996,2.3638323266548076,1.934
apparent_prescribed_v9,E67,750.0,15.285999999999998,942.7314798023752,955.7379999999999,784.9598157245665,972.053,661.4315017699366,753.972,786.4320858319119,936.941,662.3561285983492,673.497,607.6665282558694,562.942,303.8939962439727,294.496,2.3827270502159292,1.981
apparent_prescribed_v9,E67,800.0,15.292000000000002,943.8707220905824,959.4789999999999,788.4857300640448,977.4549999999999,666.8145820331109,763.094,789.943208481385,942.962,667.7351609944326,682.845,610.1954369295827,574.229,305.51004313566534,294.692,2.399540368410273,2.029
apparent_prescribed_v9,E67,850.0,15.281,945.0449220732964,961.689,791.5936692661429,982.935,671.5564958900179,772.385,793.0373654892874,949.114,672.4723135810032,692.27,612.381076188146,586.5219999999999,307.15402509998603,294.95399999999995,2.409763489684175,2.07
apparent_prescribed_v9,E67,900.0,15.277,946.1871553655836,962.116,794.3965071935518,986.364,675.7732193252845,780.284,795.8275224409458,953.384,676.6839282527525,700.508,614.3689627514307,596.6769999999999,308.8083640785824,295.22999999999996,2.4208288355887144,2.108
apparent_prescribed_v9,E67,950.0,15.287999999999998,947.0019118255328,963.689,796.8754233947751,989.629,679.5361879103918,787.754,798.2940987682427,957.206,680.4415129670442,708.5129999999999,616.1715048487011,606.607,310.45790796338804,295.532,2.43479810270494,2.139
apparent_prescribed_v9,E67,1000.0,15.282,947.7518401948108,965.2819999999999,799.0684261635638,994.1569999999999,682.8973882300104,794.189,800.4753592438138,961.788,683.7970606015824,715.48,617.6931940211346,614.825,312.0898755624505,295.83,2.4422042164757816,2.183
apparent_prescribed_v9,E67,1050.0,15.291,948.3478783968469,963.408,801.025439619262,997.732,685.9131893726748,801.0699999999999,802.4210911086423,964.0079999999999,686.8071067253959,723.037,619.1088492186166,622.938,313.6937674612509,296.166,2.4531617834796764,2.222
apparent_prescribed_v9,E67,1100.0,15.279,949.007134243112,963.127,802.7945862721572,998.2529999999999,688.6274613345923,807.693,804.1797985467059,966.021,689.5155561578895,730.351,620.29985842326,631.546,315.26125494571744,296.543,2.456867857972841,2.238
apparent_prescribed_v9,E67,1150.0,15.279,949.6437527247103,960.8299999999999,804.4326727359145,997.732,691.0912635941966,812.467,805.8082618801316,966.443,691.9736526624538,735.948,621.4397363629402,638.8399999999999,316.78592861006877,296.935,2.463720671557989,2.272
apparent_prescribed_v9,E67,1200.0,15.278999999999998,950.1541286424551,959.7379999999999,805.9162792404825,997.293,693.329567763887,816.3919999999999,807.2827013397184,966.6179999999999,694.206322787736,740.795,622.4606961948764,645.547,318.26305609893325,297.36499999999995,2.469787537762249,2.3
apparent_prescribed_v9,E67,1250.0,15.276,950.6449796916795,959.459,807.2723020530261,998.155,695.3706881317308,820.221,808.6301379832906,967.732,696.2419337233288,745.568,623.3963394661848,651.79,319.6893996643511,297.842,2.474629051641048,2.315
apparent_prescribed_v9,E67,1300.0,15.281999999999998,951.0243858446067,958.593,808.506761474519,999.324,697.2385243589757,824.156,809.8564060937638,969.259,698.1044140509454,750.065,624.2881618016629,657.969,321.06311483040344,298.337,2.4817756501851616,2.35
apparent_prescribed_v9,E67,1350.0,15.272,951.4884517987275,959.971,809.6526480697834,1000.691,698.9530129121893,827.909,810.9948218095103,970.793,699.813704025083,754.442,625.0516539961377,663.902,322.38337556687145,298.86499999999995,2.4836563919327506,2.365
