variant,simulation_id,time_s,flow_lpm,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K,model_dp1_mbar,observed_dp1_mbar
apparent_prescribed_v9,E67,1400.0,15.267000000000001,952.0249520642997,961.14,810.760001498216,1001.857,700.5451908209225,831.9259999999999,812.0955415151805,972.268,701.4009732923662,758.939,625.8140081921877,670.017,323.65011576206075,299.448,2.4871390686736867,2.39
apparent_prescribed_v9,E67,1450.0,15.278,952.323035357917,959.132,811.7663509540946,1002.353,702.0182315305924,835.31,813.0953068747219,973.086,702.8692836115862,763.0429999999999,626.5593940726116,675.245,324.8639211517685,300.01399999999995,2.4949265812792887,2.412
apparent_prescribed_v9,E67,1500.0,15.276,952.5839172434119,960.8729999999999,812.6642253776732,1003.879,703.372040875995,838.6809999999999,813.9868428925207,974.5799999999999,704.2184541969148,767.0519999999999,627.1840358518558,680.717,326.02579803027135,300.644,2.498246036562614,2.425
apparent_prescribed_v9,E67,1550.0,15.28,952.8313996006448,960.36,813.4922606143127,1003.5219999999999,704.6228702186769,841.977,814.8088967916331,974.894,705.4648125727255,770.9179999999999,627.7872148862205,685.712,327.13714202085424,301.243,2.5031549105993354,2.445
apparent_prescribed_v9,E67,1600.0,15.272,953.1643843891065,958.961,814.2759691617682,1003.0849999999999,705.7831646311103,844.481,815.5872311027463,974.788,706.6208179517555,774.1279999999999,628.3061033489241,690.2339999999999,328.19955782434465,301.84999999999997,2.5041555760803345,2.462
apparent_prescribed_v9,E67,1650.0,15.286,953.3003183755907,957.069,814.9860511977429,1002.448,706.8567824230763,846.79,816.2919374059495,974.446,707.6902954166761,777.208,628.8442058875958,694.6769999999999,329.2147394603965,302.51099999999997,2.5113654105381213,2.46
apparent_prescribed_v9,E67,1700.0,15.264000000000001,953.6639152709471,955.092,815.6603576226472,1000.703,707.8498214940167,848.728,816.9616192598218,973.215,708.6793261352973,779.741,629.20658352236,698.333,330.1843333077785,303.11699999999996,2.5072583765023624,2.482
apparent_prescribed_v9,E67,1750.0,15.289999999999997,953.7169235830592,954.569,816.272811142474,999.749,708.7735573981739,850.108,817.5692305739212,972.321,709.5992498530918,781.96,629.7232895188865,701.8389999999999,331.1101025531421,303.736,2.5177644269543005,2.48
apparent_prescribed_v9,E67,1800.0,15.275,953.8410397583743,954.257,816.7950160795663,999.802,709.613091888159,851.733,818.0868311058117,972.346,710.434966728058,784.309,629.9992595486649,705.354,331.99385236252124,304.39799999999997,2.514891686796072,2.489
apparent_prescribed_v9,E67,1850.0,15.280000000000001,954.014760845529,955.423,817.3103302223502,1000.2869999999999,710.3975497163608,853.41,818.5980137183208,972.794,711.215848146514,786.5849999999999,630.3683486983465,708.4549999999999,332.83740977139456,305.012,2.5185120884797283,2.507
apparent_prescribed_v9,E67,1900.0,15.271,954.2453798268753,956.5889999999999,817.8062016092878,1001.2049999999999,711.131835434199,855.321,819.0902436604006,973.619,711.9467488970944,788.891,630.6724192168138,711.199,333.6427159288368,305.64099999999996,2.5178242920211438,2.519
apparent_prescribed_v9,E67,1950.0,15.286,954.2973983532538,955.79,818.2584098268236,1002.038,711.8209630801854,857.5169999999999,819.5387536976433,974.564,712.6326842792995,791.4449999999999,631.0597331595516,714.434,334.4118271712267,306.32899999999995,2.5245844494234393,2.529
apparent_prescribed_v9,E67,2000.0,15.283000000000001,954.3460370740202,954.0029999999999,818.6475435147609,1001.9,712.4561354568195,859.3389999999999,819.9242931057436,974.6419999999999,713.2647330169533,793.648,631.3252761037836,717.367,335.14684237742665,306.96999999999997,2.5253210889975053,2.552
apparent_prescribed_v9,E67,2050.0,15.283999999999999,954.4716637242611,952.7099999999999,819.0301987016724,1001.518,713.0539937859808,860.814,820.3037737330164,974.4119999999999,713.859667774133,795.635,631.6197327999608,720.104,335.84972858250535,307.613,2.5275555686654023,2.55
apparent_prescribed_v9,E67,2100.0,15.279,954.6670885646818,953.5169999999999,819.4164073146951,1001.712,713.6223797654623,862.091,820.6872736399787,974.4929999999999,714.4253312245714,797.485,631.88284730086,722.6320000000001,336.5224102506203,308.293,2.5278940752298134,2.578
apparent_prescribed_v9,E67,2150.0,15.281000000000002,954.8356452511192,954.617,819.7971710976856,1001.542,714.1643506755846,863.542,821.0655510439035,974.592,714.9647683814419,799.309,632.1653297448235,724.988,337.1665780694947,308.94,2.530366886261364,2.574
apparent_prescribed_v9,E67,2200.0,15.283000000000001,954.9327939201826,952.0889999999999,820.1429058712855,1001.03,714.6733609000047,864.771,821.4088012570855,974.2049999999999,715.4713450786227,801.012,632.4128687248958,727.544,337.78385730164905,309.602,2.5325112740704068,2.588
apparent_prescribed_v9,E67,2250.0,15.278999999999998,955.0735598604958,952.5509999999999,820.4693959118244,1000.208,715.1512326143339,865.6659999999999,821.7330140757932,973.494,715.9468895891221,802.425,632.6183179244774,729.6089999999999,338.37569903045437,310.21799999999996,2.5326463305261036,2.595
apparent_prescribed_v9,E67,2300.0,15.283999999999999,955.1525813395851,950.836,820.7724515141344,999.5509999999999,715.6005574448691,866.4019999999999,822.0338286981709,972.929,716.3940023003729,803.709,632.8521475717625,731.569,338.9434698125037,310.83,2.5355802170704753,2.595
apparent_prescribed_v9,E67,2350.0,15.271,955.3773505731061,950.7719999999999,821.0799231885837,999.535,716.0273912874869,867.215,822.3395234490101,972.891,716.8187570826966,805.009,633.0076186086224,733.453,339.4885444585513,311.46799999999996,2.532869990589995,2.61
apparent_prescribed_v9,E67,2400.0,15.277,955.5272768521156,949.99,821.3896609777704,999.3349999999999,716.4388331569631,868.174,822.6475649853093,972.744,717.2282907903723,806.313,633.2433480040913,735.324,340.01220530768484,312.058,2.536164506884503,2.606
apparent_prescribed_v9,E67,2450.0,15.291,955.4068807221906,948.415,821.6109289678695,998.304,716.811306937554,868.793,822.8665429859911,971.823,717.5988080555527,807.472,633.4483619542309,736.95,340.5156673560771,312.635,2.54135271368982,2.619
apparent_prescribed_v9,E67,2500.0,15.286999999999999,955.3647330723064,949.93,821.781394685577,998.3,717.1448685870763,869.323,823.0347842913801,971.576,717.9303962573046,808.4359999999999,633.556276580312,738.574,341.00005273624276,313.253,2.5407496126675597,2.623
apparent_prescribed_v9,E67,2550.0,15.281,955.5003486578236,950.8629999999999,821.9823029686538,999.054,717.463348863729,870.217,823.2340571624844,972.1469999999999,718.2470750948947,809.571,633.6851740748541,740.123,341.46647804967154,313.80899999999997,2.5398831931905907,2.644
apparent_prescribed_v9,E67,2600.0,15.280000000000001,955.6512636175343,951.547,822.2057432769043,999.8829999999999,717.7736062756219,871.331,823.456180213493,972.901,718.555704744538,810.9,633.8444140515047,741.78,341.9159698590701,314.41499999999996,2.5407033545910696,2.646
apparent_prescribed_v9,E67,2650.0,15.276,955.8138797351475,952.322,822.4368406074068,1000.2049999999999,718.075749867161,872.4159999999999,823.686171101656,973.263,718.8563586464244,812.178,633.9919932938849,743.4369999999999,342.34947210460746,314.96799999999996,2.540606992803621,2.646
apparent_prescribed_v9,E67,2700.0,15.293,955.7249312685633,950.365,822.6132738368291,999.963,718.3567149615101,873.252,823.8609758286193,973.2049999999999,719.1358515856509,813.3249999999999,634.189676613141,744.865,342.76790992912765,315.508,2.546748728515847,2.64
apparent_prescribed_v9,E67,2750.0,15.277,955.8318344088125,949.35,822.7733523660775,999.095,718.6156968370555,873.845,824.0197792127374,972.489,719.3933797299916,814.295,634.2418567776815,746.278,343.1721306546312,316.078,2.542480900296033,2.654
apparent_prescribed_v9,E67,2800.0,15.27,956.1266073742996,947.946,823.0055695276243,998.558,718.8829441410404,874.2049999999999,824.25142550852,971.971,719.6594341886948,815.009,634.3883140298078,747.461,343.5629690956976,316.616,2.541658525394183,2.661
apparent_prescribed_v9,E67,2850.0,15.289000000000001,956.0704005860414,948.2139999999999,823.1883641670249,998.358,719.1354074543403,874.54,824.4330136335541,971.699,719.9107132652405,815.673,634.5853597594096,748.614,343.9411965539923,317.13199999999995,2.548371413822387,2.663
apparent_prescribed_v9,E67,2900.0,15.284,956.0073181240974,948.404,823.3015722941243,998.432,719.3547233583986,875.098,824.5447852899988,971.762,720.1287315682937,816.438,634.6325628041948,749.8820000000001,344.3073884888781,317.662,2.547054760812368,2.666
apparent_prescribed_v9,E67,2950.0,15.281,956.0757970686554,946.838,823.4264111938999,998.067,719.5591908000307,875.509,824.6684970809599,971.437,720.3319715188071,817.115,634.694509923741,751.028,344.6620178043487,318.145,2.546452477862502,2.686
apparent_prescribed_v9,E67,3000.0,15.28,956.1507783393124,945.62,823.5586436797342,998.304,719.7541022940484,876.05,824.7997874483066,971.6329999999999,720.5257469528616,817.889,634.7865722054119,751.943,345.0055272133787,318.652,2.546778942591269,2.695
apparent_prescribed_v9,E67,3050.0,15.282,956.1942873660195,947.942,823.686142117434,998.97,719.9417671702765,876.524,824.9263809711407,972.026,720.7123570782092,818.6089999999999,634.8945018715294,752.847,345.33854652118254,319.13399999999996,2.548119979711754,2.697
apparent_prescribed_v9,E67,3100.0,15.278,956.2824097962446,946.183,823.8173761521653,999.471,720.1242492431995,877.3389999999999,825.0568742379577,972.59,720.8938648750587,819.4929999999999,634.9776868110391,753.822,345.6617028553061,319.59799999999996,2.5475841455004913,2.71
apparent_prescribed_v9,E67,3150.0,15.289,956.2437570622458,947.278,823.9268050049387,999.0939999999999,720.2979834673608,877.976,825.165345951137,972.338,721.0666697648121,820.345,635.1207627158005,755.016,345.9756331116185,320.12399999999997,2.5517869339191215,2.709
apparent_prescribed_v9,E67,3200.0,15.281,956.2935202961108,946.712,824.0248813900713,998.256,720.4597858249828,878.293,825.2626226891387,971.739,721.2275498507258,820.92,635.1630634968562,755.913,346.28092118107577,320.575,2.549766692672294,2.716
apparent_prescribed_v9,E67,3250.0,15.283,956.3748778864076,946.56,824.142191822815,997.847,720.6197482739676,878.362,825.3793084907205,971.3,721.386688499343,821.3059999999999,635.2621937280319,756.631,346.5779777097075,321.03999999999996,2.551065726885337,2.732
apparent_prescribed_v9,E67,3300.0,15.279,956.4705941378178,947.1229999999999,824.263028889173,997.579,720.7755886282615,878.6089999999999,825.4996389411631,971.0,721.5417592505144,821.7379999999999,635.3342053447543,757.373,346.8671536764124,321.50699999999995,2.5504572058832298,2.721
apparent_prescribed_v9,E67,3350.0,15.272,956.6505018167671,945.468,824.4097179470167,997.482,720.9341117037255,878.8199999999999,825.6460922545776,970.9019999999999,721.699612406759,822.167,635.401954608546,758.0419999999999,347.1487914639486,321.94399999999996,2.548969490196344,2.715
apparent_prescribed_v9,E67,3400.0,15.289,956.565800902212,942.838,824.5121491195346,996.877,721.0807902602868,879.087,825.7477238962109,970.444,721.8455926821795,822.624,635.5377923552246,758.7639999999999,347.42316803577296,322.38899999999995,2.554716367071518,2.726
apparent_prescribed_v9,E67,3450.0,15.284,956.4883948122648,944.692,824.557143000176,996.117,721.2010370095406,879.1039999999999,825.7917153189628,969.77,721.9650129565091,822.9069999999999,635.5333959887719,759.396,347.6905170578809,322.77299999999997,2.553033405551342,2.719
apparent_prescribed_v9,E67,3500.0,15.283000000000001,956.5158075744126,943.771,824.6156404182016,996.322,721.312556487911,879.177,825.849468679157,969.855,722.0757592398357,823.1519999999999,635.5685392517186,759.736,347.95099820729234,323.16999999999996,2.5528986838867,2.721
apparent_prescribed_v9,E67,3550.0,15.276000000000002,956.6327071441638,944.607,824.7017914766107,996.293,721.4247653196134,879.411,825.935233083929,969.709,722.1872969022512,823.495,635.6061116639214,760.3009999999999,348.20485146247825,323.56399999999996,2.5511960149791797,2.732
apparent_prescribed_v9,E67,3600.0,15.290000000000003,956.5700740795119,944.8389999999999,824.7702540441942,997.088,721.5335577949384,879.794,826.0030093068837,970.3489999999999,722.2954578308488,823.967,635.7259078408513,760.7919999999999,348.4524492608497,323.986,2.5560787150835313,2.744
apparent_prescribed_v9,E67,3650.0,15.286000000000001,956.5285804624908,943.7909999999999,824.8074739239875,997.481,721.6292207630286,880.332,826.0394946665134,970.731,722.3904471709476,824.55,635.7483721507007,761.45,348.69418786628216,324.371,2.5550712283435923,2.744
apparent_prescribed_v9,E67,3700.0,15.273,956.7421143996705,944.542,824.9053267956648,996.97,721.7351466989339,880.832,826.1372793691918,970.539,722.495857614708,825.101,635.7779980258072,762.155,348.9304012978522,324.76599999999996,2.5516968202049877,2.751
apparent_prescribed_v9,E67,3750.0,15.275999999999998,956.8973689332969,943.56,825.0374839680504,995.617,721.8532602326602,880.688,826.2694735713978,969.3439999999999,722.6135828514598,825.312,635.8812546381884,762.6869999999999,349.1613520969351,325.17199999999997,2.5533869813394774,2.74
apparent_prescribed_v9,E67,3800.0,15.282,956.8764199753858,944.3199999999999,825.1277760878556,995.655,721.9628741319084,880.5079999999999,826.3593591586957,969.244,722.7227544311653,825.357,635.9634460987388,763.005,349.3871997291478,325.522,2.555671288060269,2.744
apparent_prescribed_v9,E67,3850.0,15.290000000000001,956.7514954626816,940.545,825.1627563412353,994.0799999999999,722.0546900258522,880.6419999999999,826.3935275785739,968.088,722.8140347029016,825.591,636.0302368983874,763.524,349.60813793645,325.881,2.5583893007184715,2.75
apparent_prescribed_v9,E67,3900.0,15.283000000000001,956.7557332983789,939.569,825.1926567205226,992.978,722.1354099725626,879.994,826.4228225652356,966.722,722.8942005077073,825.341,636.0278058495538,763.718,349.82440069683764,326.238,2.556310931519543,2.742
apparent_prescribed_v9,E67,3929.0,15.295,956.6874077588427,931.6279999999999,825.2034122590856,991.103,722.1779158542997,878.055,826.4330916267396,966.6659999999999,722.9363880139498,824.995,636.0902758719731,763.414,349.94774822052545,326.43699999999995,2.560145974101332,2.712
apparent_prescribed_v9,E72,0.0,19.503,294.0745,295.56,294.0745,294.102,294.0745,294.015,294.0745,294.229,294.0745,294.226,294.07449999999994,294.17999999999995,294.0745,294.07599999999996,0.27385610377872327,0.255
apparent_prescribed_v9,E72,50.0,19.479,502.4219804830262,373.46,373.94725432585574,362.34299999999996,330.6444451033605,324.21099999999996,374.3583719135316,328.62899999999996,330.82212791661595,307.11899999999997,355.4214102975358,304.986,294.0754468430767,294.07399999999996,0.9734244633198473,0.471
apparent_prescribed_v9,E72,100.0,19.45,564.8387296498566,453.884,435.4220510038373,454.865,369.53908067272465,387.39599999999996,436.0159478518725,404.428,369.8281693792888,351.84299999999996,393.5593644687924,338.248,294.0832478208024,294.046,1.3606007284362014,0.724
apparent_prescribed_v9,E72,150.0,19.411,593.5620450155119,515.521,475.4594101137644,527.652,401.907842344225,439.84399999999994,476.14727956603724,472.907,402.27615516462686,393.721,418.5902141877368,364.9,294.10982253780537,294.043,1.5959435184246762,0.932
apparent_prescribed_v9,E72,200.0,19.372,609.2020134597282,566.458,501.6258313512132,587.3820000000001,427.0584648513799,484.692,502.35334205091823,532.14,427.47707144566675,430.62699999999995,435.6570758583014,387.02099999999996,294.1740797639604,294.056,1.7471055476199684,1.118
apparent_prescribed_v9,E72,250.0,19.331,618.7804155494533,600.6179999999999,519.3291344123834,631.105,446.3403112778551,519.356,520.0676778498612,576.909,446.78834261845594,459.476,447.7452640253432,407.085,294.29715310138295,294.08,1.8482232911246794,1.266
apparent_prescribed_v9,E72,300.0,19.286,625.2451223371795,625.5519999999999,531.8123575425009,662.649,461.2286026099302,546.762,532.5481149209278,610.781,461.6923991011327,483.17499999999995,456.623002618757,423.78,294.4970959287041,294.12,1.9178998386010004,1.382
apparent_prescribed_v9,E72,350.0,19.266000000000002,629.7531664146366,644.915,540.9471276928037,688.435,472.8982892053725,570.3979999999999,541.6737670060936,638.979,473.36936810887187,503.76099999999997,463.3602098837032,441.294,294.7856500834252,294.154,1.972087598959785,1.482
apparent_prescribed_v9,E72,400.0,19.227999999999998,633.1638425026028,660.424,547.8516761514747,707.871,482.1858331378592,588.377,548.5667576879571,660.075,482.6589375914098,519.235,468.581190795608,455.501,295.1672560846343,294.215,2.009342364920885,1.563
apparent_prescribed_v9,E72,450.0,19.202,635.8540719993921,671.613,553.2525459571523,722.509,489.7029147074964,603.733,553.9555781949522,676.726,490.1749632259731,532.96,472.7586022901098,470.66999999999996,295.6398417034828,294.27099999999996,2.039602804004066,1.636
apparent_prescribed_v9,E72,500.0,19.173,638.0464091810045,681.039,557.5855946373044,734.97,495.8811514930367,617.3599999999999,558.2769176484007,690.972,496.3503324146725,545.644,476.1572264113882,484.707,296.19621942744794,294.344,2.0625619896649634,1.717
apparent_prescribed_v9,E72,550.0,19.139,639.9595734203468,687.9459999999999,561.1627957330588,744.2629999999999,501.0339263430548,628.391,561.843219471059,701.685,501.4992389710044,556.144,478.97667659345495,496.54499999999996,296.82580977274733,294.423,2.0796297019981482,1.762
apparent_prescribed_v9,E72,600.0,19.088,641.8081255236018,693.515,564.221205904581,751.25,505.39811986617065,637.449,564.8918826506901,709.749,505.8590987693026,565.315,481.36222229919395,507.08,297.5161833431676,294.52099999999996,2.089846039803778,1.8
apparent_prescribed_v9,E72,650.0,19.037000000000003,643.6150672375882,698.5070000000001,566.9254842359809,756.723,509.1595663904526,645.352,567.5876185648711,716.5409999999999,509.6161326288959,573.3820000000001,483.4481069557149,516.4449999999999,298.2543412271081,294.62699999999995,2.097653620818248,1.857
apparent_prescribed_v9,E72,700.0,18.988999999999997,645.3307434590835,704.932,569.3554876738913,763.856,512.4509277873337,653.028,570.0100868595733,724.288,512.9031863077078,581.29,485.30632322219935,525.539,299.02766119983494,294.76,2.1042557028680453,1.908
apparent_prescribed_v9,E72,750.0,18.967000000000002,646.7460456725569,707.6379999999999,571.5170923660387,768.467,515.3568372620123,659.949,572.1646550850708,729.995,515.804918375411,588.575,486.9704154137647,533.712,299.82456664329936,294.892,2.1142039809888207,1.938
apparent_prescribed_v9,E72,800.0,18.92,648.0982938408122,708.393,573.4427011773827,770.241,517.927296188803,665.681,574.0837688583467,733.479,518.371255074718,594.95,488.3971172496193,541.6469999999999,300.63477483690815,295.019,2.117097292587525,1.972
apparent_prescribed_v9,E72,850.0,18.894000000000002,649.3148212986147,710.553,575.1883139565946,770.93,520.2211580019856,669.906,575.8233603597932,735.2629999999999,520.661147394872,600.3009999999999,489.7000090632084,548.774,301.44935498712664,295.178,2.1230711090009327,2.006
apparent_prescribed_v9,E72,900.0,18.884999999999998,650.2123293238943,711.989,576.7134313617846,772.8779999999999,522.2633303789703,673.469,577.3425054830429,737.701,522.6994032599099,604.787,490.8493529963867,554.634,302.26077400693583,295.34499999999997,2.1309226254364857,2.044
apparent_prescribed_v9,E72,950.0,18.852999999999998,651.0777577645025,713.896,578.0577301671008,774.5039999999999,524.0771122792834,677.169,578.6811329584017,740.002,524.5092890242714,609.28,491.8207672508412,560.228,303.0628721524254,295.501,2.132587498997363,2.057
apparent_prescribed_v9,E72,1000.0,18.839000000000002,651.8527648060096,717.2090000000001,579.2750543925769,777.149,525.7031766455432,680.702,579.8931357202858,742.7159999999999,526.131591011808,613.44,492.72220240059414,565.664,303.8507496885141,295.67699999999996,2.1373135620751174,2.066
apparent_prescribed_v9,E72,1050.0,18.809,652.6177861504256,719.933,580.3820470509472,779.527,527.1657419516324,684.7829999999999,580.9952077893857,745.646,527.5905083155559,617.928,493.50275092519155,571.3489999999999,304.6206117210229,295.899,2.1377653945594313,2.109
apparent_prescribed_v9,E72,1100.0,18.796,653.3054334455019,721.0909999999999,581.4050692042821,781.153,528.4954886546168,688.1279999999999,582.0136558712841,747.813,528.9168004462092,621.819,494.25437097114053,576.26,305.3696284884691,296.114,2.14153442931766,2.121
apparent_prescribed_v9,E72,1150.0,18.768,654.0211962241019,721.613,582.36013223435,782.594,529.7127167479917,691.095,582.9645794060677,749.6769999999999,530.1307562434836,625.4449999999999,494.93476757197783,580.81,306.0959350692728,296.35299999999995,2.1417920840180478,2.155
apparent_prescribed_v9,E72,1200.0,18.742,654.7957464818297,724.1769999999999,583.2902266516248,784.7249999999999,530.8451355149269,694.277,583.8910515492782,752.06,531.2601535464881,629.142,495.5926334391804,585.413,306.79842633823966,296.628,2.142374438220814,2.167
apparent_prescribed_v9,E72,1250.0,18.707,655.6435928915887,724.68,584.2098500555535,785.3199999999999,531.9108684946852,696.92,584.8075719222734,753.2339999999999,532.3231178873993,632.577,496.217126448457,589.245,307.4764816313948,296.89799999999997,2.140940754992295,2.183
