variant,axial_mean_K,axial_rmse_K,mid_radial_mean_K,mid_radial_rmse_K,deep_radial_mean_K,deep_radial_rmse_K,slope_456_K_per_lpm,slope_304_K_per_lpm,slope_256_K_per_lpm,observed_slope_456_K_per_lpm,observed_slope_304_K_per_lpm,observed_slope_256_K_per_lpm,all_slope_signs_correct,T3_mae_K,dp1_rmse_mbar
baseline,148.82049474224496,203.73059020698295,-0.36003014123496274,24.068595715441962,-0.766961870534241,38.38438804037337,-14.585828071299908,-9.243050324358233,-6.32973668986391,17.46760217471777,11.10394799806559,7.292113312216978,false,157.92385404655104,0.7389857118649958
Sh_0p1,30.569166441018627,125.16691968118663,0.01720730306909483,23.6807949079616,-0.36991260880843885,37.93057291727976,-12.54253351196792,-9.64772756768713,-6.563163707034629,17.46760217471777,11.10394799806559,7.292113312216978,false,154.46887047168002,0.8472319328133805
Sh_0p25,103.24501894877064,171.51215673289136,-0.09795749360443058,23.802701309398376,-0.5947142110308524,38.180972142076456,-15.483241937687508,-10.656941863287711,-7.430035991696303,17.46760217471777,11.10394799806559,7.292113312216978,false,156.5628530941365,0.784192249256136
Sh_0p5,133.72647682764963,193.74596712507514,-0.24971539545154542,23.956604552644166,-0.7129425838418513,38.3206631566846,-15.554023427227033,-10.118005271452725,-7.023490466845837,17.46760217471777,11.10394799806559,7.292113312216978,false,157.36319627332892,0.7555269111447672
kr_0p05,145.20660691248958,201.0214026199133,-1.1710486494142458,25.05564547132734,-2.716235359703262,40.0855710288837,-14.782017836955905,-9.420312793211092,-6.436678568423961,17.46760217471777,11.10394799806559,7.292113312216978,false,158.34237673882157,0.7412648250013453
kr_0p3,149.42158797266816,204.16171041060986,-0.2199869627002992,23.92324467034124,-0.4632572580289131,38.127471461590304,-14.539320236620423,-9.206337326910894,-6.308400967653961,17.46760217471777,11.10394799806559,7.292113312216978,false,157.85868116428495,0.738620510057425
kz_0p5,106.11436908054765,154.23138355946077,-0.4791654686383235,24.190059122361593,-0.7693997601054813,38.40179594569734,-8.459152281596358,-4.60604503535333,-2.7631282718677257,17.46760217471777,11.10394799806559,7.292113312216978,false,155.32735178322795,0.7226213032062437
kz_1p0,73.05602950208183,118.08486646260758,-0.5917561710746876,24.305023989296235,-0.7746201336896471,38.4192715505636,-4.107567825855851,-1.9723026175211684,-0.9812833701875426,17.46760217471777,11.10394799806559,7.292113312216978,false,153.53844805344264,0.7046736234159958
betaopt_10,114.52484706293058,170.01477749580945,-0.05941274541741374,23.757147461616977,-0.4210093885937738,38.03218228827577,-12.028363690098256,-8.193733538573339,-5.312669533954112,17.46760217471777,11.10394799806559,7.292113312216978,false,142.8183728394378,0.9084701881608626
betaopt_50,109.24072194839573,156.0427733440132,-0.8838913760245362,24.608096855946428,-0.9403217482071492,38.60494440071697,-8.396532258016869,-4.059979029585219,-3.4447537872264284,17.46760217471777,11.10394799806559,7.292113312216978,false,148.63619411137992,0.6364922034469985
betaopt_110,20.33979319317321,67.56605183561922,-1.0732337942136212,24.8016914909734,-0.9133011270012995,38.59173735872517,0.8045504628809417,2.4650271654515272,0.9840135398727435,17.46760217471777,11.10394799806559,7.292113312216978,true,139.809437543209,0.5976521679381182
betarad_20,134.43033130502414,182.25422840193724,-0.3932728621260537,24.103969976705635,-0.7562305387640814,38.37851903148145,-10.681570845633821,-6.302664236452912,-5.5932807583459905,17.46760217471777,11.10394799806559,7.292113312216978,false,156.5839619657136,0.7378522061214688
betarad_300,151.13016505285418,207.17865724184563,-0.35297447525833076,24.061082052160756,-0.7690414586018903,38.38554780785883,-15.145344640096306,-9.755876580029371,-6.448326546636154,17.46760217471777,11.10394799806559,7.292113312216978,false,158.1634594148696,0.7391462193003663
power_0p8,120.51139455320651,175.22030213194435,-0.21373978272373506,23.91580689727688,-0.5459770533558602,38.193149238646335,-12.372241390686844,-7.931085588716135,-5.009862810607471,17.46760217471777,11.10394799806559,7.292113312216978,false,132.04974971329347,0.8902097723509135
power_1p2,174.66636829125846,228.96775151359043,-0.5453743083870771,24.26581468337357,-1.0138085310444467,38.60279767776911,-15.991666964083706,-9.995298438362308,-7.571892864584299,17.46760217471777,11.10394799806559,7.292113312216978,false,184.0417926886913,0.6218274416621511
