mesh,simulation_id,T8_K,T12_K,T11_K,T9_K,T10_K,T3_K,T2_K,dp1_mbar,pressure_equalization_error
sensitivity,E67,508.34296690110335,662.3765418920027,698.8872449269622,661.6990376401516,699.2483238047246,699.4873697591847,330.85410430098864,1.5882328405306203,5.278578950169151e-6
sensitivity,E72,422.8724028273971,507.25154151481235,527.4667112848839,506.600005231958,527.513068815727,526.6163486568112,313.31371282246334,1.2004959574408298,2.5091687464723703e-6
sensitivity,E77,380.92383836959937,434.4735653761112,446.36090915330726,434.2984708573516,446.4597419278224,444.5113220274628,307.13490744726863,0.4561796626964668,3.3573352635683097e-6
nominal,E67,507.8271069037408,661.5060553776998,697.9664398816735,660.8018242013286,698.3457446801465,698.5835064236671,332.1174719870944,1.6419898496049297,3.090908653479152e-6
nominal,E72,422.69179009581177,506.9723727254134,527.1503528873641,506.28462820947345,527.1938506184305,526.3115108022669,313.92610105477365,1.257469127534848,5.314423352199433e-6
nominal,E77,380.72630984398245,434.22048739404954,446.12807059579933,434.0365107102717,446.22929623020354,444.2950508457852,307.488877429391,0.48491262008300207,7.141349615043606e-6
