variant,simulation_id,irradiance_kW_m2,mean_flow_lpm,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K,model_T12_minus_T8_K,observed_T12_minus_T8_K,model_T12_minus_T9_K,observed_T12_minus_T9_K,model_T11_minus_T10_K,observed_T11_minus_T10_K,model_dp1_mbar,observed_dp1_mbar,mean_Nu_5mm,mean_Nu_58mm,mean_Nu_107mm,core_mass_flux_kg_m2s,edge_mass_flux_kg_m2s,core_to_edge_mass_flux_ratio,max_groove_dp_Pa,pressure_equalization_error,nz
baseline,E67,456.0,15.2805125,508.34296690110335,931.6279999999999,662.3765418920027,991.103,698.8872449269622,878.055,661.6990376401516,966.6659999999999,699.2483238047246,824.995,699.4873697591847,763.414,330.85410430098864,326.43699999999995,154.03357499089935,59.47500000000002,0.6775042518511327,24.437000000000012,-0.3610788777623384,53.059999999999945,1.5882328405306203,2.712,5.838056210011753,3.780563282599515,3.69685827544014,2.2646035651739758,0.8478468130594129,2.671005575880231,131.20688836774536,5.278578950169151e-6,30
baseline,E71,456.0,7.126846153846151,730.4900004874398,1203.298,1003.4515509540834,1120.348,1031.396585190962,882.823,1004.9190309385227,1095.306,1033.2780057677012,847.476,1021.8547506892471,753.56,391.01650880395243,356.00399999999996,272.96155046664353,-82.95000000000005,-1.4674799844393647,25.041999999999916,-1.881420576739174,35.34699999999998,1.0631559380674698,0.825,4.406832439517963,3.6661550377141987,3.6391785006329824,0.868273927932638,0.5025430938088661,1.7277601436164032,67.36569769094724,8.497425474363314e-6,30
baseline,E72,304.0,18.707575757575754,422.8724028273971,737.656,507.25154151481235,797.899,527.4667112848839,733.977,506.600005231958,771.112,527.513068815727,684.1869999999999,526.6163486568112,652.9549999999999,313.31371282246334,309.928,84.37913868741526,60.24300000000005,0.6515362828543516,26.787000000000035,-0.04635753084312455,49.79000000000008,1.2004959574408298,2.485,6.539516752724715,3.8613173019951796,3.739353335641757,2.879328241951089,0.9214357265183778,3.124828090647798,116.70010333640386,2.5091687464723703e-6,30
baseline,E76,304.0,4.526673611111114,760.674381885084,1067.693,976.1283127570716,970.472,974.0374876064247,751.1579999999999,977.77536876176,947.353,975.6577798558666,726.308,956.8564711039701,647.019,381.62645721169326,338.123,215.4539308719876,-97.221,-1.647056004688352,23.119000000000028,-1.6202922494418317,24.84999999999991,0.3594243736462953,0.174,4.0890872296264975,3.64497401762232,3.6285121759382712,0.5092362840500845,0.34318704417602075,1.4838447216815591,29.442101599128947,4.92790860823366e-6,30
baseline,E77,256.0,13.84748387096774,380.92383836959937,565.544,434.4735653761112,623.3499999999999,446.36090915330726,574.299,434.2984708573516,602.429,446.4597419278224,543.727,444.5113220274628,525.356,307.13490744726863,308.37,53.54972700651183,57.805999999999926,0.17509451875957893,20.920999999999935,-0.09883277451513095,30.572000000000003,0.4561796626964668,0.978,6.002776606989711,3.818396135395157,3.718495332001768,2.095948154626268,0.7420644620696178,2.8244825911493843,63.86752773020492,3.3573352635683097e-6,30
baseline,E81,256.0,4.527140495867768,545.7871284407452,760.0609999999999,658.3321748707573,749.902,662.0179789359261,618.9749999999999,658.8819547825044,728.5039999999999,662.6117681498299,597.766,648.7999429295478,550.499,332.7471023963384,319.315,112.54504643001212,-10.158999999999878,-0.5497799117471232,21.39800000000014,-0.5937892139038468,21.208999999999946,-0.04297789749870978,-0.023,4.210054717495532,3.655299799937404,3.633870220181074,0.526597578352341,0.3307215180206767,1.5922688717200983,18.55634742100127,3.875520898487464e-6,30
Sh_0p1,E67,456.0,15.2805125,749.0888128070144,931.6279999999999,738.0432618840259,991.103,712.6414851446426,878.055,736.7752284167092,966.6659999999999,712.1257670542095,824.995,677.5944459154343,763.414,339.2601429081036,326.43699999999995,-11.045550922988468,59.47500000000002,1.2680334673167408,24.437000000000012,0.5157180904330971,53.059999999999945,1.3559885572961239,2.712,0.6121103403306354,0.3796655663520019,0.37031665788586265,2.400881313106876,0.7717492462230556,3.110960360320143,110.15967747640964,7.47495792994807e-6,30
Sh_0p1,E71,456.0,7.126846153846151,904.9595074615202,1203.298,996.1815899305714,1120.348,996.2872494674103,882.823,996.8014506793063,1095.306,997.682108806146,847.476,989.0095399779608,753.56,390.0448405060546,356.00399999999996,91.2220824690512,-82.95000000000005,-0.6198607487349364,25.041999999999916,-1.394859338735614,35.34699999999998,0.9030855965121958,0.825,0.4616451246510958,0.36698086217103715,0.36404352737522117,0.9016540893702767,0.483783949931008,1.8637536228700038,60.46895436175266,6.212965594575757e-6,30
Sh_0p1,E72,304.0,18.707575757575754,606.5346047688062,737.656,577.8224374130494,797.899,550.5168473630335,733.977,577.0159311895115,771.112,550.0462530916777,684.1869999999999,514.4648152416078,652.9549999999999,319.4500157359251,309.928,-28.71216735575672,60.24300000000005,0.8065062235378946,26.787000000000035,0.47059427135582155,49.79000000000008,1.0388801157469139,2.485,0.6763970034135591,0.3881846255728031,0.37481679053215566,3.0304459180753347,0.8367702867361931,3.621598383823513,100.31394690705878,6.128457688781638e-6,30
Sh_0p1,E76,304.0,4.526673611111114,846.9325778677909,1067.693,955.0338910851547,970.472,946.4800511966519,751.1579999999999,956.3058550485719,947.353,947.9223157218947,726.308,936.3260525176811,647.019,378.171233208796,338.123,108.10131321736378,-97.221,-1.2719639634171926,23.119000000000028,-1.4422645252428765,24.84999999999991,0.28864528152883184,0.174,0.42280433846397614,0.3646416110864414,0.3628992404790613,0.5213927412539553,0.3363198936653353,1.5502881366059837,27.636404907648302,5.747842252176858e-6,30
