phase,irradiance_kW_m2,n,model_slope_K_per_lpm,observed_slope_K_per_lpm,model_correlation,observed_correlation
heating_training,456.0,3,8.226924033646732,16.959677827287113,0.8733691098701362,0.95771601780946
heating_validation,456.0,2,7.343568715973763,19.826205812769544,1.0,1.0
all_heating,456.0,5,8.021092750976926,17.33862389158247,0.8483316265202653,0.9606473585973471
heating_training,304.0,3,4.980175354853206,10.095345925805333,0.7283173388631848,0.903968489457659
heating_validation,304.0,2,3.76698126969249,13.783754880698163,1.0,1.0
all_heating,304.0,5,4.618338043236044,10.476819976890445,0.6781122859440482,0.8895277435028278
heating_training,256.0,3,4.492502436169625,6.86716698655684,0.8172609161404868,0.9177030603988682
heating_validation,256.0,2,3.6596850157754526,8.552367195905756,1.0,1.0
all_heating,256.0,5,4.2403361855176644,6.898088829268151,0.7615228409621153,0.8889864490590043
