variant,simulation_id,ring,radius_mm,groove_overlap,ring_mass_flow_kg_s,ring_mass_flux_kg_m2s,ring_dp_Pa,groove_dp_Pa,outlet_gas_K
apparent_prescribed_v9,E67,1,0.5359801043703685,0.0,3.219702151093543e-6,1.4309787338193525,343.46346673187657,0.0,640.081199938537
apparent_prescribed_v9,E67,2,1.6079403131111056,0.0,9.639783409613153e-6,1.4281160606834298,342.3638704426627,0.0,639.9109037943874
apparent_prescribed_v9,E67,3,2.6799005218518426,0.0,1.6001895537130324e-5,1.4223907144115844,340.17037060654866,0.0,639.5700489599044
apparent_prescribed_v9,E67,4,3.7518607305925795,0.0,2.2267392446310114e-5,1.4138026950038165,336.8942951022994,0.0,639.0580728402182
apparent_prescribed_v9,E67,5,4.8238209393333165,0.0,2.839762804981754e-5,1.4023520024601255,332.5524949064891,0.0,638.3740377776779
apparent_prescribed_v9,E67,6,5.895781148074053,0.0,3.435395626031767e-5,1.3880386367805122,327.16718383281795,0.0,637.5165184657282
apparent_prescribed_v9,E67,7,6.96774135681479,0.9409271337274929,4.0097730990475533e-5,1.3708625979649762,320.7657390431485,0.0,636.4834516003758
apparent_prescribed_v9,E67,8,8.039701565555527,1.0,4.559030615295625e-5,1.3508238860135173,313.3804737665883,0.0,635.2719473486856
apparent_prescribed_v9,E67,9,9.111661774296264,1.0,5.0793035660424686e-5,1.3279225009261357,305.0483957320874,0.0,633.878061892015
apparent_prescribed_v9,E67,10,10.183621983037002,1.0,5.5667273425546074e-5,1.3021584427028319,295.81096655985453,0.0,632.2965299575479
apparent_prescribed_v9,E68,1,0.5359801043703685,0.0,2.6302829929986156e-6,1.1690146635549403,286.7180416916019,0.0,678.3801261812728
apparent_prescribed_v9,E68,2,1.6079403131111056,0.0,7.875063334626765e-6,1.1666760495743353,285.81054006995964,0.0,678.1778142990738
apparent_prescribed_v9,E68,3,2.6799005218518426,0.0,1.3072486743147657e-5,1.1619988216131252,284.0000854174657,0.0,677.7728175006408
apparent_prescribed_v9,E68,4,3.7518607305925795,0.0,1.8190981929823137e-5,1.15498297967131,281.2957312990276,0.0,677.1643504205844
apparent_prescribed_v9,E68,5,4.8238209393333165,0.0,2.3198977605915013e-5,1.1456285237488897,277.710951397817,0.0,676.3511366951183
