variant,free_diameter_mm,offset_mbar,resistance_scale,groove_K,cold_rmse_mbar,cold_aicc
graetz_equal_groove_d12,12.0,-0.530119168984161,0.6817243263477667,291.67939196910254,0.024561115230493664,-55.91863382987526
graetz_equal_groove_d13,13.0,-0.5428447496201336,0.9701974617588522,184.15800344228472,0.024521837568034378,-55.9474421241962
graetz_equal_groove_d14,14.0,-0.5430860177236331,0.9758737570092086,207.18451808243788,0.02452445328369687,-55.945522187697364
