phase,simulation_id,flow_lpm,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K,model_T12_minus_T8_K,observed_T12_minus_T8_K,model_T12_minus_T9_K,observed_T12_minus_T9_K,model_T11_minus_T10_K,observed_T11_minus_T10_K,core_to_side_flow_ratio,core_to_corner_flow_ratio,dp1_model_mbar,dp1_observed_mbar,equal_pressure_error
heating_training,E67,15.2805125,901.1403112111974,931.6279999999999,838.1274274444082,991.103,753.3467331119277,878.055,858.3618468773284,966.6659999999999,777.1370172302627,824.995,736.3138549000896,763.414,362.35369768210484,326.43699999999995,-63.01288376678917,59.47500000000002,-20.234419432920163,24.437000000000012,-23.790284118334966,53.059999999999945,3.2773368476219917,3.2693918043066166,2.4773034432468437,2.712,6.846630729878787e-6
heating_validation,E68,12.499871559633025,993.6043457983528,1012.649,912.2776876378396,1047.717,809.0697880265312,898.751,935.7745338350762,1020.928,833.5605435880367,850.0989999999999,787.8733092394878,773.207,380.38084049466056,338.52,-81.32665816051326,35.0680000000001,-23.496846197236664,26.7890000000001,-24.490755561505466,48.652000000000044,2.8570621860073544,2.8497625991941944,2.1503298178849746,2.004,5.4106980920824265e-6
heating_training,E69,10.499733944954128,1074.4554617199224,1058.429,969.446952140463,1070.73,845.23751107607,896.755,995.340718307186,1044.378,870.8369510303353,852.837,819.1434296053261,769.76,388.8041167342567,344.308,-105.00850957945931,12.30099999999993,-25.893766166722912,26.35200000000009,-25.599439954265335,43.918000000000006,2.551602680295128,2.5444266406340126,1.8455244523370693,1.542,9.80586526231472e-6
heating_validation,E70,9.107198347107436,1142.8371482219295,1152.474,1016.2146585698308,1120.277,879.3546748490206,912.173,1043.4967037955312,1093.725,904.830354710335,871.483,851.3069846537023,779.518,400.8522151704619,352.421,-126.6224896520987,-32.19699999999989,-27.282045225700358,26.552000000000135,-25.475679861314347,40.690000000000055,2.3427907435986004,2.3360146488847104,1.6139388503544119,1.314,8.350193941339621e-6
heating_training,E71,7.1270991735537175,1249.0600103890843,1203.298,1078.7106318151273,1120.348,915.7642286394139,882.823,1107.8053644336587,1095.306,941.661055299067,847.476,882.5605714321299,753.56,413.40863736298866,356.00399999999996,-170.34937857395698,-82.95000000000005,-29.094732618531452,25.041999999999916,-25.89682665965313,35.34699999999998,2.0471694703891337,2.0405852078143627,1.2131140825525666,0.825,6.373772474827012e-6
heating_training,E72,18.707575757575754,687.7424043310389,737.656,647.5817134392046,797.899,598.6742460054691,733.977,658.7292612518467,771.112,613.776247814914,684.1869999999999,590.0013096036905,652.9549999999999,334.4684539625408,309.928,-40.16069089183429,60.24300000000005,-11.147547812642074,26.787000000000035,-15.102001809444914,49.79000000000008,3.9763050260349346,3.969437076885643,2.0053753256823645,2.485,9.344037920899215e-6
heating_validation,E73,13.170870967741934,795.4029713598875,837.694,738.555605460788,894.482,667.2677587273383,791.76,753.9124751989136,867.5509999999999,683.9910873611143,747.4,652.779689431195,694.626,351.84773560235817,325.12,-56.847365899099486,56.78800000000001,-15.356869738125624,26.93100000000004,-16.723328633775964,44.360000000000014,3.166905820432416,3.1606195509392214,1.5594995200334294,1.827,6.452394272594817e-6
heating_training,E74,9.023314049586775,936.8296322504383,948.538,840.1281288110297,962.509,737.1692765946535,804.0,859.3642014629241,935.491,755.2450676379735,767.8009999999999,715.9824931688294,697.672,369.83883203012635,333.964,-96.70150343940861,13.971000000000004,-19.23607265189446,27.01800000000003,-18.07579104332001,36.19900000000007,2.4829208555061997,2.477049585989312,1.0707559771331951,1.071,9.305220937478006e-6
heating_validation,E75,6.944495867768595,1034.18541819602,1008.725,899.304387777624,979.689,772.4864088041361,788.678,920.3362347835642,954.178,791.315034429285,757.393,746.5814999703402,681.066,379.4957518358386,336.517,-134.881030418396,-29.036000000000058,-21.03184700594022,25.510999999999967,-18.828625625148902,31.284999999999968,2.1367078420462646,2.130942289099019,0.7575186000635699,0.651,6.943642203198618e-6
heating_training,E76,4.526611570247936,1169.1525370552786,1067.693,969.3702875562358,970.472,810.6090922704778,751.1579999999999,991.9775424092412,947.353,829.7965583594303,726.308,778.909677649225,647.019,392.1064553645446,338.123,-199.7822494990428,-97.221,-22.60725485300543,23.119000000000028,-19.18746608895242,24.84999999999991,1.7397577151649963,1.7341898588805322,0.329516491675932,0.174,4.682537466215457e-6
heating_training,E77,13.84748387096774,582.5473036233905,565.544,549.3544717990401,623.3499999999999,509.5240929211259,574.299,556.8883344171089,602.429,518.5862287908031,543.727,501.57867403930805,525.356,322.35827927629697,308.37,-33.19283182435038,57.805999999999926,-7.533862618068838,20.920999999999935,-9.062135869677263,30.572000000000003,3.626117405950713,3.6213036072653653,0.8906845141113586,0.978,8.043535835841337e-6
heating_validation,E78,10.009137614678897,657.8365037525713,631.689,608.1049477560023,685.819,555.228805063549,612.092,617.3318482649802,663.635,564.5565605545506,583.704,544.5114031175536,554.4549999999999,335.66761002678413,312.95899999999995,-49.731555996569,54.129999999999995,-9.226900508977906,22.18399999999997,-9.327755491001653,28.388000000000034,2.949832729798284,2.9455671961858876,0.5950207522426725,0.637,5.703463247925531e-6
heating_training,E79,8.033490566037736,710.5528332754383,676.213,643.0152709784415,716.108,577.3729095893905,622.325,653.3326466680281,694.063,587.3345621034283,595.766,563.8922308837043,560.0329999999999,339.67184567231124,314.96,-67.53756229699673,39.89499999999998,-10.317375689586584,22.04499999999996,-9.961652514037837,26.559000000000083,2.581478564277637,2.577186700626564,0.40635826818730525,0.403,9.986245158967546e-6
heating_validation,E80,6.605050847457628,758.9287796567664,710.3340000000001,673.0633935594892,735.351,597.0703880334726,626.4849999999999,684.1464898390263,713.233,607.335275980599,601.77,581.6479478060438,561.2539999999999,344.1265722205972,316.11899999999997,-85.86538609727722,25.01699999999994,-11.08309627953713,22.118000000000052,-10.264887947126454,24.714999999999918,2.3084688390909394,2.3042438166120203,0.25895582738901657,0.238,8.082453208171424e-6
heating_training,E81,4.527140495867768,846.5235163274667,760.0609999999999,720.6336940677922,749.902,624.4665112045491,618.9749999999999,732.9275353965087,728.5039999999999,635.3819369635145,597.766,605.1020471962363,550.499,351.9972969694144,319.315,-125.88982225967447,-10.158999999999878,-12.29384132871644,21.39800000000014,-10.915425758965398,21.208999999999946,1.9021020152957333,1.8978776826146224,0.01949278429012924,-0.023,5.4025294044377465e-6
