simulation_id,sensor_rmse_K,model_mid_gap_K,observed_mid_gap_K,model_deep_gap_K,observed_deep_gap_K,mid_sign_correct,deep_sign_correct
E67,153.08636435806406,-10.631823087358498,24.437000000000012,-14.535016179730178,53.059999999999945,false,false
E72,156.95019190217053,-4.749757029432203,26.787000000000035,-7.669069467515442,49.79000000000008,false,false
E77,69.75518302258044,-3.873429472868281,20.920999999999935,-5.203662387499946,30.572000000000003,false,false
