irradiance_group,evaluation,objective,receiver_rmse_K,receiver_transient_loss,receiver_final_loss,felt_guard_loss,power_scale
456,1,2.1591063782702418,105.99112111729163,1.1234117755700386,1.776905857765814,1.4724167381729654,1.5
456,2,1.8976300483574742,103.21852175878253,1.0654063234068265,1.131078991030789,2.666842294352532,1.8
456,3,4.821499482714382,161.32563445202234,2.6025960331347533,3.597243401845826,4.202817486567153,2.1
456,4,10.34456465948079,233.25270030208824,5.44068221982158,8.59758281962067,6.050910298488749,2.4
456,5,18.000392518883235,305.721022511103,9.346534360523433,15.670263810809066,8.187262529552706,2.7
304,1,2.7381962335704086,114.52664625527792,1.3116352702481564,2.682500660063087,0.8531063329070833,1.5
304,2,1.7529305219498201,96.0028123406245,0.9216539977309163,1.311866671052619,1.7534318869259444,1.9
304,3,3.9392104288061223,145.2605951957369,2.1100640516619737,3.0683830374739256,2.9495485840718576,2.3
304,4,8.649154598804433,213.45110524758564,4.556137433141588,7.303537112660576,4.41248609332557,2.7
304,5,15.363930365908555,282.8361677508147,7.999629778796698,13.50470295349056,6.119491103665777,3.1
256,1,0.6613510675563058,54.566420689527426,0.29774942668664867,0.662855819672151,0.32173731033581554,1.1
256,2,0.8019511247294284,68.3178708159012,0.4667331472818167,0.5343766631897825,0.6802964585272058,1.4
256,3,2.738228364190924,123.3703917347966,1.522025355679717,2.1979461664962434,1.1722992526308527,1.7
256,4,6.236669405335814,183.04520836357267,3.350554830486372,5.414193159391621,1.790179951536319,2.0
256,5,11.072005876644026,241.75145960793827,5.844376822256863,9.950275631562672,2.5249123860582565,2.3
