simulation_id,Re,measured_Nu,model_Nu,measured_effectiveness,model_effectiveness,measured_axial_inversion_K,model_axial_inversion_K,measured_lambda_58,model_lambda_58,measured_lambda_107,model_lambda_107
E67,72.54805197713264,0.1397003239847824,0.20026638315325937,0.7314281865511008,0.8311001338784847,53.534735537190386,-75.57345642381233,0.037443664448830474,-0.03408531003023424,0.09392562955303495,-0.04790575424835628
E68,58.91874763420601,0.10068255088995567,0.15127450531771394,0.6965278952154176,0.8220881605327304,35.10110743801647,-88.40126769411495,0.035661983805097726,-0.03843893361264403,0.08118609566975712,-0.04790172986682356
E69,49.63869912379634,0.07927417015654423,0.1163466798409529,0.6735845032794066,0.8014095788333405,11.542652892562046,-112.1244728415229,0.0340477642890837,-0.03847055417625734,0.0733229595539069,-0.046543131828870904
E70,42.748721346106834,0.06160653479354243,0.095575900096259,0.643820375492817,0.7939962332033973,-31.075842975206797,-130.4634481643095,0.032220459058788,-0.03820189223651603,0.0664027110039353,-0.04386943819811261
E71,33.97915586310068,0.043414037695437946,0.06695543120850118,0.6066263867417975,0.7689343716038906,-83.49045454545467,-171.88047888186907,0.030607229000341848,-0.03734407264259754,0.06076145779167691,-0.04210838117793145
E72,93.95360818131805,0.21107915095402482,0.30347788064251574,0.7726846574404191,0.8559083540834032,60.74060330578516,-42.35110184294422,0.05314128380119545,-0.032056810556949124,0.11435444362636456,-0.048996803484963436
E73,65.43809938954838,0.1272676677612195,0.18304831820392037,0.7313713451688525,0.8276078355205595,56.619909090909005,-61.24103486807485,0.04545496443494865,-0.03400351019003602,0.08997442259835604,-0.04466681988850098
E74,44.74327180684716,0.0712860682795938,0.10568772733099573,0.6691193446758684,0.794651783789507,13.762809917355412,-100.03795629773424,0.04039538487720461,-0.03563919823132047,0.07136576676823651,-0.04099587104817092
E75,34.87148799267087,0.048445431507969317,0.07220162439930955,0.6253612938146217,0.7671753060377658,-29.13341322314045,-135.19182561098,0.03738135568038123,-0.03487515882343995,0.06364283789756771,-0.03957074679254114
E76,23.33560738406445,0.02762159106833677,0.041050041980666474,0.5730454029457592,0.732326501115218,-97.86744628099189,-193.79432922025728,0.03432651450473903,-0.03357563727878298,0.05470973815106521,-0.0373101866907666
E77,78.72510696930053,0.18963852113322402,0.2357832875431974,0.780905466829855,0.8341253719058882,58.09278512396713,-34.065911249674514,0.06353914405033621,-0.030800308222076828,0.11078962807311216,-0.04216255818960362
E78,55.47905755567076,0.11606772107777102,0.1494985286498005,0.7420004808494914,0.8147000901471964,53.95803305785125,-50.976616573964634,0.05761757781365577,-0.029132974672466,0.09067713376853952,-0.03600825071109767
E79,44.37570972438066,0.08316084493740847,0.1087526894158182,0.7069281103107401,0.7913574778603748,39.59194214876027,-67.99255143768619,0.052837578630574845,-0.0294707877255698,0.0816625195056074,-0.03553962939134253
E80,36.445112793500655,0.06264045137620564,0.08289455309810656,0.6795347374454609,0.7749701046488826,25.774719008264242,-83.89140741090398,0.05050307818410642,-0.029280316582710436,0.07508425478229099,-0.034036629302290275
E81,25.17846332124386,0.03686074878748799,0.04920127591871058,0.6277793478629998,0.7407083600161345,-9.42705785123951,-120.0556554129538,0.047238966152292165,-0.029238496646869908,0.06608983025239817,-0.03344462754441419
