source,Nu_prefactor,Nu_exponent,Nu_r2,effectiveness_min,effectiveness_max,middle_peak_count,lambda_58_intercept,lambda_58_slope,lambda_58_r2,lambda_58_positive_count,lambda_107_intercept,lambda_107_slope,lambda_107_r2,lambda_107_positive_count
measured,0.0003046900474047653,1.444917063715293,0.9704080591194868,0.5730454029457592,0.780905466829855,10,0.03191356634765248,0.00022845643569799912,0.20428394306853104,15,0.03777425822427561,0.0008250301984376482,0.8970129437981085,15
model,0.0004911275132682359,1.411783083633976,0.9955129880378369,0.732326501115218,0.8559083540834032,0,-0.0340601460229564,8.269862179349451e-6,0.0022538924875401545,0,-0.03236202084040447,-0.00017837192164081573,0.4688753033270018,0
