phase,simulation_id,time_s,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K
heating_training,E67,0.0,293.3685,296.62199999999996,293.3685,296.25,293.3685,296.35299999999995,293.3685,296.22499999999997,293.3685,296.43399999999997,293.3685000000001,296.686,293.3685,293.39799999999997
heating_training,E67,50.0,377.5603492502744,383.55999999999995,334.6473306231806,341.47999999999996,309.68843643688854,308.99899999999997,399.68526329013866,316.138,336.319340312196,300.25399999999996,306.0110453174885,299.786,293.39270348532307,293.414
heating_training,E67,100.0,456.3419650298308,540.75,392.85601554674275,473.256,347.75106282235566,376.486,509.7165377366086,420.83,417.90101046076967,346.76099999999997,340.27807498256203,327.39099999999996,293.64884656294106,293.438
heating_training,E67,150.0,521.8305846559488,664.299,450.04381350191295,589.1769999999999,392.61205248062305,445.365,587.6993890396404,529.854,492.20347481649685,403.433,382.5397709974353,354.489,294.6206403096729,293.471
heating_training,E67,200.0,574.209638366737,748.8409999999999,500.02268957947194,676.7909999999999,435.3886477717874,499.078,636.6265575202633,618.247,545.6814450695614,448.715,423.6515501265018,378.13699999999994,296.4756882965595,293.50899999999996
heating_training,E67,250.0,615.3533729856136,809.804,541.5329827459042,746.2349999999999,472.6547855148875,544.2439999999999,665.9981189234492,691.87,580.5842958169053,487.053,459.8232533543102,398.99399999999997,298.945875670452,293.53999999999996
heating_training,E67,300.0,647.444964613388,854.7379999999999,575.1551961586492,803.725,503.7195237559002,584.703,683.5315400726556,752.739,602.5137578711505,521.4689999999999,490.13058440512833,420.99299999999994,301.6587160022034,293.59299999999996
heating_training,E67,350.0,672.3822186922107,882.3009999999999,602.0685949674186,844.107,529.0515136220902,616.0509999999999,694.287596689594,795.891,616.3229301930407,548.444,514.9105742231438,442.34799999999996,304.3328798803482,293.645
heating_training,E67,400.0,691.6615936494857,903.242,623.4629611306216,877.372,549.4902859601091,644.2819999999999,701.1214221065575,831.799,625.2853825743268,572.938,534.9400351797746,461.29599999999994,306.8119835447877,293.70799999999997
heating_training,E67,450.0,706.5720612256224,918.233,640.3933039311016,900.886,565.8754054180819,666.63,705.6268252140161,857.492,631.2992974005206,592.479,551.0202619173015,478.52299999999997,309.034322930106,293.78099999999995
heating_training,E67,500.0,718.1003480524095,930.434,653.782774940005,919.933,578.9781830252973,685.787,708.7816193586227,878.2909999999999,635.5298808012355,609.479,563.8935738341161,494.013,310.99329855840836,293.83799999999997
