phase,observation,mean_sensor_rmse_K,steady_mae_K,axial_rmse_K,mean_T8_rmse_K,modeled_mid_peak_count,case_count
heating_training,5_mm,65.61951402757744,54.93680693871217,106.70193906371058,49.11276661268383,0,9
heating_training,11_mm,65.31996612643277,54.69056695889149,107.94139136537194,47.01593130467121,0,9
heating_validation,5_mm,61.46414918172819,50.03574510310756,107.7513980978815,36.69705127473372,0,6
heating_validation,11_mm,61.16119553249447,49.64943094496649,110.5352595741674,34.576375730097716,0,6
cooling_validation,5_mm,33.59063885240829,27.916712538906875,9.246985054285755,26.62977564692289,0,3
cooling_validation,11_mm,33.75591281248316,28.092164406947393,8.002495062474118,27.786693367446976,0,3
