candidate,objective,primary_rmse_K,t2_rmse_K,skin_felt_contact_scale,felt_conductivity_scale,felt_heat_capacity_scale
1,2.057074957080978,26.220504761659203,14.078197907812353,1.0,2.4,1.5
2,2.1789477361073657,25.522444728131486,14.981291989262951,3.0,1.2,0.75
3,2.2521007328711606,26.287312125071292,15.044702493948234,1.0,2.4,0.75
4,2.2099324822884654,25.239009037392886,16.17969938391796,10.0,0.6,0.75
5,2.08558216945033,25.276950207625443,14.961847095874147,1.0,1.2,0.75
6,2.346444377775529,26.996530846601292,14.9084150649937,10.0,1.2,0.75
7,2.583907589999381,29.048436657415763,14.883363087432235,3.0,2.4,0.75
8,2.211012984150114,25.242952840872317,16.429924716665447,3.0,0.6,0.75
9,2.631345729253754,28.51676899536558,17.393136715927437,3.0,1.2,1.5
10,1.7204957651521202,25.761546159447366,11.112881430366903,0.3,7.2,1.5
