evaluation,objective,primary_rmse_K,t2_rmse_K,skin_felt_contact_scale,felt_conductivity_scale,felt_heat_capacity_scale
1,2.1696723825072612,30.638160839813555,12.920160783949214,0.3,2.4,0.75
2,2.1052026244324513,27.10887569309547,14.891404538412836,0.3,2.4,1.5
3,2.0765070625801396,30.338981911312494,12.235456027244084,0.3,3.6,0.75
4,1.8341941734058462,26.550593115292774,12.826777339252248,0.3,3.6,1.5
5,1.992312323826724,30.115010266058984,11.473725499376703,0.3,4.8,0.75
6,1.7370347556265906,26.461516809389675,11.799612952833037,0.3,4.8,1.5
7,1.8771061287800186,29.83542376969194,10.0926307859273,0.3,7.2,0.75
8,1.6877504066335296,26.634503302871984,10.68019665753569,0.3,7.2,1.5
9,1.9464851809711534,26.235325608378727,13.479338832826127,1.0,2.4,0.75
10,1.7874069037818,23.45354756981546,14.155002220944164,1.0,2.4,1.5
11,1.9238974952158656,26.647600922715668,12.674357890427077,1.0,3.6,0.75
12,1.721948663431299,24.277598415973053,12.720635193581947,1.0,3.6,1.5
13,1.9067122051685979,27.181155937254534,11.794840134174354,1.0,4.8,0.75
14,1.7362772479860058,25.14241543896902,11.878065238558756,1.0,4.8,1.5
15,1.9077623055696276,28.289764727794488,10.289419850659868,1.0,7.2,0.75
16,1.81913973984794,26.606687924843314,10.845462940509744,1.0,7.2,1.5
17,2.0645727364904274,26.388261854491034,13.523366099907928,3.0,2.4,0.75
18,2.1632720609528784,28.581466737207048,13.702182057927988,3.0,2.4,1.5
19,2.178058387992514,28.22481695971969,12.606500229128365,3.0,3.6,0.75
20,2.2650664555909814,30.19829320229364,12.586654945544044,3.0,3.6,1.5
21,2.2586202449942037,29.75868516848945,11.683389836806684,3.0,4.8,0.75
22,2.3607740469043796,31.37068073974132,11.85020213153566,3.0,4.8,1.5
23,2.3623454247417937,31.87329412145815,10.225141897392751,3.0,7.2,0.75
24,2.4939626343990415,32.81226061047185,10.949896353198826,3.0,7.2,1.5
