phase,simulation_id,model_T8_5mm_K,model_T8_11mm_K,delta_11_minus_5_K,observed_T8_K,model_gap_5mm_K,model_gap_11mm_K,observed_gap_K
heating_training,E67,901.1403112111974,907.7606194054109,6.620308194213521,931.6279999999999,-63.01288376678917,-69.6331919610027,59.47500000000002
heating_validation,E68,993.6043457983528,1000.7120627699709,7.107716971618061,1012.649,-81.32665816051326,-88.43437513213132,35.0680000000001
heating_training,E69,1074.4554617199224,1080.813077874548,6.357616154625703,1058.429,-105.00850957945931,-111.36612573408502,12.30099999999993
heating_validation,E70,1142.8371482219295,1147.7992637589334,4.9621155370039105,1152.474,-126.6224896520987,-131.5846051891026,-32.19699999999989
heating_training,E71,1249.0600103890843,1250.0506561515417,0.9906457624574614,1203.298,-170.34937857395698,-171.34002433641444,-82.95000000000005
heating_training,E72,687.7424043310389,690.4304185879339,2.6880142568950305,737.656,-40.16069089183429,-42.84870514872932,60.24300000000005
heating_validation,E73,795.4029713598875,799.6285494197718,4.225578059884356,837.694,-56.847365899099486,-61.07294395898384,56.78800000000001
heating_training,E74,936.8296322504383,939.9578950261193,3.128262775681037,948.538,-96.70150343940861,-99.82976621508965,13.971000000000004
heating_validation,E75,1034.18541819602,1034.3988001654636,0.21338196944361698,1008.725,-134.881030418396,-135.0944123878396,-29.036000000000058
heating_training,E76,1169.1525370552786,1162.5181704955012,-6.634366559777391,1067.693,-199.7822494990428,-193.1478829392654,-97.221
heating_training,E77,582.5473036233905,583.7071681726818,1.159864549291342,565.544,-33.19283182435038,-34.35269637364172,57.805999999999926
heating_validation,E78,657.8365037525713,658.9095973878182,1.0730936352468916,631.689,-49.731555996569,-50.80464963181589,54.129999999999995
heating_training,E79,710.5528332754383,710.704764564888,0.15193128944974887,676.213,-67.53756229699673,-67.68949358644647,39.89499999999998
heating_validation,E80,758.9287796567664,757.7125199786575,-1.2162596781089405,710.3340000000001,-85.86538609727722,-84.64912641916828,25.01699999999994
heating_training,E81,846.5235163274667,841.4212916295064,-5.10222469796031,760.0609999999999,-125.88982225967447,-120.78759756171416,-10.158999999999878
cooling_validation,C69,320.8911501802062,322.5844673471261,1.6933171669199396,312.268,26.031614301609352,24.338297134689412,15.314000000000021
cooling_validation,C80,317.9431968966182,319.00741816899193,1.064221272373743,305.84999999999997,14.716544365229822,13.65232309285608,7.41900000000004
cooling_validation,C81,317.4990603025947,318.42601109215207,0.9269507895573383,298.193,12.118062949267824,11.191112159710485,2.716000000000008
