evaluation,objective,primary_rmse_K,t2_rmse_K,side_transient_loss,felt_transient_loss,guard_transient_loss,side_final_loss,felt_final_loss,skin_felt_contact_scale,felt_conductivity_scale,felt_heat_capacity_scale
1,4.02753732975327,36.33443837647511,21.860097183099192,1.3069120543349464,2.1238393282424055,2.3998218889495377,0.09713564906124784,0.4384043733381773,0.1,0.6,0.75
2,7.297396955276233,37.593380529247234,32.305121230576724,1.2542661716312604,4.638314923210042,2.338185040267198,0.11411264071153494,4.514725300840151,0.1,0.6,1.5
3,9.581698677210895,38.00895950586931,36.47537741836553,1.2104138375681748,5.913125145832046,2.285214389683024,0.14035687992101215,9.795048759488829,0.1,0.6,3.0
4,2.7023277809693633,34.89473311936199,14.498535575737987,1.2681257317129404,0.9342557059597333,2.3458769066264855,0.09326729552332136,0.013953866571980614,0.1,1.2,0.75
5,4.233613299658014,34.83434687516673,23.37334832896116,1.1720852998015785,2.4280596093642295,2.2307515440211896,0.11074982784337739,0.770465666674776,0.1,1.2,1.5
6,7.805520816735539,35.837379917529205,34.04037172482117,1.082591643605251,5.149986254062243,2.1186280828461657,0.15330974798241206,5.516121890520442,0.1,1.2,3.0
7,2.4317265734776186,34.39364387797859,12.44303800313549,1.245404561108403,0.688129754433218,2.309324293352787,0.09129124605297906,0.04470012724772892,0.1,2.4,0.75
8,2.644816891716068,32.79153623529624,15.543685205111268,1.104634896578882,1.073805110024866,2.132465216348859,0.10300773522356772,0.04490760637738832,0.1,2.4,1.5
9,4.842994491490292,32.35687865705371,26.545211994575453,0.9478155390128546,3.131770132608678,1.9286766269847648,0.14824499750745124,1.6659999760978508,0.1,2.4,3.0
10,3.4432779306646157,33.25353310401647,20.39709155519653,1.0903805473982608,1.8490726396047534,2.1173778882164145,0.13037220254754914,0.20618752627026923,0.3,0.6,0.75
11,6.416502965270506,33.65148426205349,30.93996164070369,0.9720839036268627,4.254583228125402,1.9626510807470392,0.1875311338766551,3.7052313860291823,0.3,0.6,1.5
12,8.903755539170582,33.732379546595425,35.880605624765096,0.8881839073475791,5.721857155555221,1.8345149049179579,0.2972766288668727,9.188142533120644,0.3,0.6,3.0
13,2.3717680171782276,31.37664002255601,14.256784497933511,1.0162498645441465,0.9033595743134102,1.998375148404824,0.14049523550665152,0.05167488993855257,0.3,1.2,0.75
14,3.4428434220004887,29.68205690640665,21.823909006649878,0.8293374161769025,2.11681335258015,1.7399771060958222,0.1956877293332774,0.44995456612144147,0.3,1.2,1.5
15,6.789174816123437,30.116518337471653,32.7070782020771,0.6961267326716404,4.754457620074608,1.5048684646929813,0.35891146677311125,4.6497166520332955,0.3,1.2,3.0
16,2.1696723825072612,30.638160839813555,12.920160783949214,0.9762876309937524,0.7419135763693293,1.9170028661585576,0.17950340700399503,0.07109789905634818,0.3,2.4,0.75
17,2.1052026244324513,27.10887569309547,14.891404538412836,0.7395403091831693,0.985573018340722,1.5628873200179567,0.2160109336044728,0.013542764118131956,0.3,2.4,1.5
18,3.906886226930204,25.850031436456142,24.912566959574043,0.5584382336184552,2.758382188956713,1.1953938029837723,0.3786914348765795,1.1868980664765356,0.3,2.4,3.0
