irradiance_group,evaluation,objective,receiver_rmse_K,power_scale
456,1,1.585511448786492,93.35471640040222,1.65
456,2,1.7094546963308002,97.84435694511437,1.75
456,3,2.200649306267436,110.78356786250615,1.85
456,4,3.0335034342517355,129.16096679567164,1.95
304,1,1.7861885109342124,94.2241741600671,1.7
304,2,1.6541170848999025,91.9977401310782,1.8
304,3,1.731777652245999,95.38050112003089,1.9
304,4,2.0064325455874603,103.49587121984807,2.0
304,5,2.467103452422034,115.11104369543862,2.1
256,1,2.098384289108117,95.99149300238518,0.85
256,2,1.3435083256818643,76.38724722652607,0.95
256,3,0.8284837853414183,60.25674425074737,1.05
256,4,0.5437938444832687,50.57861883106457,1.15
256,5,0.48172880050937367,50.78597172284314,1.25
