evaluation,objective,receiver_rmse_K,power_scale_256
1,0.48560651853361364,49.3437993891686,1.2
2,0.48172880050937367,50.78597172284314,1.25
3,0.5310282329620523,54.64042626150319,1.3
4,0.6324852197118708,60.409472710227455,1.35
