metric,value,target,status
Nu_app_prefactor,0.0003600120173050001,3.1e-4,diagnostic
Nu_app_Re_exponent,1.1141940576952272,1.44,diagnostic
Nu_app_log_r2,0.9370875895558467,0.97,diagnostic
Lambda107_intercept,-0.3945785007414153,0.038,diagnostic
Lambda107_slope,-0.0005405718087401173,8.3e-4,diagnostic
Lambda107_r2,0.34165024585074855,linear trend,diagnostic
K_loss_min,0.3009825856830905,0.10-0.16,diagnostic
K_loss_max,0.6579934875906531,0.10-0.16,diagnostic
epsilon_mean_min,0.942257123009939,epsilon*=0.66,diagnostic
epsilon_mean_max,0.9992599719108476,epsilon*=0.66,diagnostic
C_receiver_participating,222.52693256582086,301 +/- 23,below assembly target
C_total_with_rear,302.52693256582086,301 +/- 23,pass
