irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-30.734840707545644,-34.14928244526689
456000.0,T12_perim,-16.627069429403992,-16.81065855368442
456000.0,T11_perim,-6.5147896509266845,-1.3657133576718719
456000.0,T9_core,-13.581871349405091,-16.731949144758126
456000.0,T10_core,-4.646101598777326,-3.5441256722753445
456000.0,T3,-4.680837596213207,0.5430107656374393
304000.0,T8,-25.655731765240397,-23.65036823444102
304000.0,T12_perim,-11.335679576632316,-13.173548257550575
304000.0,T11_perim,-3.4472717442401875,-1.9289615808695002
304000.0,T9_core,-9.25608238086014,-13.384545690629912
304000.0,T10_core,-2.6128701830557417,-3.67897996265457
304000.0,T3,-2.6601972713102366,-0.13175631351821884
256000.0,T8,-20.17826717575161,-20.88606484778701
256000.0,T12_perim,-6.164337606669295,-13.987976018518863
256000.0,T11_perim,-1.6743479122438498,-5.174190237226035
256000.0,T9_core,-4.849278644003964,-13.924381477027032
256000.0,T10_core,-1.3061481766247929,-6.148389808009175
256000.0,T3,-1.4710803288534038,-3.039355302230513
