phase,mean_sensor_rmse_K,steady_mae_K,t90_mae_s,axial_rmse_K,mid_radial_rmse_K,deep_radial_rmse_K,dp1_rmse_mbar
heating_training,88.00403080286866,85.73573364440624,734.7777777777778,45.34687917305678,27.504620541001415,43.06517018874523,0.40203947826220204
heating_validation,82.59916050128248,78.15434604721406,820.2380952380952,45.58714894026927,28.2705658217384,43.16702991074329,0.286637572079125
cooling_validation,31.04267529790166,31.210683934293126,688.0952380952381,10.5885102154854,4.963800919030227,9.773073960145974,0.062123780442718435
