phase,simulation_id,flow_lpm,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K,model_T12_minus_T8_K,observed_T12_minus_T8_K,model_T12_minus_T9_K,observed_T12_minus_T9_K,model_T11_minus_T10_K,observed_T11_minus_T10_K,dp1_model_mbar,dp1_observed_mbar,adaptor_T_K,rear_housing_T_K,side_front_T_K,side_mid_T_K,side_deep_T_K
heating_training,E67,15.2805125,795.5967092071893,931.6279999999999,797.5836461028396,991.103,752.9464162084106,878.055,800.8029988298906,966.6659999999999,760.3186732256373,824.995,732.6740198965797,763.414,342.4653029031098,326.43699999999995,1.986936895650274,59.47500000000002,-3.219352727051046,24.437000000000012,-7.37225701722673,53.059999999999945,2.3419953534623907,2.712,420.9763630343987,302.70252842453874,776.494617136768,796.8247928398207,756.0922994661529
heating_validation,E68,12.499871559633025,894.3585119851999,1012.649,888.2348834423634,1047.717,830.8963312068922,898.751,892.1514506075745,1020.928,838.622884733878,850.0989999999999,805.8783981369407,773.207,357.4932297898151,338.52,-6.123628542836514,35.0680000000001,-3.916567165211063,26.7890000000001,-7.726553526985754,48.652000000000044,2.1072058178028725,2.004,481.5148012586071,308.32854465301307,872.9629736941613,887.0383141997535,834.3743153029486
heating_training,E69,10.499733944954128,986.5091335721587,1058.429,966.9646602082556,1070.73,893.6639076384946,896.755,971.5806063242733,1044.378,902.0441769218623,852.837,862.8826159926093,769.76,368.12834580995866,344.308,-19.54447336390308,12.30099999999993,-4.615946116017653,26.35200000000009,-8.380269283367738,43.918000000000006,1.8902650508476757,1.542,503.5691532822022,310.5686074956544,963.838267352845,965.4125544275045,897.8147269232227
heating_validation,E70,9.107198347107436,1068.2931384907927,1152.474,1034.9689987761424,1120.277,951.0463486983962,912.173,1040.109211816727,1093.725,959.6797763900784,871.483,917.4695617611535,779.518,379.31096798430207,352.421,-33.3241397146503,-32.19699999999989,-5.14021304058474,26.552000000000135,-8.633427691682186,40.690000000000055,1.7242867817279781,1.314,559.6104939024099,314.35579782731264,1045.8667966046173,1033.0168551985444,955.5330161371935
heating_training,E71,7.1270991735537175,1205.4557542579093,1203.298,1140.9524008686965,1120.348,1032.9546225958488,882.823,1146.9224532043431,1095.306,1042.2978829765964,847.476,992.2284589755207,753.56,396.5833294856136,356.00399999999996,-64.50335338921286,-82.95000000000005,-5.970052335646642,25.041999999999916,-9.343260380747552,35.34699999999998,1.4177498263641164,0.825,600.7129244429539,319.46222313994275,1184.3176771100605,1138.3396117015686,1038.2969864100614
heating_training,E72,18.707575757575754,573.5256981587884,737.656,573.6882617288215,797.899,551.7536549406262,733.977,575.4092762462855,771.112,556.0805574783312,684.1869999999999,542.7750755723218,652.9549999999999,317.48799889858077,309.928,0.16256357003317135,60.24300000000005,-1.7210145174639138,26.787000000000035,-4.326902537704996,49.79000000000008,1.6612416550012559,2.485,354.3071644432712,298.31610401827976,565.688312972354,573.7105302466251,553.7319580790632
heating_validation,E73,13.170870967741934,670.2975245674215,837.694,666.1303104886878,894.482,631.7533692034326,791.76,668.4200100069093,867.5509999999999,636.4997592362242,747.4,617.6311164439829,694.626,330.53856962746283,325.12,-4.167214078733764,56.78800000000001,-2.2896995182214823,26.93100000000004,-4.7463900327916235,44.360000000000014,1.3095196788946282,1.827,399.4645431137096,302.2654408038272,658.9316492112705,665.5624201971973,634.0169473492123
heating_training,E74,9.023314049586775,812.6490205954572,948.538,790.5919128143087,962.509,734.7045570155158,804.0,793.7580978397472,935.491,740.2214425089292,767.8009999999999,713.1624273422633,697.672,345.61542025063557,333.964,-22.05710778114849,13.971000000000004,-3.1661850254384944,27.01800000000003,-5.516885493413383,36.19900000000007,0.966396907763782,1.071,457.813590764307,305.7456429428613,799.073880754302,789.4375269511436,737.7829257898286
heating_validation,E75,6.944495867768595,924.8246663098322,1008.725,880.5123840516111,979.689,804.7629206883724,788.678,884.3056658048059,954.178,810.9818740471178,757.393,776.8862325736958,681.066,356.79661547825197,336.517,-44.3122822582211,-29.036000000000058,-3.793281753194833,25.510999999999967,-6.2189533587453525,31.284999999999968,0.7506960976864128,0.651,487.85812507422827,308.2801861866802,911.3368722425917,878.7827478208867,808.5810162883374
heating_training,E76,4.526611570247936,1101.7715876111545,1067.693,1010.7744240062997,970.472,902.7239674158653,751.1579999999999,1015.4631644812155,947.353,909.8891325112314,726.308,865.2528813721057,647.019,374.5983112579874,338.123,-90.99716360485479,-97.221,-4.6887404749157895,23.119000000000028,-7.165165095366092,24.84999999999991,0.42268184369096073,0.174,538.1084843353652,312.19903868265226,1090.9283451256163,1008.0042359220744,907.6289088746536
heating_training,E77,13.84748387096774,491.01358224495857,565.544,486.91124078896075,623.3499999999999,469.18629868247535,574.299,488.146536647068,602.429,471.8164413403897,543.727,462.58159466822184,525.356,310.1728973215121,308.37,-4.102341455997816,57.805999999999926,-1.2352958581072357,20.920999999999935,-2.630142657914348,30.572000000000003,0.690328420905395,0.978,333.5343258783572,297.8207177341407,486.84457684482766,486.7634128777436,470.54404934863175
