phase,simulation_id,time_s,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K
heating_training,E67,0.0,293.3685,296.62199999999996,293.3685,296.25,293.3685,296.35299999999995,293.3685,296.22499999999997,293.3685,296.43399999999997,293.36850000000004,296.686,293.3685,293.39799999999997
heating_training,E67,50.0,381.39117723854963,383.55999999999995,336.96213144117564,341.47999999999996,310.27689004401986,308.99899999999997,401.0052150720462,316.138,335.76206354444105,300.25399999999996,305.74767770814395,299.786,293.3696714731502,293.414
heating_training,E67,100.0,464.05124720793134,540.75,401.1412759091883,473.256,352.65293813136884,376.486,520.4064947830781,420.83,424.60308341200846,346.76099999999997,342.8573957402347,327.39099999999996,293.376221678427,293.438
heating_training,E67,150.0,533.2532525705354,664.299,466.2668305210769,589.1769999999999,405.28870721238604,445.365,610.0610847722443,529.854,511.62704795085045,403.433,391.43557900717263,354.489,293.39005706927423,293.471
heating_training,E67,200.0,589.0527150047667,748.8409999999999,524.8052545362026,676.7909999999999,457.8001490248608,499.078,669.8064573029765,618.247,579.050295208029,448.715,441.10134918839947,378.13699999999994,293.4171624904243,293.50899999999996
heating_training,E67,250.0,633.2152457474403,809.804,574.6192286546085,746.2349999999999,505.36672251615846,544.2439999999999,708.0051089125412,691.87,626.5082487563624,487.053,486.69629453755294,398.99399999999997,293.47137908550025,293.53999999999996
heating_training,E67,300.0,667.9076062868849,854.7379999999999,615.7923145660963,803.725,546.3388920014495,584.703,732.243419789402,752.739,658.6015653369652,521.4689999999999,526.2879053135247,420.99299999999994,293.5733257398771,293.59299999999996
heating_training,E67,350.0,695.0291710348071,882.3009999999999,649.2992978339465,844.107,580.6567657773037,616.0509999999999,747.9076735872259,795.891,680.1497249476596,548.444,559.6161513253654,442.34799999999996,293.7467143046406,293.645
heating_training,E67,400.0,716.0936754461264,903.242,676.2946937273974,877.372,608.9443191925615,644.2819999999999,758.2666093525808,831.799,694.8140435980221,572.938,587.1865465490706,461.29599999999994,294.01406740923125,293.70799999999997
heating_training,E67,450.0,732.4592645996107,918.233,697.8961973885542,900.886,632.0144984261281,666.63,765.292096633867,857.492,704.9713494220018,592.479,609.7366605875987,478.52299999999997,294.39332437074955,293.78099999999995
