label,objective,heating_rmse_K,cooling_rmse_K,mid_sign_correct,deep_sign_correct,mid_gap_rmse_K,deep_gap_rmse_K
collapsed,4.846168322423694,111.47975638426307,31.96971942754081,0,0,27.86753464509114,43.17674438739426
first_selected,5.335081922497875,111.24545803334468,32.296993327422804,0,0,29.077811662486532,47.59770136141394
moderate,17.631219863537652,121.12972739439786,41.63986385918912,7,0,18.34759452845442,89.95870294421393
separated,55.40240918684956,163.3911459938701,86.28953557731109,9,3,175.46566283877854,75.6028038996578
large_side,18.261792506744133,125.84684516208384,43.48342019377205,9,0,45.8246475809658,67.7315920865816
