stage,evaluation,objective,transient_loss,steady_loss,radial_loss,axial_loss,cooling_loss,side_solid_fraction,side_gas_heat_fraction,active_side_conductance_W_K_m,side_felt_contact_h_W_m2K,beta_opt_1_m,heat_transfer_scale,power_scale_456,power_scale_304,power_scale_256
power,13,4.95256130699485,1.4961035329381298,2.7248438019243526,1.4560452974863287,0.7879157920518719,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.25,1.05,0.6545
power,14,4.815278009179759,1.4059836213114485,2.481777699797263,1.4654523721812636,0.8267352334095881,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.25,1.05,0.77
power,15,4.825674514985551,1.4055050160455407,2.4265516435081613,1.4751258563533438,0.8698442390772892,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.25,1.05,0.8855
power,16,4.832030897513661,1.4193747888998247,2.498042919035303,1.474196533931443,0.7779549412390724,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.25,1.2075,0.6545
power,17,4.694747599698571,1.3292548772731434,2.254976816908213,1.483603608626378,0.8167743825967886,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.25,1.2075,0.77
power,18,4.705144105504364,1.3287762720072356,2.199750760619112,1.4932770927984582,0.8598833882644898,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.25,1.2075,0.8855
power,19,5.829926217104414,2.0359838334686526,3.756766046952208,1.4725629568625633,0.7983539487396469,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.4375,0.8925,0.6545
power,20,5.692642919289322,1.9458639218419715,3.5136999448251185,1.4819700315574982,0.8371733900973631,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.4375,0.8925,0.77
power,21,5.703039425095115,1.9453853165760633,3.458473888536017,1.4916435157295787,0.8802823957650644,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.4375,0.8925,0.8855
power,22,5.410651944599822,1.7750813665323757,3.1589939236203453,1.4905621489450098,0.778224093098228,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.4375,1.05,0.6545
power,23,5.273368646784731,1.6849614549056944,2.9159278214932556,1.4999692236399447,0.8170435344559439,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.4375,1.05,0.77
power,24,5.283765152590524,1.6844828496397866,2.860701765204154,1.509642707812025,0.8601525401236453,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.4375,1.05,0.8855
power,25,5.290121535118634,1.6983526224940708,2.9321930407312955,1.508713385390124,0.7682632422854285,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.4375,1.2075,0.6545
power,26,5.152838237303542,1.6082327108673895,2.689126938604206,1.518120460085059,0.8070826836431446,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.4375,1.2075,0.77
power,27,5.163234743109335,1.6077541056014817,2.6339008823151047,1.5277939442571393,0.8501916893108459,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.4375,1.2075,0.8855
