irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-41.356880709317046,-34.14928244526689
456000.0,T12_perim,-35.26636281834525,-16.81065855368442
456000.0,T11_perim,-30.415479830215663,-1.3657133576718719
456000.0,T9_core,-35.411210683747306,-16.731949144758126
456000.0,T10_core,-30.527044042812,-3.5441256722753445
456000.0,T3,-29.064991587321085,0.5430107656374393
456000.0,T2,-6.138090305437798,-3.714704533708543
304000.0,T8,-31.3933643496432,-23.65036823444102
304000.0,T12_perim,-26.469808594953424,-13.173548257550575
304000.0,T11_perim,-22.69277146917025,-1.9289615808695002
304000.0,T9_core,-26.55627246330897,-13.384545690629912
304000.0,T10_core,-22.75833638764009,-3.67897996265457
304000.0,T3,-21.588568463726876,-0.13175631351821884
304000.0,T2,-3.6713021332865456,-2.0439067897339482
256000.0,T8,-27.63891649704573,-20.88606484778701
256000.0,T12_perim,-23.433357394005466,-13.987976018518863
256000.0,T11_perim,-20.071630958539444,-5.174190237226035
256000.0,T9_core,-23.491048572553424,-13.924381477027032
256000.0,T10_core,-20.116012955581525,-6.148389808009175
256000.0,T3,-18.933548698620037,-3.039355302230513
256000.0,T2,-2.770851475683964,-1.1393701213842518
