parameter,A_Nu,B_Re,k_scale_r,k_scale_z,scale_456,scale_304,scale_256,beta_rad,beta_opt
A_Nu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_Re,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_scale_r,0.0,0.0,0.9999999999999997,-0.3096964496741461,0.022263626975325364,-0.04740134719646812,0.11816468754711126,0.4033672084311626,0.269894338183371
k_scale_z,0.0,0.0,-0.3096964496741461,0.9999999999999999,-0.26916878089660606,-0.2786661173403924,-0.4115072476137364,-0.7897322451380911,0.33591396045057514
scale_456,0.0,0.0,0.022263626975325364,-0.26916878089660606,1.0,0.0,0.0,0.4042142473988065,-0.48526064159080595
scale_304,0.0,0.0,-0.04740134719646812,-0.2786661173403924,0.0,0.9999999999999999,0.0,0.2779027484938034,-0.6090144210749818
scale_256,0.0,0.0,0.11816468754711126,-0.4115072476137364,0.0,0.0,1.0000000000000004,0.14505901599263976,-0.2445377769906461
beta_rad,0.0,0.0,0.4033672084311626,-0.7897322451380911,0.4042142473988065,0.2779027484938034,0.14505901599263976,1.000000000000001,-0.31183529329664983
beta_opt,0.0,0.0,0.269894338183371,0.33591396045057514,-0.48526064159080595,-0.6090144210749818,-0.2445377769906461,-0.31183529329664983,1.0000000000000007
