simulation_id,flow_lpm,irradiance,power_scale,incident_aperture_W,nominal_aperture_absorbed_W,scaled_aperture_absorbed_W,participating_absorbed_W,core_absorbed_W,perim_absorbed_W,spill_capture,flux_receiver_fraction,flux_spillover_fraction,f_perim_source,beta_perim_1_m,core_front_cell_source_fraction,perim_front_cell_source_fraction,core_downstream_source_fraction,perim_downstream_source_fraction,T8_model,T8_experiment,T12_perim_model,T12_perim_experiment,T11_perim_model,T11_perim_experiment,T9_core_model,T9_core_experiment,T10_core_model,T10_core_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T11_minus_T8_model,T11_minus_T8_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,rear_tube_gas_heat,active_flow_fraction,G_core_perim_W_m_K,C_perim_eff_J_K,C_participating_eff_J_K,f_core_tube,flange_scale,G_rear_core_W_m_K,G_rear_perim_W_m_K,rear_sink_shape,k_core_axial_scale
E67,15.2805125,456000.0,0.7,8058.18515645782,6446.548125166257,4512.5836876163785,396.28877730921585,312.28275873151864,84.0060185776972,0.02,0.06920265203911855,0.9307973479608814,0.01861594695921763,1.8019923585149422,1.0,0.044918260103363174,0.0,0.9550817398966368,1108.975350926385,931.6279999999999,1067.9261914481672,991.103,928.0173162055362,878.055,1067.0512101511026,966.6659999999999,907.4021897279341,824.995,737.3812098803317,763.414,330.75809375040274,326.43699999999995,-41.049159478217916,59.47500000000002,-180.9580347208489,-53.57299999999998,0.8749812970645507,24.437000000000012,20.615126477602075,53.059999999999945,10.627166803441758,0.9781730259295952,140.19391730353345,-23.35742152568107,1.0,16.044477788186573,214.29323236142696,286.8201649272478,0.9993097154917425,0.1013817714666468,3.336402359922935,0.0,0.9997676098325551,0.0
E68,12.499871559633025,456000.0,0.7,8058.18515645782,6446.548125166257,4512.5836876163785,396.28877730921585,312.28275873151864,84.0060185776972,0.02,0.06920265203911855,0.9307973479608814,0.01861594695921763,1.8019923585149422,1.0,0.044918260103363174,0.0,0.9550817398966368,1205.1097713876766,1012.649,1140.1173959850528,1047.717,966.0105509141708,898.751,1141.1516418632011,1020.928,939.788892007113,850.0989999999999,751.6190169558566,773.207,342.6796133852391,338.52,-64.9923754026238,35.0680000000001,-239.09922047350574,-113.89800000000002,-1.0342458781483401,26.7890000000001,26.221658907057872,48.652000000000044,9.351908938089041,0.9854198858847165,118.62527920508423,-23.362345430710015,1.0,16.044477788186573,214.29323236142696,286.8201649272478,0.9993097154917425,0.1013817714666468,3.336402359922935,0.0,0.9997676098325551,0.0
E69,10.499733944954128,456000.0,0.7,8058.18515645782,6446.548125166257,4512.5836876163785,396.28877730921585,312.28275873151864,84.0060185776972,0.02,0.06920265203911855,0.9307973479608814,0.01861594695921763,1.8019923585149422,1.0,0.044918260103363174,0.0,0.9550817398966368,1281.4852910065702,1058.429,1192.1565388580857,1070.73,987.7770505044716,896.755,1192.4988576497108,1044.378,955.9585883189394,852.837,747.9279526591652,769.76,351.69851390088587,344.308,-89.32875214848445,12.30099999999993,-293.70824050209853,-161.6740000000001,-0.3423187916250754,26.35200000000009,31.818462185532212,43.918000000000006,8.410172595390513,0.9898373724950323,100.23951406323656,-22.481400754498484,1.0,16.044477788186573,214.29323236142696,286.8201649272478,0.9993097154917425,0.1013817714666468,3.336402359922935,0.0,0.9997676098325551,0.0
E70,9.107139705882352,456000.0,0.7,8058.18515645782,6446.548125166257,4512.5836876163785,396.28877730921585,312.28275873151864,84.0060185776972,0.02,0.06920265203911855,0.9307973479608814,0.01861594695921763,1.8019923585149422,1.0,0.044918260103363174,0.0,0.9550817398966368,1339.0695863761416,1152.474,1227.9892346602524,1120.277,999.2120479457488,912.173,1226.198500707738,1093.725,962.5394859437935,871.483,742.6184405018666,779.518,352.09524179515876,352.421,-111.08035171588926,-32.19699999999989,-339.85753843039276,-240.30099999999993,1.7907339525143016,26.552000000000135,36.672562001955384,40.690000000000055,7.719947726035474,0.9925574400156573,86.05056561723428,-21.5156114383819,1.0,16.044477788186573,214.29323236142696,286.8201649272478,0.9993097154917425,0.1013817714666468,3.336402359922935,0.0,0.9997676098325551,0.0
E71,7.126846153846151,456000.0,0.7,8058.18515645782,6446.548125166257,4512.5836876163785,396.28877730921585,312.28275873151864,84.0060185776972,0.02,0.06920265203911855,0.9307973479608814,0.01861594695921763,1.8019923585149422,1.0,0.044918260103363174,0.0,0.9550817398966368,1423.1051166240472,1203.298,1273.4263477945724,1120.348,1005.8395150824391,882.823,1264.5830505659446,1095.306,961.156914235937,847.476,719.2195514490722,753.56,356.380325452662,356.00399999999996,-149.67876882947485,-82.95000000000005,-417.26560154160813,-320.475,8.843297228627762,25.041999999999916,44.682600846502055,35.34699999999998,6.733909269398989,0.9957107051412958,65.41263135617116,-19.155944177139396,1.0,16.044477788186573,214.29323236142696,286.8201649272478,0.9993097154917425,0.1013817714666468,3.336402359922935,0.0,0.9997676098325551,0.0
E72,18.707575757575754,304000.0,0.7,5372.123437638546,4297.698750110837,3008.3891250775855,264.1925182061439,208.18850582101243,56.00401238513147,0.02,0.06920265203911855,0.9307973479608814,0.01861594695921763,1.8019923585149422,1.0,0.044918260103363174,0.0,0.9550817398966368,810.042977013658,737.656,786.0366582668875,797.899,700.1987205024296,733.977,782.8479643880466,771.112,690.6283599706877,684.1869999999999,582.6733798615467,652.9549999999999,314.67319829317177,309.928,-24.00631874677049,60.24300000000005,-109.84425651122831,-3.6789999999999736,3.188693878840809,26.787000000000035,9.570360531741926,49.79000000000008,12.817157291835118,0.9628585187305948,106.80364751329982,-13.850691299980687,1.0,16.044477788186573,214.29323236142696,286.8201649272478,0.9993097154917425,0.1013817714666468,3.336402359922935,0.0,0.9997676098325551,0.0
E73,13.170870967741934,304000.0,0.7,5372.123437638546,4297.698750110837,3008.3891250775855,264.1925182061439,208.18850582101243,56.00401238513147,0.02,0.06920265203911855,0.9307973479608814,0.01861594695921763,1.8019923585149422,1.0,0.044918260103363174,0.0,0.9550817398966368,945.7093164778936,837.694,891.0111629716399,894.482,754.7922992062122,791.76,891.8584593788572,867.5509999999999,742.2446382186172,747.4,602.0995791959967,694.626,328.4325520457252,325.12,-54.698153506253675,56.78800000000001,-190.9170172716814,-45.93399999999997,-0.8472964072172999,26.93100000000004,12.547660987595009,44.360000000000014,10.39779849461877,0.9796800190054255,82.02760783952414,-14.253037817755189,1.0,16.044477788186573,214.29323236142696,286.8201649272478,0.9993097154917425,0.1013817714666468,3.336402359922935,0.0,0.9997676098325551,0.0
E74,9.023245901639344,304000.0,0.7,5372.123437638546,4297.698750110837,3008.3891250775855,264.1925182061439,208.18850582101243,56.00401238513147,0.02,0.06920265203911855,0.9307973479608814,0.01861594695921763,1.8019923585149422,1.0,0.044918260103363174,0.0,0.9550817398966368,1097.644542904965,948.538,990.4260593255627,962.509,787.5072378248693,804.0,991.3678518504153,935.491,768.3518714732146,767.8009999999999,592.8839913241084,697.672,334.21491573160495,333.964,-107.21848357940223,13.971000000000004,-310.13730508009564,-144.538,-0.9417925248525307,27.01800000000003,19.15536635165472,36.19900000000007,8.251714145317589,0.9905414987060689,54.93954359673903,-12.929308807251047,1.0,16.044477788186573,214.29323236142696,286.8201649272478,0.9993097154917425,0.1013817714666468,3.336402359922935,0.0,0.9997676098325551,0.0
E75,6.944410852713178,304000.0,0.7,5372.123437638546,4297.698750110837,3008.3891250775855,264.1925182061439,208.18850582101243,56.00401238513147,0.02,0.06920265203911855,0.9307973479608814,0.01861594695921763,1.8019923585149422,1.0,0.044918260103363174,0.0,0.9550817398966368,1188.452404463694,1008.725,1039.1636623149243,979.689,791.6853193603602,788.678,1035.7976236708116,954.178,766.9297514321279,757.393,571.9870737527315,681.066,337.20864960193825,336.517,-149.28874214876964,-29.036000000000058,-396.7670851033338,-220.04700000000003,3.3660386441126775,25.510999999999967,24.755567928232267,31.284999999999968,7.086308595348591,0.9946435264958966,39.929604399964255,-11.290500178625752,1.0,16.044477788186573,214.29323236142696,286.8201649272478,0.9993097154917425,0.1013817714666468,3.336402359922935,0.0,0.9997676098325551,0.0
E76,4.526673611111114,304000.0,0.7,5372.123437638546,4297.698750110837,3008.3891250775855,264.1925182061439,208.18850582101243,56.00401238513147,0.02,0.06920265203911855,0.9307973479608814,0.01861594695921763,1.8019923585149422,1.0,0.044918260103363174,0.0,0.9550817398966368,1300.2132223862989,1067.693,1084.2795883538513,970.472,776.2962435330184,751.1579999999999,1069.2647404982283,947.353,743.1407395247401,726.308,531.798176104178,647.019,340.4359968413744,338.123,-215.93363403244757,-97.221,-523.9169788532805,-316.5350000000001,15.014847855622975,23.119000000000028,33.155504008278285,24.84999999999991,5.60364398393554,0.9980596071159418,23.494753646721314,-8.480503564206087,1.0,16.044477788186573,214.29323236142696,286.8201649272478,0.9993097154917425,0.1013817714666468,3.336402359922935,0.0,0.9997676098325551,0.0
