phase,simulation_id,flow_lpm,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K,model_T12_minus_T8_K,observed_T12_minus_T8_K,model_T12_minus_T9_K,observed_T12_minus_T9_K,model_T11_minus_T10_K,observed_T11_minus_T10_K,core_to_side_flow_ratio,core_to_corner_flow_ratio,dp1_model_mbar,dp1_observed_mbar,equal_pressure_error,final_skin_max_minus_side_channel_K
heating_training,E67,15.2805125,790.4975713841648,931.6279999999999,782.2919187330434,991.103,728.7905797813415,878.055,787.6436865836218,966.6659999999999,743.9153233348729,824.995,711.7685893332383,763.414,347.3309392517721,326.43699999999995,-8.20565265112134,59.47500000000002,-5.351767850578426,24.437000000000012,-15.124743553531403,53.059999999999945,3.4565854829255307,3.450552094764242,2.1586453593694594,2.712,7.5596381089493e-6,0.5483288409200213
heating_validation,E68,12.499871559633025,876.6427581894702,1012.649,866.7477223942257,1047.717,799.7952549297678,898.751,873.8276267336807,1020.928,816.0101006559372,850.0989999999999,778.06653050009,773.207,363.03131992871647,338.52,-9.895035795244553,35.0680000000001,-7.079904339455084,26.7890000000001,-16.214845726169415,48.652000000000044,3.0049942047078617,2.9994906533607226,1.929770923744481,2.004,5.969041098230009e-6,-0.057127438042357426
heating_training,E69,10.499733944954128,956.0853784863956,1058.429,938.9948650423374,1070.73,854.6088235193184,896.755,947.5635866402562,1044.378,872.4036727063891,852.837,827.1055896908048,769.76,373.9552470751553,344.308,-17.09051344405816,12.30099999999993,-8.568721597918739,26.35200000000009,-17.794849187070668,43.918000000000006,2.6741250481234813,2.668682642537465,1.7110478462428031,1.542,4.846313840416506e-6,-0.5919778387022916
heating_validation,E70,9.107198347107436,1026.8122836668003,1152.474,1001.1948008781777,1120.277,905.8633258957833,912.173,1010.822334173134,1093.725,924.0931924026781,871.483,875.6021101379747,779.518,385.52563550005397,352.421,-25.617482788622624,-32.19699999999989,-9.627533294956265,26.552000000000135,-18.229866506894837,40.690000000000055,2.4453780725627743,2.44032590471184,1.5427165473709792,1.314,9.112357357548308e-6,-0.8605765368313314
heating_training,E71,7.1270991735537175,1144.960549249214,1203.298,1096.2250745923159,1120.348,974.9494218000316,882.823,1107.3322523697773,1095.306,994.6197702543446,847.476,937.4179589214383,753.56,402.9792140624471,356.00399999999996,-48.73547465689808,-82.95000000000005,-11.107177777461402,25.041999999999916,-19.670348454313057,35.34699999999998,2.120978479930775,2.1160977638061174,1.229331356347125,0.825,6.865925886475526e-6,-1.812141845481392
heating_training,E72,18.707575757575754,576.7763126119233,737.656,567.3710572427594,797.899,540.7431827248693,733.977,569.693046408665,771.112,548.7857610573822,684.1869999999999,533.4825411720026,652.9549999999999,320.14855401723247,309.928,-9.40525536916391,60.24300000000005,-2.32198916590562,26.787000000000035,-8.042578332512903,49.79000000000008,4.255458120390872,4.250730746782024,1.5321524182990345,2.485,4.724328826156458e-6,0.935519720176444
heating_validation,E73,13.170870967741934,663.5967578334851,837.694,654.5678059249258,894.482,614.5287722355135,791.76,658.4427141654967,867.5509999999999,623.8816091043373,747.4,602.1741507277994,694.626,333.8001735053557,325.12,-9.028951908559293,56.78800000000001,-3.874908240570903,26.93100000000004,-9.352836868823715,44.360000000000014,3.394461513947525,3.3900988214470593,1.2020817700533817,1.827,7.320786667039921e-6,0.2995796661238046
heating_training,E74,9.023314049586775,788.800703635368,948.538,769.1266389581759,962.509,706.1879847834635,804.0,774.8787113911388,935.491,717.349345031659,767.8009999999999,686.6337975608816,697.672,349.44210253201913,333.964,-19.674064677192064,13.971000000000004,-5.752072432962905,27.01800000000003,-11.161360248195479,36.19900000000007,2.6448621808087,2.640780114946817,0.861337232642083,1.071,4.741614900227664e-6,-0.28299638979558495
heating_validation,E75,6.944495867768595,885.8083443282914,1008.725,849.409977528656,979.689,765.5311280830717,788.678,856.3381903642315,954.178,778.1225342191836,757.393,739.9257102983173,681.066,360.7784776100381,336.517,-36.39836679963537,-29.036000000000058,-6.92821283557555,25.510999999999967,-12.591406136111914,31.284999999999968,2.2570396662041836,2.253012978354708,0.6390252124848312,0.651,7.77708834534473e-6,-0.8888737720299105
heating_training,E76,4.526611570247936,1037.1813267182893,1067.693,962.6908483202388,970.472,845.5999711180775,751.1579999999999,971.0017347029296,947.353,859.8515720564775,726.308,811.0724612521398,647.019,378.10050638664995,338.123,-74.49047839805041,-97.221,-8.310886382690796,23.119000000000028,-14.251600938399974,24.84999999999991,1.810885094364824,1.8070488759272343,0.30587765528000366,0.174,4.969372863629589e-6,-2.036783946372452
heating_training,E77,13.84748387096774,517.2888532623542,565.544,509.13364851907517,623.3499999999999,485.0769520591464,574.299,511.36955806608404,602.429,490.6460114163607,543.727,478.10924338457124,525.356,314.4205281076611,308.37,-8.155204743279057,57.805999999999926,-2.2359095470088732,20.920999999999935,-5.569059357214314,30.572000000000003,3.8005813519510054,3.797098961390077,0.7291444074880835,0.978,8.749836823458857e-6,0.32877617769668177
heating_validation,E78,10.009137614678897,584.80292744173,631.689,572.881856952005,685.819,539.7290610951,612.092,575.7750656828258,663.635,545.6750420466823,583.704,529.798628746606,554.4549999999999,324.9377626019253,312.95899999999995,-11.921070489725025,54.129999999999995,-2.8932087308207883,22.18399999999997,-5.945980951582328,28.388000000000034,3.0849011479462844,3.0818458083413165,0.49156286007325667,0.637,6.219479080618237e-6,0.053796283285578284
heating_training,E79,8.033490566037736,635.5614351641776,676.213,616.4746651632305,716.108,572.7422548868642,622.325,619.9734346368906,694.063,579.5058018607517,595.766,559.61528532828,560.0329999999999,329.8212736245242,314.96,-19.086770000947126,39.89499999999998,-3.4987694736601043,22.04499999999996,-6.7635469738875145,26.559000000000083,2.6900204064385167,2.686913447401682,0.3418672300661839,0.403,4.882405825756384e-6,-0.17783423464220505
heating_validation,E80,6.605050847457628,685.3183684974073,710.3340000000001,657.6328320224458,735.351,604.3445383061462,626.4849999999999,661.6156387295322,713.233,611.6993881744097,601.77,588.5603652076136,561.2539999999999,334.4007569739609,316.11899999999997,-27.68553647496151,25.01699999999994,-3.982806707086411,22.118000000000052,-7.3548498682635,24.714999999999918,2.394050407319354,2.3910013308894635,0.22441348414021234,0.238,8.720107549897114e-6,-0.3503478829671849
heating_training,E81,4.527140495867768,783.884787341087,760.0609999999999,732.5417275456506,749.902,657.4895443436617,618.9749999999999,737.466695267485,728.5039999999999,666.1655501265909,597.766,635.6779204107003,550.499,344.7219376430676,319.315,-51.343059795436375,-10.158999999999878,-4.924967721834378,21.39800000000014,-8.676005782929224,21.208999999999946,1.9518395967983797,1.9488033529216309,0.024774229538362058,-0.023,5.716804328035647e-6,-0.9832170676017995
cooling_validation,C69,10.49813725490196,323.975809471956,312.268,352.3359594045142,327.582,410.4398707798988,345.55899999999997,348.85630591166006,333.303,398.47291511755895,354.515,430.94753175757376,360.51599999999996,324.1078301700435,323.99,28.360149932558215,15.314000000000021,3.4796534928541405,-5.721000000000004,11.966955662339842,-8.956000000000017,4.180285712805895,4.191913512396696,0.03192778547447328,-0.058,4.886798746717545e-6,3.3550933061245587
cooling_validation,C80,6.607946666666666,323.39671747929185,305.84999999999997,340.9778219082134,313.269,370.00036674762805,320.183,339.66975812527835,314.292,365.6165458769225,322.157,380.265843567032,324.48199999999997,307.727462123367,306.22999999999996,17.58110442892155,7.41900000000004,1.3080637829350508,-1.0229999999999677,4.383820870705563,-1.9739999999999895,3.209142285752598,3.2129595130617927,-0.24006469122774993,-0.265,6.822234240844651e-6,1.310131408671566
cooling_validation,C81,4.529773109243697,328.9768162452723,298.193,345.6750501522634,300.909,370.55356825017975,304.457,344.83065516249377,301.79999999999995,367.3960950160791,305.42499999999995,379.5447267762835,306.32,303.0436041858162,298.727,16.698233906991106,2.716000000000008,0.8443949897696257,-0.8909999999999627,3.157473234100678,-0.9679999999999609,2.65065295765832,2.6530146055536328,-0.3468477430564813,-0.405,4.840136148193159e-6,1.0117797805547184
