rank,objective,transient_loss,steady_loss,radial_loss,axial_loss,cooling_loss,mid_sign_correct,deep_sign_correct,skin_thickness_mm,channel_conductance_scale
1,6.002044443343922,1.1149943781546403,1.9667264905745574,1.8914220609753123,1.0419898123247378,0.40318210473773647,0,0,0.05,1.0
2,6.004790360680002,1.1123310779095366,1.9625038543739792,1.890014825260021,1.0729906981259139,0.4035625330009098,0,0,0.15,1.0
3,6.008970833349174,1.1083068807494767,1.956252872834204,1.8875919670783199,1.121940219656266,0.40404418139183335,0,0,0.3,1.0
4,6.570953840278624,1.134470738248972,1.995486649950586,2.159032165314061,1.0547972265803753,0.4066672168844823,0,0,0.05,0.3
