simulation_id,flow_lpm,irradiance,beta_opt,front_dep,front_cell_source_fraction,downstream_source_fraction,axial_view_strength,tc_model,T8_model,T8_raw_solid,T8_tc_shift,T8_experiment,T9_pair_model,T9_pair_raw_solid,T9_pair_tc_shift,T9_pair_experiment,T10_pair_model,T10_pair_raw_solid,T10_pair_tc_shift,T10_pair_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T9_minus_T8_model,T9_minus_T8_experiment,T10_minus_T8_model,T10_minus_T8_experiment,axial_view_abs_heat,axial_view_front_loss,axial_view_max_gain,axial_view_max_loss,mean_nu,mean_effectiveness,receiver_to_tube_heat,receiver_to_cavity_heat,flange_heat_loss
E67,15.2805125,456000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,0.0,true,605.4442963535872,664.4165450651486,-58.972248711561406,931.6279999999999,630.3223372097295,638.6888301795442,-8.366492969814658,978.8844999999999,592.3592597483995,593.3809553364472,-1.0216955880476917,851.525,557.4740513875436,763.414,312.4486360052573,326.43699999999995,24.87804085614232,47.25649999999996,-13.085036605187724,-80.10299999999995,0.0,-0.0,0.0,0.0,11.442985482775,0.8749341967789098,20.6151935015001,25.65157346435389,22.30173164120296
E68,12.499871559633025,456000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,0.0,true,662.3210262994912,732.2083772569163,-69.88735095742504,1012.649,684.5139620091221,694.2453905774743,-9.731428568352158,1034.3225,635.0156838537506,636.1855116941537,-1.1698278404030589,874.425,593.2858455623812,773.207,320.0807074841829,338.52,22.192935709630888,21.67349999999999,-27.30534244574062,-138.22400000000005,0.0,-0.0,0.0,0.0,9.6227271071472,0.9104400005818519,21.5922002700365,29.381782741511874,25.63134283210193
E69,10.499733944954128,456000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,0.0,true,708.6031426141262,787.3724041914072,-78.76926157728099,1058.429,727.0699533409739,737.873248414804,-10.8032950738301,1057.554,666.9889095982471,668.2697703262852,-1.2808607280380784,874.796,619.5085302465641,769.76,329.71948918178833,344.308,18.46681072684771,-0.875,-41.61423301587911,-183.63300000000004,0.0,-0.0,0.0,0.0,8.506847211363185,0.9351618514112467,22.452208316233328,31.995404140298604,27.847870609607586
E70,9.107139705882352,456000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,0.0,true,751.6797678968367,838.7157805657282,-87.03601266889154,1152.474,763.4493877860224,775.1689791567899,-11.719591370767489,1107.001,691.2027995805407,692.5677474803609,-1.3649478998202085,891.828,637.6377887839819,779.518,327.8856450478093,352.421,11.76961988918572,-45.472999999999956,-60.47696831629594,-260.64599999999996,0.0,-0.0,0.0,0.0,7.678571398917114,0.9539649928851923,23.606640261836876,35.02936827283995,29.044264300062334
E71,7.126846153846151,456000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,0.0,true,821.0769321887581,921.4308192245439,-100.35388703578587,1203.298,819.471908137606,832.6025502497147,-13.130642112108717,1107.827,726.6194172512903,728.1073558484419,-1.487938597151583,865.1495,663.9095021780568,753.56,333.4063564582442,356.00399999999996,-1.6050240511520997,-95.471,-94.45751493746775,-338.1485,0.0,-0.0,0.0,0.0,6.62908037198818,0.9769557099091558,25.111366684400984,39.02358860477255,30.546017666842953
E72,18.707575757575754,304000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,0.0,true,474.9276976723217,508.8527606412545,-33.92506296893282,737.656,490.90121442025327,495.7560788978816,-4.854864477628325,784.5055,470.5989764695784,471.1978371532054,-0.598860683626981,709.0819999999999,452.3210456835566,652.9549999999999,303.9371542428175,309.928,15.97351674793157,46.849500000000035,-4.3287212027432815,-28.57400000000007,0.0,-0.0,0.0,0.0,14.561939859477526,0.826001179175855,13.275679164103298,15.119046190668374,13.03175666433876
E73,13.170870967741934,304000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,0.0,true,532.4408507300669,577.4031506622424,-44.96229993217548,837.694,546.7057701265284,552.9661954251512,-6.260425298622863,881.0165,515.5951856807914,516.3503039494763,-0.7551182686848961,769.5799999999999,490.6802692995313,694.626,313.1943275578653,325.12,14.264919396461437,43.32249999999999,-16.845665049275567,-68.11400000000003,0.0,-0.0,0.0,0.0,10.914239967856624,0.8835502338839958,14.647010717782274,18.858866728806863,16.81206564392457
E74,9.023245901639344,304000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,0.0,true,606.616639283537,665.8138700388936,-59.1972307553566,948.538,612.1301316616149,620.0384138089925,-7.908282147377577,949.0,562.5875440749722,563.5058519226811,-0.9183078477088884,785.9005,527.9738171524065,697.672,316.0771396183215,333.964,5.513492378077899,0.4619999999999891,-44.02909520856474,-162.63750000000005,0.0,-0.0,0.0,0.0,8.232905685524702,0.9406750622092543,16.879715764572946,23.85170335471869,19.810413011921316
E75,6.944410852713178,304000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,0.0,true,660.8083465389616,730.4054020756208,-69.59705553665924,1008.725,655.9463901539203,664.958281414925,-9.011891261004621,966.9335,591.2271218341252,592.2448858657255,-1.0177640316002226,773.0355,549.7035328867635,681.066,319.4379423598512,336.517,-4.861956385041253,-41.79150000000004,-69.58122470483636,-235.68950000000007,0.0,-0.0,0.0,0.0,6.995010080338145,0.9690878849458173,18.353477003688134,27.083273662496683,21.236251329480094
E76,4.526673611111114,304000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,0.0,true,741.464011464145,826.539538252647,-85.07552678850209,1067.693,714.0693247755834,724.5451703441079,-10.475845568524505,958.9124999999999,625.147431553957,626.2829900792302,-1.135558525273268,738.733,574.6691110602669,647.019,323.99491304704156,338.123,-27.394686688561592,-108.78050000000007,-116.31657991018801,-328.96000000000004,0.0,-0.0,0.0,0.0,5.686177883448184,0.9930433605190703,19.85144910470343,31.42438612680045,22.33803376528621
