simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s,shape_loss
E67,heating,T8,277.91448709355626,-267.4122580726694,-150.0,0.0013943840745440977
E67,heating,T9_pair,328.02013546570294,-340.4825039282932,-250.0,0.0005297403656309283
E67,heating,T10_pair,217.97618233094937,-258.2455113275148,-800.0,0.00015760642310991453
E67,heating,T3,159.07704814175614,-205.89867308497207,-500.0,0.0001979184861007091
E67,heating,T2,7.030957401120652,-13.997002612497738,-100.0,6.965361850505185e-5
E67,heating,T9_pair_minus_T8,55.44505563435315,-73.07024585562385,0.0,0.006872897001937225
E67,heating,T10_pair_minus_T8,88.30217218245814,9.166746745154569,0.0,0.005629561541867692
E68,heating,T8,282.7946039138152,-280.8811940840325,-150.0,0.0007846741007778915
E68,heating,T9_pair,325.1062750176324,-340.5813107905434,-350.0,0.00023649714760542342
E68,heating,T10_pair,200.20947695916018,-238.36421153946958,-800.0,7.240440324132608e-5
E68,heating,T3,141.8788320305056,-179.81882582395428,-450.0,0.00012531010231993102
E68,heating,T2,10.444669935908975,-18.455956279177542,0.0,3.493916337666447e-5
E68,heating,T9_pair_minus_T8,50.58795293756396,-59.700116706510926,0.0,0.005675474006930324
E68,heating,T10_pair_minus_T8,109.93268027730181,42.51698254456289,0.0,0.00290779448704163
E69,heating,T8,266.7261254575747,-271.81444755518396,-200.0,0.0005584773221045818
E69,heating,T9_pair,299.3199851697956,-320.4211013689079,-400.0,0.0001558909379715697
E69,heating,T10_pair,170.9437850686236,-206.6379976499844,-1100.0,4.5491077455498635e-5
E69,heating,T3,116.71333519126175,-150.05092690079744,-600.0,8.40595991912676e-5
E69,heating,T2,8.328109175679089,-14.612186321660033,200.0,0.00014025942979092217
E69,heating,T9_pair_minus_T8,39.38075389349745,-48.60665381372394,0.0,0.00510785918040822
E69,heating,T10_pair_minus_T8,112.03632937062791,65.17644990519955,0.0,0.002113892621284936
E70,heating,T8,316.0657568484874,-314.94782919217585,-100.0,0.0003555786701012511
E70,heating,T9_pair,314.2079290087257,-332.8263942816567,-450.0,8.894215744997425e-5
E70,heating,T10_pair,164.50405906499958,-199.29878312491087,-800.0,3.3486601443470166e-5
E70,heating,T3,111.73685812100469,-141.52223355937974,-450.0,6.362321360043528e-5
E70,heating,T2,15.307656162441589,-24.56770338361997,100.0,2.3618015440463496e-5
E70,heating,T9_pair_minus_T8,35.73063742449551,-17.878565089480844,0.0,0.002469517310894948
E70,heating,T10_pair_minus_T8,174.99460931955824,115.64904606726498,0.0,0.0011543327693630584
E71,heating,T8,285.29255398269765,-284.0276629460242,-150.0,0.0009232853553645794
E71,heating,T9_pair,256.5842202371199,-276.60107687235165,-600.0,0.00014539548087214466
E71,heating,T10_pair,109.21209301364026,-136.733956568174,-750.0,5.134286708609997e-5
E71,heating,T3,71.90438174875946,-88.821199621706,-450.0,7.629124661549179e-5
E71,heating,T2,14.26414878305875,-22.63676076311367,150.0,1.8876437018249144e-5
E71,heating,T9_pair_minus_T8,49.20658129313273,7.426586073672524,0.0,0.005430533295047307
E71,heating,T10_pair_minus_T8,199.86869118829765,147.29370637785019,0.0,0.002469912168176657
E72,heating,T8,210.34857439309158,-228.84600027633718,-350.0,0.0010174676204034786
E72,heating,T9_pair,265.6701544654267,-288.8151415384676,-350.0,0.0005506664193610888
E72,heating,T10_pair,200.5883605531394,-237.91035036737196,-600.0,0.00024553369127633883
E72,heating,T3,157.0069794519292,-200.62668757447597,-450.0,0.00020226863566684148
E72,heating,T2,2.689479810489538,-5.99259647411094,-150.0,9.403921939011084e-5
E72,heating,T9_pair_minus_T8,55.808841963078144,-59.96914126213045,0.0,0.005956915406891554
E72,heating,T10_pair_minus_T8,25.99502311452068,-9.064350091034783,0.0,0.009965440886300537
E73,heating,T8,251.4075431120737,-260.4348959581371,-250.0,0.0006183685534995585
E73,heating,T9_pair,305.9573782656513,-328.20718352355004,-400.0,0.0002805222723126265
E73,heating,T10_pair,213.33162651984824,-253.26968345419778,-950.0,0.00010278276277469838
E73,heating,T3,160.92938660494238,-203.91777802679337,-650.0,9.330909099605747e-5
E73,heating,T2,6.179791725732802,-11.93077117215688,-100.0,9.817069177509008e-5
E73,heating,T9_pair_minus_T8,56.027189685032894,-67.77228756541297,0.0,0.004531408108911596
E73,heating,T10_pair_minus_T8,56.51699081905139,7.165212503939301,0.0,0.0028509315457129637
E74,heating,T8,279.56772870759215,-283.18701359481906,-200.0,0.0003566136348967477
E74,heating,T9_pair,308.2669557527488,-329.3186683413513,-450.0,0.00012617768979432346
E74,heating,T10_pair,184.50580606705287,-222.41597605067432,-800.0,4.123125878765914e-5
E74,heating,T3,131.64803354475828,-169.5879129084317,-600.0,5.329695984402819e-5
E74,heating,T2,10.543894255577236,-17.89924672119048,0.0,2.990555105338805e-5
E74,heating,T9_pair_minus_T8,37.2417683496977,-46.13165474653226,0.0,0.0033660082724399623
E74,heating,T10_pair_minus_T8,112.82182109813671,60.77103754414475,0.0,0.0012410829539867168
E75,heating,T8,272.30573940628534,-279.2023252441795,-200.0,0.00026488739539923836
E75,heating,T9_pair,276.49088855597165,-302.5057776149281,-600.0,7.669181379808808e-5
E75,heating,T10_pair,143.9393964790026,-180.71999627214166,-850.0,2.724690334635593e-5
E75,heating,T3,98.06627233434558,-131.1117574720115,-600.0,4.774841700288818e-5
E75,heating,T2,10.1976574291763,-17.096637283885684,0.0,2.4014561262481218e-5
E75,heating,T9_pair_minus_T8,26.829589149604026,-23.303452370748573,0.0,0.0021731847551524123
E75,heating,T10_pair_minus_T8,143.46594072540034,98.48232897203786,0.0,0.0008665717203321969
E76,heating,T8,234.9152136108648,-242.98618032609147,-200.0,0.0002180651158383637
E76,heating,T9_pair,210.51499065625686,-235.01478993912315,-550.0,4.439771771323351e-5
E76,heating,T10_pair,85.89670150294879,-111.94633945496628,-750.0,1.8696696936284483e-5
E76,heating,T3,53.77133707054521,-71.6368405383206,-550.0,4.53768844672196e-5
E76,heating,T2,8.597086520337726,-14.145126166696286,0.0,1.5400745240647325e-5
E76,heating,T9_pair_minus_T8,35.69736812825214,7.971390386968324,0.0,0.001416723360117996
E76,heating,T10_pair_minus_T8,161.7208908832711,131.0398408711252,0.0,0.0006497710841405091
E77,heating,T8,39.49628224602933,-41.22250605075328,-700.0,0.0023355071685638214
E77,heating,T9_pair,91.03598320320864,-108.15647616973945,-650.0,0.00037424260146754
E77,heating,T10_pair,63.29140046673704,-84.34780446792257,-900.0,0.0001711243635642369
E77,heating,T3,50.113395735843234,-71.92753092990199,-650.0,0.0002165409363656895
E77,heating,T2,2.610403350809426,1.849989206998714,-191.0,0.0009415847867870453
E77,heating,T9_pair_minus_T8,61.982022290534296,-66.93397011898617,0.0,0.02118052920435416
E77,heating,T10_pair_minus_T8,35.741867762440954,-43.12529841716929,0.0,0.04047252556240962
E78,heating,T8,42.49352508754187,-42.59179695785929,-650.0,0.0009743634676878201
E78,heating,T9_pair,102.41247290162529,-119.53743619513318,-850.0,0.00014646552044063707
E78,heating,T10_pair,65.88354243589765,-85.75048838688235,-950.0,7.253762018631069e-5
