simulation_id,flow_lpm,irradiance,beta_opt,front_dep,front_cell_source_fraction,downstream_source_fraction,axial_view_strength,tc_model,T8_model,T8_raw_solid,T8_tc_shift,T8_experiment,T9_pair_model,T9_pair_raw_solid,T9_pair_tc_shift,T9_pair_experiment,T10_pair_model,T10_pair_raw_solid,T10_pair_tc_shift,T10_pair_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T9_minus_T8_model,T9_minus_T8_experiment,T10_minus_T8_model,T10_minus_T8_experiment,axial_view_abs_heat,axial_view_front_loss,axial_view_max_gain,axial_view_max_loss,mean_nu,mean_effectiveness,receiver_to_tube_heat,receiver_to_cavity_heat,flange_heat_loss
E67,15.2805125,456000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,1.0,false,664.2157419273306,664.2157419273306,0.0,931.6279999999999,638.4019960717067,638.4019960717067,0.0,978.8844999999999,593.2794886724852,593.2794886724852,0.0,851.525,557.5153269150279,763.414,312.4399973875022,326.43699999999995,-25.813745855623893,47.25649999999996,-70.93625325484538,-80.10299999999995,0.43156730226383877,-0.0,0.08859884065687292,-0.05207816790555906,11.444353839669668,0.874915096637189,20.618802561264456,25.636862603608225,22.305715384081452
E68,12.499871559633025,456000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,1.0,false,731.7678059159675,731.7678059159675,0.0,1012.649,693.7411892094566,693.7411892094566,0.0,1034.3225,636.0607884605304,636.0607884605304,0.0,874.425,593.3881741760457,773.207,320.06404372082244,338.52,-38.026616706510936,21.67349999999999,-95.70701745543715,-138.22400000000005,0.6416717319596644,-0.0,0.1136232015506914,-0.0838376586571931,9.624683316261827,0.9104174074574499,21.599626998601174,29.355910411145896,25.640418923013463
E69,10.499733944954128,456000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,1.0,false,786.6145524448161,786.6145524448161,0.0,1058.429,737.1328986310922,737.1328986310922,0.0,1057.554,668.1580023500156,668.1580023500156,0.0,874.796,619.7090730992026,769.76,329.69581367833996,344.308,-49.48165381372394,-0.875,-118.45655009480049,-183.63300000000004,0.871408030954591,-0.0,0.1328839067985199,-0.12164660493137311,8.509298028271322,0.9351405551925288,22.465453518220514,31.957361598901173,27.864942678189184
E70,9.107139705882352,456000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,1.0,false,837.5261708078241,837.5261708078241,0.0,1152.474,774.1746057183433,774.1746057183433,0.0,1107.001,692.5292168750891,692.5292168750891,0.0,891.828,637.9957664406203,779.518,327.85329661638,352.421,-63.3515650894808,-45.472999999999956,-144.99695393273498,-260.64599999999996,1.1375625148921193,-0.0,0.14028288014124213,-0.1707904828042393,7.6814780221851,0.9539496101122915,23.629731522692456,34.978461669870164,29.073741083133108
E71,7.126846153846151,456000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,1.0,false,919.2703370539758,919.2703370539758,0.0,1203.298,831.2259231276483,831.2259231276483,0.0,1107.827,728.415543431826,728.415543431826,0.0,865.1495,664.738800378294,753.56,333.3672392368863,356.00399999999996,-88.04441392632748,-95.471,-190.85479362214983,-338.1485,1.6853955657494848,-0.0,0.14378031558109616,-0.27881018646011885,6.63248967918098,0.9769581040441975,25.163124422248963,38.95418467011558,30.61098292904379
E72,18.707575757575754,304000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,1.0,false,508.80999972366277,508.80999972366277,0.0,737.656,495.69035846153236,495.69035846153236,0.0,784.5055,471.1716496326279,471.1716496326279,0.0,709.0819999999999,452.32831242552396,652.9549999999999,303.93540352588906,309.928,-13.119641262130415,46.849500000000035,-37.63835009103485,-28.57400000000007,0.11536887490058724,-0.0,0.02373589894444486,-0.013060909386681188,14.562531393467312,0.8259940795330728,13.276601578901616,15.115646979525762,13.032564766264347
E73,13.170870967741934,304000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,1.0,false,577.2591040418629,577.2591040418629,0.0,837.694,552.8093164764499,552.8093164764499,0.0,881.0165,516.3103165458022,516.3103165458022,0.0,769.5799999999999,490.7082219732066,694.626,313.1892288278431,325.12,-24.449787565412976,43.32249999999999,-60.94878749606073,-68.11400000000003,0.20004457588802282,-0.0,0.032357345347842785,-0.02555116826210711,10.915278769780581,0.883539035823351,14.64932882371424,18.850649797447453,16.814648497967113
E74,9.023245901639344,304000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,1.0,false,665.350986405181,665.350986405181,0.0,948.538,619.6813316586487,619.6813316586487,0.0,949.0,563.4845239493256,563.4845239493256,0.0,785.9005,528.0840870915683,697.672,316.0647532788095,333.964,-45.669654746532274,0.4619999999999891,-101.8664624558553,-162.63750000000005,0.3802104751052156,-0.0,0.03985879712956782,-0.057595841268669186,8.234564753341134,0.9406650359363369,16.88749337869489,23.832571366462304,19.819761158912684
E75,6.944410852713178,304000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,1.0,false,729.5226747558205,729.5226747558205,0.0,1008.725,664.4277223850719,664.4277223850719,0.0,966.9335,592.3155037278583,592.3155037278583,0.0,773.0355,549.9542425279885,681.066,319.4203627161143,336.517,-65.09495237074862,-41.79150000000004,-137.2071710279622,-235.68950000000007,0.5738853457292851,-0.0,0.052975507343582987,-0.09683178778386967,6.997004805554258,0.9690855772739974,18.37057809358412,27.054264150382007,21.25656453508892
E76,4.526673611111114,304000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,1.0,false,824.7068196739085,824.7068196739085,0.0,1067.693,723.8977100608768,723.8977100608768,0.0,958.9124999999999,626.7866605450337,626.7866605450337,0.0,738.733,575.3821594616794,647.019,323.9778738333037,338.123,-100.80910961303175,-108.78050000000007,-197.92015912887484,-328.96000000000004,1.0489548590688202,0.034405109058210086,0.07278499589230504,-0.19214144134120578,5.688241036081322,0.9930524356387295,19.899400411553277,31.38765181019572,22.3911903673004
E77,13.84748387096774,256000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,1.0,false,524.3214939492467,524.3214939492467,0.0,565.544,504.73302383026055,504.73302383026055,0.0,612.8895,474.66519553207735,474.66519553207735,0.0,559.0129999999999,453.428469070098,525.356,310.2199892069987,308.37,-19.58847011898615,47.345500000000015,-49.65629841716935,-6.531000000000063,0.12406825716218,-0.0,0.01941854649210147,-0.015320842700815634,11.73154300362243,0.8678695863132577,13.066718722939928,15.278152487608157,13.179401071765454
E78,10.009137614678897,256000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,1.0,false,589.0972030421407,589.0972030421407,0.0,631.689,555.1895638048668,555.1895638048668,0.0,674.727,512.1475116131176,512.1475116131176,0.0,597.8979999999999,484.73114262747725,554.4549999999999,311.8442056628278,312.95899999999995,-33.907639237273884,43.03800000000001,-76.94969142902312,-33.791000000000054,0.2097461528153552,-0.0,0.024002823049206225,-0.030422415125280086,9.08077978923237,0.9209103715359983,14.191064350613374,19.119528814003267,16.13234674424325
E79,8.033490566037736,256000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,1.0,false,632.9454037839146,632.9454037839146,0.0,676.213,586.7850513006608,586.7850513006608,0.0,705.0854999999999,533.119151781423,533.119151781423,0.0,609.0455,500.7462816926933,560.0329999999999,314.56496702342906,314.96,-46.160352483253746,28.872499999999945,-99.82625200249151,-67.16750000000002,0.2932789605911956,-0.0,0.030625424499601595,-0.046433532014737294,7.854004792763193,0.9492296773719296,15.411828779230435,21.358172231692173,17.26669963623016
E80,6.605050847457628,256000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,1.0,false,673.5699808708389,673.5699808708389,0.0,710.3340000000001,614.2050816697134,614.2050816697134,0.0,724.2919999999999,550.4591092038635,550.4591092038635,0.0,614.1274999999999,513.955016852636,561.2539999999999,315.1735202416107,316.11899999999997,-59.36489920112547,13.957999999999856,-123.11087166697541,-96.20650000000012,0.38937078822809856,-0.0,0.03688979664147326,-0.06695212296274056,6.982091341255316,0.9692670452619986,16.270819647325084,23.465960524615713,18.138388903749384
E81,4.527140495867768,256000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,1.0,false,749.4231682570514,749.4231682570514,0.0,760.0609999999999,661.7333311833884,661.7333311833884,0.0,739.203,578.3569877313823,578.3569877313823,0.0,608.3705,534.5101216370731,550.499,320.10461588695745,319.315,-87.68983707366306,-20.857999999999947,-171.0661805256691,-151.69049999999993,0.6892633607286921,0.0315981692990429,0.04932107602786698,-0.12326713740075164,5.781339361337943,0.9918046642725379,17.730778448088678,26.82898746562425,19.09383735284848
