ID,Io_kWm2,q_slpm,mdot_gs,Tg_bar,dp1_mbar,dp2_mbar,dp_pred_mbar,ratio
E67,456.0,15.283090909090909,0.3055642457054323,529.9510123966943,2.7433719008264466,-0.2952148760330579,0.9918891701475983,2.765804873560842
E68,456.0,12.504024793388428,0.2500006658993977,535.7876570247934,2.0040495867768593,-0.27466942148760337,0.8266023452561022,2.424442173770937
E69,456.0,10.499570247933885,0.2099243721132819,533.1552954545455,1.532636363636364,-0.30113223140495865,0.6883701652760865,2.2264712228219032
E70,456.0,9.110834710743802,0.18215852753184328,539.1495123966943,1.30796694214876,-0.2725702479338843,0.6086611423228617,2.148924666288216
E71,456.0,7.131661157024793,0.14258769217794545,527.0454276859504,0.8226859504132231,-0.26414876033057855,0.45860000976916915,1.7939073983607465
E72,304.0,18.320363636363634,0.366290309263604,474.5215847107438,2.489735537190083,-0.2967768595041322,0.985122050059598,2.5273371325303895
E73,304.0,13.17414049586777,0.2633987017012828,495.6096983471074,1.8305289256198345,-0.29642975206611566,0.763903161068978,2.3962840041900852
E74,304.0,9.026578512396695,0.18047394148527154,497.00728099173557,1.0636859504132232,-0.298198347107438,0.5259764309832307,2.0223072513436176
E75,304.0,6.948636363636362,0.13892836480301884,488.75170454545446,0.6401570247933885,-0.30376033057851237,0.39327823258932454,1.6277458850916466
E76,304.0,4.529809917355371,0.09056727849222841,471.59609090909083,0.15878512396694214,-0.30138016528925626,0.24098479405378537,0.6589010090466658
E77,256.0,13.851438016528924,0.2769403280156222,411.0524276859503,0.9779090909090907,-0.2915785123966942,0.5821500513172481,1.6798230777380283
E78,256.0,10.01276859504132,0.20019144696357982,426.15245041322316,0.6457768595041323,-0.27854545454545454,0.4475176632675422,1.4430198235953506
E79,256.0,8.036214876033059,0.16067299157797665,428.2069834710743,0.4069669421487603,-0.3007272727272727,0.3621412843420625,1.1237794743235003
E80,256.0,6.606479338842975,0.13208740875455252,428.797194214876,0.2460495867768595,-0.3044793388429752,0.29841420809975006,0.8245236992690818
E81,256.0,4.5281900826446275,0.090534892139592,424.03791115702484,-0.0219504132231405,-0.2786363636363636,0.2006735041361164,-0.1093837141960285
