quantity,value,sd,ci_lo,ci_hi,n,rho_mfc
Nu_a,0.0003106170778261896,1.2361355440623463e-05,0.0002874070663300669,0.0003356949878073351,4000,1.0
Nu_b,1.442791517263055,0.0041195682824848295,1.434756330926777,1.450669578198675,4000,1.0
Nu_b_grouped,1.4694069361114945,0.00415595364025791,1.4613013926104848,1.4773708040023408,4000,1.0
NTU_corr_b,0.34058460052427736,0.0036222153947194032,0.3334226367513193,0.347421823250152,4000,1.0
eps_star_456,0.6655481696300213,0.002400990270660823,0.66074954450226,0.6701536413972815,4000,1.0
eps_star_304,0.655095392962274,0.0027374464847206227,0.6497836679858788,0.6605467468046162,4000,1.0
eps_star_256,0.6416693307879625,0.0031680151442172993,0.6354461365537375,0.6478981246408326,4000,1.0
Lam107_slope,0.0008509971259804629,3.498757862889313e-05,0.0007834722397863125,0.0009208302251095951,4000,1.0
Lam107_int,0.03656489172716258,0.003131401587746251,0.030335354569382172,0.04271958226991904,4000,1.0
C_cool,303.06035595054146,40.738447461814125,238.14566880307558,400.9965589937922,4000,1.0
K_cool,0.09800000106483622,0.024921112918288274,0.05850010088958458,0.15621002214981738,4000,1.0
C_deep,284.77555010154117,35.767945819635024,226.4058255250562,365.0987437762996,4000,1.0
K_deep,0.11693092040757054,0.02796956892196425,0.07059922838958255,0.1810054827908945,4000,1.0
C_all,271.9612320513587,30.182153509426087,221.34577484786152,338.1014895201673,4000,1.0
K_all,0.10074332020550947,0.02230761042062725,0.06325863749406195,0.1502122332032837,4000,1.0
C_match,279.6763822705882,36.89547691045898,221.2733488955096,367.41504390293665,4000,1.0
K_match,0.08214335978719621,0.022619595639996114,0.04635205705989641,0.13456361137372735,4000,1.0
Nu_a,0.0003102046374691132,1.0696936454310156e-05,0.00028960641210772596,0.00033165966137193025,4000,0.0
Nu_b,1.4429327620082526,0.0034283532897532733,1.4361764552054606,1.4495943954110135,4000,0.0
Nu_b_grouped,1.469545166381862,0.003454470217792228,1.4627333350671403,1.4762370829779803,4000,0.0
NTU_corr_b,0.34068929192755887,0.0031948670589112375,0.3344273321787127,0.3469337792212765,4000,0.0
eps_star_456,0.6655481696300213,0.002400990270660823,0.66074954450226,0.6701536413972815,4000,0.0
eps_star_304,0.655095392962274,0.0027374464847206227,0.6497836679858788,0.6605467468046162,4000,0.0
eps_star_256,0.6416693307879625,0.0031680151442172993,0.6354461365537375,0.6478981246408326,4000,0.0
Lam107_slope,0.0008497923928036581,3.045905120626444e-05,0.0007886280857386342,0.0009085444488412594,4000,0.0
Lam107_int,0.03655609866935561,0.0031286930132971846,0.030311139289868606,0.042779525734164214,4000,0.0
C_cool,303.3566866958791,40.35156727227942,238.6846908728828,399.4569835072117,4000,0.0
K_cool,0.09807385548982735,0.02488533552379403,0.0581824164025703,0.1561016883901128,4000,0.0
C_deep,285.07478545410635,35.375748745394574,226.57269563999148,366.0773419686207,4000,0.0
K_deep,0.11704094468992583,0.02795279835768872,0.07088612361580467,0.18077081985774132,4000,0.0
C_all,272.24547424873515,29.744927984096577,221.75900623804083,339.4864426854406,4000,0.0
K_all,0.10083472280301689,0.02229319196577036,0.06297785758876852,0.15127221011829312,4000,0.0
C_match,279.94992274880883,36.548931459844695,221.18395876811462,365.55359968360796,4000,0.0
K_match,0.08220164755342761,0.022596622650110004,0.046112412346724245,0.13467326811664337,4000,0.0
