key,old,new,pct
fixed_profile_test.shared_Nu.3.residuals_K[11],-9.673519297716325,-9.071573515887053,6.22261416247318
fixed_profile_test.shared_Nu.5.residuals_K[11],-9.661150982662207,-9.062368831835443,6.1978345220081135
nusselt.grouped.stderr,0.010845465459321215,0.01144310968461499,5.510544729826463
nusselt.stderr_exponent,0.06901265776317364,0.07237564853038449,4.873005729979867
fixed_profile_test.shared_Nu.5.residuals_K[12],14.684953073462225,15.204047882075088,3.534875501583591
fixed_profile_test.shared_Nu.3.residuals_K[12],15.25969857784844,15.779896354311177,3.4089649530684447
nusselt.per_flux.256.prefactor,0.0003571473873975257,0.0003659129888171171,2.4543372649215938
reference_sensitivity[4].Nu_prefactor,0.0017193663226256492,0.0017573181148845115,2.2073127616519788
envelope.Pr[0],0.683414057051293,0.6979541051549729,2.127560584049947
nusselt.per_flux.456.prefactor,0.00020740364042613036,0.00020318626395379857,-2.0334148733680806
envelope.N_rc[0],1.5034036548148713,1.53179270426656,1.888318507193237
reference_sensitivity[1].Nu_max,0.25508589744501325,0.2597980661587779,1.8472870358426547
reference_sensitivity[4].Nu_max,0.24442264746242703,0.24885439247764732,1.8131482746096748
reference_sensitivity[5].Nu_max,0.2317629128551526,0.2358641646023641,1.7695893172410597
reference_sensitivity[4].Nu_min,0.05253904303678341,0.053452559548798254,1.7387383918951018
reference_sensitivity[2].Nu_max,0.24519202061609596,0.2493917048650187,1.7128144049590783
reference_sensitivity[0].Nu_max,0.21261611629763552,0.21622428370862842,1.697033825009731
envelope.Nu[1],0.21261611629763552,0.21622428370862842,1.697033825009731
fixed_profile_test.shared_Nu.3.nodes[2],0.6275189231981657,0.6380284158893622,1.6747690472240437
fixed_profile_test.shared_Nu.5.nodes[4],1.2841445717738706,1.3056424912312146,1.6741042971234517
nusselt.ratio_to_fd[0],14.537938392558132,14.295341610035145,-1.6687151642296898
nusselt.ratio_to_fd_all.H2[0],14.537938392558132,14.295341610035145,-1.6687151642296898
nusselt.ratio_to_fd_all.T[0],13.997057475332578,13.763486454695759,-1.6687151642296876
nusselt.ratio_to_fd_all.H1[0],16.96955086391127,16.686377395343513,-1.6687151642296842
envelope.Pr[1],0.6889449617963359,0.6997778010881711,1.5723809436954097
envelope.N_rc[1],5.66000305182158,5.572157710129528,-1.5520370022376522
reference_sensitivity[3].Nu_max,0.17356549949814942,0.17620757244008628,1.5222339402566736
envelope.Pe_LD[1],5875.70932276397,5964.406076425824,1.5095497205455788
envelope.Gz_L[1],0.7043713557578417,0.7150041915902872,1.5095497205455575
nusselt.x_star_exit[0],1.4197056592741308,1.3985931995389218,-1.487101188707203
envelope.Gz_L[0],0.17498726336097753,0.17756486412047431,1.4730219274185152
envelope.Pe_LD[0],1459.7048648987502,1481.2066376343034,1.4730219274185032
nusselt.x_star_exit[1],5.7147016348105355,5.63174479902465,-1.4516389671258059
reference_sensitivity[1].Nu_prefactor,0.00044941672892713416,0.00045582108549219674,1.425037421359752
controller_correlation_bounds.rho_0.Nu_a.sd,1.0345944280828289e-05,1.0491895839151612e-05,1.4107127813725138
fixed_profile_test.shared_Nu.5.residuals_K[10],-44.82399942779057,-44.1965751489974,1.3997507736986372
controller_correlation_bounds.rho_1.Nu_a.sd,1.1080963151001517e-05,1.123594198972021e-05,1.3986044047505535
monte_carlo[0].sd,1.1080963151001517e-05,1.123594198972021e-05,1.3986044047505535
reference_sensitivity[1].Nu_min,0.03552056208298995,0.03601534157525456,1.3929382398527734
fixed_profile_test.shared_Nu.3.residuals_K[10],-45.515951257217296,-44.88631079975215,1.383340213866899
delivered_power.reconciling_dT3.256[1],-17.648984824271775,-17.41422582519002,1.3301558215342952
nusselt.grouped.prefactors.256,0.00031956796479819065,0.00032378822626074764,1.320614682145038
reference_sensitivity[5].Nu_prefactor,0.0003700288391223458,0.0003748631945835625,1.306480725308629
reference_sensitivity[5].Nu_min,0.031244740979519188,0.03164799605092538,1.2906334274639175
