variant,simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s,shape_loss
fitted_energy_accounting,E67,heating,T8,70.17295187011068,-38.51041796831805,200.0,0.00021106529083339643
fitted_energy_accounting,E67,heating,T12_perim,138.36529870645876,-99.41405278694799,450.0,0.0003068334311891726
fitted_energy_accounting,E67,heating,T11_perim,94.44789016950402,-75.0853650535148,500.0,0.00020680752544162138
fitted_energy_accounting,E67,heating,T9_core,144.17552805585376,-120.70394700598717,400.0,0.00017007847920083642
fitted_energy_accounting,E67,heating,T10_core,74.20726140673023,-73.15363519098958,250.0,0.00010386346780490552
fitted_energy_accounting,E67,heating,T3,51.80448151649273,-59.205917304979494,200.0,2.4902600865543413e-5
fitted_energy_accounting,E67,heating,T2,36.640706439365395,56.299082226178484,-100.0,0.0005455862338672506
fitted_energy_accounting,E68,heating,T8,60.313532446653255,-39.27066674225807,200.0,8.65389964804558e-5
fitted_energy_accounting,E68,heating,T12_perim,126.16117814787597,-93.8322914387353,550.0,0.00017189239182085223
fitted_energy_accounting,E68,heating,T11_perim,68.01144461456309,-51.70773674045074,600.0,9.875774074908501e-5
fitted_energy_accounting,E68,heating,T9_core,133.3746085626294,-112.03189128905649,500.0,7.6522264678809e-5
fitted_energy_accounting,E68,heating,T10_core,59.53454285998358,-56.590233353552094,400.0,5.032915680223833e-5
fitted_energy_accounting,E68,heating,T3,30.888644853308985,-30.03100632001815,450.0,1.0911824746342438e-5
fitted_energy_accounting,E68,heating,T2,47.00632812662048,69.45648240903921,-100.0,0.0002547978117375965
fitted_energy_accounting,E69,heating,T8,38.19150676685031,-19.82797439368096,150.0,2.440713335901665e-5
fitted_energy_accounting,E69,heating,T12_perim,106.42786353638165,-73.45893750198002,450.0,0.00019836194281349886
fitted_energy_accounting,E69,heating,T11_perim,48.49854650196671,-24.536504094492557,550.0,0.000130279882616375
fitted_energy_accounting,E69,heating,T9_core,114.1542919688229,-92.8816327756333,450.0,9.770570887321685e-5
fitted_energy_accounting,E69,heating,T10_core,47.11485811005538,-36.47240903863246,450.0,7.636484001701393e-5
fitted_energy_accounting,E69,heating,T3,17.535506019289645,-6.420585976293182,500.0,3.3790981653666076e-5
fitted_energy_accounting,E69,heating,T2,51.59233080397698,75.2253313136182,-300.0,0.0008850877264304337
fitted_energy_accounting,E70,heating,T8,82.9731595645873,-61.53520564611745,250.0,2.6059746917009906e-5
fitted_energy_accounting,E70,heating,T12_perim,121.9306126792844,-90.00821768528067,650.0,0.0001357587287334057
fitted_energy_accounting,E70,heating,T11_perim,39.892748422983814,-20.663420268739173,700.0,5.5741581718563734e-5
fitted_energy_accounting,E70,heating,T9_core,134.13668897246018,-110.98066270909499,700.0,7.342640555912719e-5
fitted_energy_accounting,E70,heating,T10_core,45.01379645598183,-37.797046853516235,550.0,3.2612249450962835e-5
fitted_energy_accounting,E70,heating,T3,12.75349314998375,-0.1636903082724075,550.0,1.180681754377295e-5
fitted_energy_accounting,E70,heating,T2,53.180290728710695,76.52298915462859,-100.0,0.00012336809989672975
fitted_energy_accounting,E71,heating,T8,55.31607538768403,-33.243428255962954,200.0,0.00025481385497402707
fitted_energy_accounting,E71,heating,T12_perim,77.97791260960257,-47.236798999447274,600.0,0.0001531671710672413
fitted_energy_accounting,E71,heating,T11_perim,19.80918190456589,28.68494224762503,600.0,6.139622107391645e-5
fitted_energy_accounting,E71,heating,T9_core,96.99444943092158,-74.82230734663176,750.0,6.786783629797512e-5
fitted_energy_accounting,E71,heating,T10_core,12.564812747148208,2.998035115468724,550.0,3.07394026677286e-5
fitted_energy_accounting,E71,heating,T3,32.23496724605619,40.439016811066494,500.0,1.4937155042349205e-5
fitted_energy_accounting,E71,heating,T2,57.06512390515265,81.82001744374031,-50.0,0.00011421304307760065
fitted_energy_accounting,E72,heating,T8,73.23631474497682,-78.09151551203968,0.0,7.74532136131752e-5
fitted_energy_accounting,E72,heating,T12_perim,143.54646313372928,-133.51453977334313,350.0,0.0003890164974466935
fitted_energy_accounting,E72,heating,T11_perim,124.37114312327958,-122.19779902217613,300.0,0.00034066514455691546
fitted_energy_accounting,E72,heating,T9_core,136.85076008102615,-138.8704688937554,250.0,0.00018793205251614766
fitted_energy_accounting,E72,heating,T10_core,93.75772338847648,-104.89197476134916,50.0,0.000167432783815985
fitted_energy_accounting,E72,heating,T3,87.41352255294062,-103.85804822848013,50.0,9.63087198943607e-5
fitted_energy_accounting,E72,heating,T2,21.132281049155107,33.19862310283207,-150.0,0.0011691453419836217
fitted_energy_accounting,E73,heating,T8,86.60686628354892,-81.43174410960523,100.0,5.1085796921354776e-5
fitted_energy_accounting,E73,heating,T12_perim,169.2981557662128,-155.51500001219347,500.0,0.00027873072366689045
fitted_energy_accounting,E73,heating,T11_perim,131.3897544755175,-131.6821633768917,500.0,0.00018116008334588727
fitted_energy_accounting,E73,heating,T9_core,163.53359962769335,-159.22734883604062,400.0,0.00014885506219894937
fitted_energy_accounting,E73,heating,T10_core,111.52341285630818,-121.43356367923047,300.0,0.00010382633888840297
fitted_energy_accounting,E73,heating,T3,90.48176290539806,-104.21679015995039,300.0,5.1853620362138226e-5
fitted_energy_accounting,E73,heating,T2,28.848391190386167,43.07132886498033,-200.0,0.0005753846191508666
fitted_energy_accounting,E74,heating,T8,88.31855189482205,-74.9079080292297,200.0,3.122032751315565e-5
fitted_energy_accounting,E74,heating,T12_perim,171.8558102070022,-152.88356508464346,700.0,0.00015821684007035893
fitted_energy_accounting,E74,heating,T11_perim,110.10983147712,-108.16311679969726,700.0,7.78805398164808e-5
