simulation_id,flow_lpm,irradiance,power_scale,nominal_incident_flux_W_m2,scaled_incident_flux_W_m2,nominal_receiver_absorbed_W,scaled_receiver_absorbed_W,participating_absorbed_W,core_absorbed_W,perim_absorbed_W,spill_capture,flux_receiver_fraction,flux_spillover_fraction,f_perim_source,beta_perim_1_m,core_front_cell_source_fraction,perim_front_cell_source_fraction,core_downstream_source_fraction,perim_downstream_source_fraction,T8_model,T8_experiment,T12_perim_model,T12_perim_experiment,T11_perim_model,T11_perim_experiment,T9_core_model,T9_core_experiment,T10_core_model,T10_core_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T11_minus_T8_model,T11_minus_T8_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,rear_tube_gas_heat,active_flow_fraction,G_core_perim_W_m_K,C_perim_eff_J_K,C_participating_eff_J_K,f_core_tube,flange_scale,G_rear_core_heat_W_m_K,G_rear_core_cool_W_m_K,G_rear_perim_W_m_K,rear_sink_shape,k_core_axial_scale,f_T3_wall
E67,15.2805125,456000.0,2.002466304587915,456000.0,913124.6348920892,164.61599999999999,329.6379931960442,329.6379931960442,168.50991811449245,161.1280750815517,0.5251444984572524,0.06920265203911855,0.9307973479608814,0.48880310646025776,3.629206240369939,1.0,0.05026320482721812,0.0,0.9497367951727819,898.6348989195294,931.6279999999999,929.1123634671145,991.103,860.5286762020907,878.055,892.9997624999465,966.6659999999999,824.3427267241915,824.995,670.2030245802159,763.414,324.81477728955764,326.43699999999995,30.4774645475851,59.47500000000002,-38.106222717438754,-53.57299999999998,36.112600967167964,24.437000000000012,36.18594947789916,53.059999999999945,11.141635655565592,0.9741208251848902,126.34882977340487,-20.584668848809763,1.0,17.85826648407777,222.13066742029187,294.6575999861127,0.9993097145331002,0.10138173496160813,3.330176474103027,8.866134163705592,0.0,0.9997676118527177,0.03608858862322474,0.17571349284261825
E68,12.499871559633025,456000.0,2.002466304587915,456000.0,913124.6348920892,164.61599999999999,329.6379931960442,329.6379931960442,168.50991811449245,161.1280750815517,0.5251444984572524,0.06920265203911855,0.9307973479608814,0.48880310646025776,3.629206240369939,1.0,0.05026320482721812,0.0,0.9497367951727819,984.5409557097194,1012.649,999.5032836041054,1047.717,902.5325353344113,898.751,967.9198355481095,1020.928,864.3980963427559,850.0989999999999,694.6100826190767,773.207,335.6253441560897,338.52,14.962327894386021,35.0680000000001,-82.0084203753081,-113.89800000000002,31.58344805599586,26.7890000000001,38.134438991655315,48.652000000000044,9.800949998627804,0.9827265457840366,108.56624368135498,-21.212828639203565,1.0,17.85826648407777,222.13066742029187,294.6575999861127,0.9993097145331002,0.10138173496160813,3.330176474103027,8.866134163705592,0.0,0.9997676118527177,0.03608858862322474,0.17571349284261825
E69,10.499733944954128,456000.0,2.002466304587915,456000.0,913124.6348920892,164.61599999999999,329.6379931960442,329.6379931960442,168.50991811449245,161.1280750815517,0.5251444984572524,0.06920265203911855,0.9307973479608814,0.48880310646025776,3.629206240369939,1.0,0.05026320482721812,0.0,0.9497367951727819,1057.0425688075293,1058.429,1053.961203957496,1070.73,930.4175777575458,896.755,1025.3418279882903,1044.378,889.796957873598,852.837,701.2684371896278,769.76,344.9757259153341,344.308,-3.0813648500331965,12.30099999999993,-126.62499104998346,-161.6740000000001,28.61937596920575,26.35200000000009,40.620619883947825,43.918000000000006,8.80572511805962,0.9880170680796644,93.2168913862136,-21.02704757638594,1.0,17.85826648407777,222.13066742029187,294.6575999861127,0.9993097145331002,0.10138173496160813,3.330176474103027,8.866134163705592,0.0,0.9997676118527177,0.03608858862322474,0.17571349284261825
E70,9.107139705882352,456000.0,2.002466304587915,456000.0,913124.6348920892,164.61599999999999,329.6379931960442,329.6379931960442,168.50991811449245,161.1280750815517,0.5251444984572524,0.06920265203911855,0.9307973479608814,0.48880310646025776,3.629206240369939,1.0,0.05026320482721812,0.0,0.9497367951727819,1114.507271625439,1152.474,1093.3865278244953,1120.277,947.4898013615073,912.173,1066.3957166380576,1093.725,904.3726792051781,871.483,704.4287711337249,779.518,344.97426943619007,352.421,-21.12074380094373,-32.19699999999989,-167.01747026393173,-240.30099999999993,26.990811186437668,26.552000000000135,43.117122156329174,40.690000000000055,8.070549453372898,0.991274873998139,80.91273891445584,-20.585122627828213,1.0,17.85826648407777,222.13066742029187,294.6575999861127,0.9993097145331002,0.10138173496160813,3.330176474103027,8.866134163705592,0.0,0.9997676118527177,0.03608858862322474,0.17571349284261825
E71,7.126846153846151,456000.0,2.002466304587915,456000.0,913124.6348920892,164.61599999999999,329.6379931960442,329.6379931960442,168.50991811449245,161.1280750815517,0.5251444984572524,0.06920265203911855,0.9307973479608814,0.48880310646025776,3.629206240369939,1.0,0.05026320482721812,0.0,0.9497367951727819,1203.2037559115247,1203.298,1148.7521067906744,1120.348,966.1149717932733,882.823,1121.9552527031776,1095.306,918.1887792538507,847.476,696.8324449250288,753.56,349.9249890576999,356.00399999999996,-54.451649120850334,-82.95000000000005,-237.0887841182514,-320.475,26.79685408749674,25.041999999999916,47.92619253942257,35.34699999999998,6.991659348267363,0.9950472328329735,62.34811747763213,-19.150035779757335,1.0,17.85826648407777,222.13066742029187,294.6575999861127,0.9993097145331002,0.10138173496160813,3.330176474103027,8.866134163705592,0.0,0.9997676118527177,0.03608858862322474,0.17571349284261825
E72,18.707575757575754,304000.0,1.996605361016035,304000.0,606968.0297488746,109.744,219.11545873934372,219.11545873934372,112.01114183408806,107.10431690525564,0.5251444984572524,0.06920265203911855,0.9307973479608814,0.48880310646025776,3.629206240369939,1.0,0.05026320482721812,0.0,0.9497367951727819,658.263359453989,737.656,684.0525528883807,797.899,649.0738292188836,733.977,656.6463391344089,771.112,625.8093378781309,684.1869999999999,530.6154010607576,652.9549999999999,310.9036522405258,309.928,25.789193434391677,60.24300000000005,-9.189530235105394,-3.6789999999999736,27.40621375397177,26.787000000000035,23.26449134075267,49.79000000000008,13.375626308737681,0.9563492698834949,94.47228823739476,-11.852520213019792,1.0,17.85826648407777,222.13066742029187,294.6575999861127,0.9993097145331002,0.10138173496160813,3.330176474103027,8.866134163705592,0.0,0.9997676118527177,0.03608858862322474,0.17571349284261825
E73,13.170870967741934,304000.0,1.996605361016035,304000.0,606968.0297488746,109.744,219.11545873934372,219.11545873934372,112.01114183408806,107.10431690525564,0.5251444984572524,0.06920265203911855,0.9307973479608814,0.48880310646025776,3.629206240369939,1.0,0.05026320482721812,0.0,0.9497367951727819,760.7107972471293,837.694,773.1114478524188,894.482,702.3986220521767,791.76,750.3995262713819,867.5509999999999,678.8662936155451,747.4,557.8068682177563,694.626,323.0742106720335,325.12,12.400650605289457,56.78800000000001,-58.3121751949526,-45.93399999999997,22.711921581036904,26.93100000000004,23.532328436631587,44.360000000000014,10.859097557737703,0.9759775470632489,74.82817129941975,-12.69538907767981,1.0,17.85826648407777,222.13066742029187,294.6575999861127,0.9993097145331002,0.10138173496160813,3.330176474103027,8.866134163705592,0.0,0.9997676118527177,0.03608858862322474,0.17571349284261825
E74,9.023245901639344,304000.0,1.996605361016035,304000.0,606968.0297488746,109.744,219.11545873934372,219.11545873934372,112.01114183408806,107.10431690525564,0.5251444984572524,0.06920265203911855,0.9307973479608814,0.48880310646025776,3.629206240369939,1.0,0.05026320482721812,0.0,0.9497367951727819,891.3491532031564,948.538,868.1361211274128,962.509,743.0050261971819,804.0,849.937307480111,935.491,716.9785219693601,767.8009999999999,564.1066738755595,697.672,328.066680016786,333.964,-23.213032075743627,13.971000000000004,-148.34412700597454,-144.538,18.19881364730179,27.01800000000003,26.02650422782176,36.19900000000007,8.606176125252263,0.9888896737681689,52.16264141826564,-12.2681927803854,1.0,17.85826648407777,222.13066742029187,294.6575999861127,0.9993097145331002,0.10138173496160813,3.330176474103027,8.866134163705592,0.0,0.9997676118527177,0.03608858862322474,0.17571349284261825
E75,6.944410852713178,304000.0,1.996605361016035,304000.0,606968.0297488746,109.744,219.11545873934372,219.11545873934372,112.01114183408806,107.10431690525564,0.5251444984572524,0.06920265203911855,0.9307973479608814,0.48880310646025776,3.629206240369939,1.0,0.05026320482721812,0.0,0.9497367951727819,979.2640640277386,1008.725,921.5899071310928,979.689,756.7130335872553,788.678,904.0941054523988,954.178,727.670880501634,757.393,556.1001427928721,681.066,331.3644203004538,336.517,-57.674156896645854,-29.036000000000058,-222.55103044048337,-220.04700000000003,17.495801678693965,25.510999999999967,29.042153085621294,31.284999999999968,7.375404476322814,0.9937881714509094,38.89403342126079,-11.283539637401086,1.0,17.85826648407777,222.13066742029187,294.6575999861127,0.9993097145331002,0.10138173496160813,3.330176474103027,8.866134163705592,0.0,0.9997676118527177,0.03608858862322474,0.17571349284261825
E76,4.526673611111114,304000.0,1.996605361016035,304000.0,606968.0297488746,109.744,219.11545873934372,219.11545873934372,112.01114183408806,107.10431690525564,0.5251444984572524,0.06920265203911855,0.9307973479608814,0.48880310646025776,3.629206240369939,1.0,0.05026320482721812,0.0,0.9497367951727819,1096.8206595229447,1067.693,979.519306407754,970.472,758.2938463878013,751.1579999999999,958.5774236665698,947.353,723.726608747567,726.308,535.4359270657056,647.019,335.34645054992933,338.123,-117.30135311519064,-97.221,-338.52681313514336,-316.5350000000001,20.94188274118426,23.119000000000028,34.56723764023434,24.84999999999991,5.7994267951465615,0.9978170830924481,23.54809175401752,-9.237329812406673,1.0,17.85826648407777,222.13066742029187,294.6575999861127,0.9993097145331002,0.10138173496160813,3.330176474103027,8.866134163705592,0.0,0.9997676118527177,0.03608858862322474,0.17571349284261825
E77,13.84748387096774,256000.0,0.9519931605398161,256000.0,243710.24909819293,92.416,87.97939992444765,87.97939992444765,44.97479593686827,43.00460398757938,0.5251444984572524,0.06920265203911855,0.9307973479608814,0.48880310646025776,3.629206240369939,1.0,0.05026320482721812,0.0,0.9497367951727819,484.65289631480755,565.544,489.2362601682397,623.3499999999999,459.3913180085553,574.299,479.79316002632856,602.429,450.4122204385459,543.727,398.64255269524335,525.356,308.5681762554889,308.37,4.583363853432161,57.805999999999926,-25.26157830625226,8.754999999999995,9.443100141911145,20.920999999999935,8.979097570009401,30.572000000000003,12.808132537673238,0.960191804092651,30.663095567566064,-4.299506550872807,1.0,17.85826648407777,222.13066742029187,294.6575999861127,0.9993097145331002,0.10138173496160813,3.330176474103027,8.866134163705592,0.0,0.9997676118527177,0.03608858862322474,0.17571349284261825
E78,10.009137614678897,256000.0,0.9519931605398161,256000.0,243710.24909819293,92.416,87.97939992444765,87.97939992444765,44.97479593686827,43.00460398757938,0.5251444984572524,0.06920265203911855,0.9307973479608814,0.48880310646025776,3.629206240369939,1.0,0.05026320482721812,0.0,0.9497367951727819,539.1924418598476,631.689,529.7647763312314,685.819,476.6147675678647,612.092,522.2215513755524,663.635,467.2234705443879,583.704,404.38443520770045,554.4549999999999,308.76894595348523,312.95899999999995,-9.427665528616217,54.129999999999995,-62.57767429198287,-19.59699999999998,7.543224955678966,22.18399999999997,9.391297023476795,28.388000000000034,10.539494669274907,0.9774908935695769,22.960904051020442,-4.306286824135092,1.0,17.85826648407777,222.13066742029187,294.6575999861127,0.9993097145331002,0.10138173496160813,3.330176474103027,8.866134163705592,0.0,0.9997676118527177,0.03608858862322474,0.17571349284261825
E79,8.033490566037736,256000.0,0.9519931605398161,256000.0,243710.24909819293,92.416,87.97939992444765,87.97939992444765,44.97479593686827,43.00460398757938,0.5251444984572524,0.06920265203911855,0.9307973479608814,0.48880310646025776,3.629206240369939,1.0,0.05026320482721812,0.0,0.9497367951727819,580.0891131507999,676.213,555.5715567268535,716.108,483.6681117739879,622.325,548.9033130459519,694.063,473.6137155320329,595.766,402.43756108367796,560.0329999999999,310.7822708501928,314.96,-24.517556423946417,39.89499999999998,-96.421001376812,-53.88799999999992,6.668243680901583,22.04499999999996,10.054396241954976,26.559000000000083,9.261381527361221,0.9852202943519527,18.30621280364027,-4.104503952783357,1.0,17.85826648407777,222.13066742029187,294.6575999861127,0.9993097145331002,0.10138173496160813,3.330176474103027,8.866134163705592,0.0,0.9997676118527177,0.03608858862322474,0.17571349284261825
E80,6.605050847457628,256000.0,0.9519931605398161,256000.0,243710.24909819293,92.416,87.97939992444765,87.97939992444765,44.97479593686827,43.00460398757938,0.5251444984572524,0.06920265203911855,0.9307973479608814,0.48880310646025776,3.629206240369939,1.0,0.05026320482721812,0.0,0.9497367951727819,619.070962268921,710.3340000000001,576.4219835839381,735.351,486.7357320362986,626.4849999999999,570.1781474088457,713.233,475.8664725044892,601.77,399.4203105730007,561.2539999999999,310.6004476184494,316.11899999999997,-42.64897868498292,25.01699999999994,-132.3352302326224,-83.84900000000016,6.243836175092383,22.118000000000052,10.869259531809405,24.714999999999918,8.261295629007929,0.9901102547149881,14.5783893087053,-3.847047371690094,1.0,17.85826648407777,222.13066742029187,294.6575999861127,0.9993097145331002,0.10138173496160813,3.330176474103027,8.866134163705592,0.0,0.9997676118527177,0.03608858862322474,0.17571349284261825
E81,4.527140495867768,256000.0,0.9519931605398161,256000.0,243710.24909819293,92.416,87.97939992444765,87.97939992444765,44.97479593686827,43.00460398757938,0.5251444984572524,0.06920265203911855,0.9307973479608814,0.48880310646025776,3.629206240369939,1.0,0.05026320482721812,0.0,0.9497367951727819,695.4218097163183,760.0609999999999,609.5776500193742,749.902,487.3226504162727,618.9749999999999,602.624550030768,728.5039999999999,474.4766133307071,597.766,391.8874539109567,550.499,314.2460623594973,319.315,-85.84415969694408,-10.158999999999878,-208.09915930004559,-141.086,6.9530999886062546,21.39800000000014,12.846037085565627,21.208999999999946,6.660438474518798,0.9957730478204105,9.06278595900755,-3.2755260636083143,1.0,17.85826648407777,222.13066742029187,294.6575999861127,0.9993097145331002,0.10138173496160813,3.330176474103027,8.866134163705592,0.0,0.9997676118527177,0.03608858862322474,0.17571349284261825
