variant,simulation_id,phase,z_mm,Tsolid_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,UA_over_mcp,effectiveness,Qgas_W
baseline_v11_nu_front_source,E80,heating,2.74,687.9408577123087,296.5685,687.9408525235951,27.99728333477429,744.6306523005427,18.13868417734911,0.9999999867422583,52.82713795174282
baseline_v11_nu_front_source,E80,heating,8.220000000000002,679.9964916798789,687.9408525235951,679.9965254587155,15.445878023733009,528.0955949842117,12.368138436405157,0.9999957480737245,-1.1153139434883195
baseline_v11_nu_front_source,E80,heating,13.700000000000001,672.1541192955887,679.9965254587155,672.15455854879,12.31072293186531,417.2921406754471,9.789980238615858,0.9999439899959042,-1.099044315552678
baseline_v11_nu_front_source,E80,heating,19.180000000000003,664.4086314319321,672.15455854879,664.4107490024255,10.388848325722446,349.12367691363403,8.204653013044767,0.9997266214280801,-1.0834417231053732
baseline_v11_nu_front_source,E80,heating,24.66,656.7546371401045,664.4107490024255,656.760999924474,9.04364944407306,301.30576105947125,7.092793468590938,0.9991689274550893,-1.0684866993291608
baseline_v11_nu_front_source,E80,heating,30.14,649.1865096079346,656.760999924474,649.2009653273035,8.039634562142435,265.5500074661647,6.2614512028398375,0.9980915257971362,-1.0542094609581536
baseline_v11_nu_front_source,E80,heating,35.620000000000005,641.6983955220211,649.2009653273035,641.7256948617213,7.26192546114528,237.79365059240098,5.616138366448279,0.9963613347947822,-1.040689504404084
baseline_v11_nu_front_source,E80,heating,41.1,634.2842008996813,641.7256948617213,634.3294435436698,6.644988548651418,215.71020644985123,5.102786815880105,0.9939202202918954,-1.0280322483464719
baseline_v11_nu_front_source,E80,heating,46.580000000000005,626.9375647420312,634.3294435436698,627.0056603964613,6.147495005389972,197.82862574139318,4.687223817785621,0.9907877744944987,-1.016344000206169
baseline_v11_nu_front_source,E80,heating,52.06,619.6518303549951,627.0056603964613,619.7470934680198,5.741524296434216,183.15369499720697,4.346333876479829,0.9870457826074954,-1.005715849258384
baseline_v11_nu_front_source,E80,heating,57.54,612.4200211472581,619.7470934680198,612.5459386210691,5.407260787167313,170.97887353286842,4.06370458194708,0.9828147630733557,-0.9962177636190833
baseline_v11_nu_front_source,E80,heating,63.02,605.234823981169,612.5459386210691,605.3939811375134,5.130118695170285,160.78443247908365,3.8272589038870217,0.9782307945937933,-0.987899778067083
baseline_v11_nu_front_source,E80,heating,68.50000000000001,598.0885802006433,605.3939811375134,598.2827053160918,4.899060856434968,152.1776558321605,3.6278663317639994,0.9734271784497448,-0.9807965856447797
baseline_v11_nu_front_source,E80,heating,73.98000000000002,590.9732828380932,598.2827053160918,591.2033661889707,4.705554820427176,144.85557023433586,3.4584779068515195,0.9685223625300003,-0.9749328868381846
baseline_v11_nu_front_source,E80,heating,79.46000000000002,583.8805780075498,591.2033661889707,584.1470277296578,4.542892443348482,138.58056898466458,3.3135608677331296,0.9636136242771558,-0.9703280812003814
baseline_v11_nu_front_source,E80,heating,84.94000000000001,576.8017686820228,584.1470277296578,577.1045758286208,4.40572837570942,133.16382917972513,3.1887142335591636,0.958775157603809,-0.9669997749124155
baseline_v11_nu_front_source,E80,heating,90.42000000000002,569.7278195434293,577.1045758286208,570.0667146201849,4.289756495182287,128.4536581007147,3.080398741844535,0.9540590655765637,-0.9649660769325141
baseline_v11_nu_front_source,E80,heating,95.90000000000002,562.6493621386822,570.0667146201849,563.0239534405714,4.191476687056512,124.32707954619276,2.985741894056749,0.9494979775029754,-0.9642468766662903
baseline_v11_nu_front_source,E80,heating,101.38000000000001,555.5567000505785,563.0239534405714,555.9665899343939,4.108022783058858,120.6836206308367,2.9023939775393224,0.9451083467497241,-0.9648643559838653
baseline_v11_nu_front_source,E80,heating,106.86000000000001,548.4398141541121,555.9665899343939,548.8846931705176,4.037033094147845,117.44063560920621,2.828419673911849,0.9408938130492769,-0.9668429705540871
baseline_v11_nu_front_source,E80,heating,112.34,541.2883682781616,548.8846931705176,541.7680892957316,3.97655134809989,114.52972957166452,2.7622151209869226,0.9368482754005526,-0.9702090883325535
baseline_v11_nu_front_source,E80,heating,117.82000000000002,534.0917157483693,541.7680892957316,534.606351284472,3.924949800850584,111.89398579722973,2.7024435670288987,0.932958507955945,-0.9749904214657443
baseline_v11_nu_front_source,E80,heating,123.30000000000003,526.8389073759708,534.606351284472,527.3887936951655,3.880868823588497,109.48579104428019,2.647984855445183,0.9292062709853834,-0.9812153424792774
baseline_v11_nu_front_source,E80,heating,128.78,519.5187015017066,527.3887936951655,520.1044729501681,3.8431689330901793,107.26511276931998,2.5978953620773013,0.9255699381834019,-0.9889121401871894
baseline_v11_nu_front_source,E80,heating,134.26000000000002,512.1195767140434,520.1044729501681,512.7421934406485,3.810892354816372,105.1981226314854,2.5513759423357785,0.9220256959898533,-0.9981082461538037
