variant,simulation_id,phase,z_mm,Tsolid_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,UA_over_mcp,effectiveness,Qgas_W
baseline_v11_nu_front_source,C80,cooling,2.74,307.4056503603146,295.681,307.40564990583925,38.891388217638145,685.216777389154,17.065815632819017,0.9999999612376194,1.5478633993994975
baseline_v11_nu_front_source,C80,cooling,8.220000000000002,307.96522104552406,307.40564990583925,307.9652108517147,24.434112186575383,438.2975089571622,10.913145333730014,0.9999817828178257,0.07389214401371483
baseline_v11_nu_front_source,C80,cooling,13.700000000000001,308.54637677025136,307.9652108517147,308.54624665595367,18.786668603268545,337.54872470390336,8.404378292134844,0.9997761150585095,0.07673006800154764
baseline_v11_nu_front_source,C80,cooling,19.180000000000003,309.1505644643802,308.54624665595367,309.14993715898225,15.332029325976203,275.9476634755139,6.870422011317243,0.9989619610919986,0.07972406960499437
baseline_v11_nu_front_source,C80,cooling,24.66,309.77931209424196,309.14993715898225,309.7774092838267,12.923905203989356,233.01766406221793,5.801395201408184,0.9969766663579389,0.08286719509173142
baseline_v11_nu_front_source,C80,cooling,30.14,310.43422862918806,309.7774092838267,310.42983766689986,11.136025864109529,201.15110245363562,5.007860608553776,0.993314809743032,0.08616578327687478
baseline_v11_nu_front_source,C80,cooling,35.620000000000005,311.11700841978296,310.42983766689986,311.10854689430266,9.759476596980686,176.62267968859047,4.397053335751797,0.9876864295449553,0.08963968020294126
baseline_v11_nu_front_source,C80,cooling,41.1,311.82944019416203,311.10854689430266,311.8150781008041,8.674641668870668,157.30102869429328,3.9158988072253478,0.9800773660114327,0.0933175353604079
baseline_v11_nu_front_source,C80,cooling,46.580000000000005,312.5734192292589,311.8150781008041,312.55121525954485,7.805897921267056,141.83947678323335,3.5308622331049677,0.9707203409113782,0.09723148023400985
baseline_v11_nu_front_source,C80,cooling,52.06,313.350960993019,312.55121525954485,313.3189837898104,7.102092991048249,129.32754287195252,3.2192705947985565,0.9600157876807583,0.10141347388205918
baseline_v11_nu_front_source,C80,cooling,57.54,314.16421505245734,313.3189837898104,314.1206361390745,6.52692126975065,119.11922731612061,2.965036878163343,0.948441432175232,0.10589358385352939
baseline_v11_nu_front_source,C80,cooling,63.02,315.0154786634841,314.1206361390745,314.95863452666674,6.053686652526034,110.73962721835872,2.7563346717955337,0.936475820865993,0.11069961258468158
baseline_v11_nu_front_source,C80,cooling,68.50000000000001,315.9072099115586,314.95863452666674,315.8356362384241,5.662228124798583,103.83015214927116,2.5842339515282395,0.9245461412193166,0.11585743582535879
baseline_v11_nu_front_source,C80,cooling,73.98000000000002,316.84204052956494,315.8356362384241,316.7544837270167,5.3370036850356755,98.1144028198891,2.4418513950665686,0.9130003684215142,0.12139163922610462
baseline_v11_nu_front_source,C80,cooling,79.46000000000002,317.82278863987733,316.7544837270167,317.7182001547878,5.065837207293283,93.37586925943165,2.323795017321452,0.9020986575738351,0.1273262395011381
baseline_v11_nu_front_source,C80,cooling,84.94000000000001,318.8524717143113,317.7182001547878,318.72999029487414,4.839065968951073,89.44276833597485,2.2257865856820267,0.8920175522265499,0.1336853950083381
baseline_v11_nu_front_source,C80,cooling,90.42000000000002,319.93432005520265,318.72999029487414,319.7932464101853,4.648941600510351,86.17739429290583,2.1443964165726417,0.8828612812998482,0.14049406670773848
baseline_v11_nu_front_source,C80,cooling,95.90000000000002,321.071791093157,319.7932464101853,320.9115586152342,4.4891976042362085,83.46843390078581,2.076851995961529,0.8746758873140206,0.14777861445560486
baseline_v11_nu_front_source,C80,cooling,101.38000000000001,322.2685847827649,320.9115586152342,322.0887291961575,4.354729997720389,81.22529395635559,2.020896710764629,0.867463435185861,0.15556732482476537
baseline_v11_nu_front_source,C80,cooling,106.86000000000001,323.5286603597968,322.0887291961575,323.32879038611213,4.24135697200344,79.37383369522954,1.974683564854908,0.8611947718531707,0.16389087346505296
baseline_v11_nu_front_source,C80,cooling,112.34,324.8562547082532,323.32879038611213,324.63602515740365,4.145635088497655,77.8531021056399,1.9366939184181469,0.8558201670198092,0.17278273063491462
baseline_v11_nu_front_source,C80,cooling,117.82000000000002,326.2559025734048,324.63602515740365,326.01499068666266,4.064716785369871,76.61280925525746,1.9056745047689052,0.8512777051137117,0.1822795226366667
baseline_v11_nu_front_source,C80,cooling,123.30000000000003,327.7324588527157,326.01499068666266,327.47054426575943,3.9962386169161705,75.61134361050985,1.880588042248933,0.8474995972948933,0.19242136475943167
baseline_v11_nu_front_source,C80,cooling,128.78,329.29112320096715,327.47054426575943,329.0078715563278,3.938232719242787,74.8142019724081,1.8605741195485175,0.844416718681294,0.20325218254992772
baseline_v11_nu_front_source,C80,cooling,134.26000000000002,330.93746720276914,329.0078715563278,330.63251721209394,3.8890560707234387,74.19273557426702,1.8449179521685186,0.8419617129435384,0.21482003844676834
