irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-40.70220337599251,-34.14928244526689
456000.0,T12_wall,-30.61142288362572,-16.81065855368442
456000.0,T11_wall,-20.676305463822445,-1.3657133576718719
456000.0,T3,-16.664323956636167,0.5430107656374393
304000.0,T8,-31.75575805939485,-23.65036823444102
304000.0,T12_wall,-23.0133310685054,-13.173548257550575
304000.0,T11_wall,-15.111778107772016,-1.9289615808695002
304000.0,T3,-11.981845023647736,-0.13175631351821884
256000.0,T8,-23.178091701214765,-20.88606484778701
256000.0,T12_wall,-16.253781633023607,-13.987976018518863
256000.0,T11_wall,-10.700796863136963,-5.174190237226035
256000.0,T3,-8.586022877530448,-3.039355302230513
