simulation_id,flow_lpm,dp1_mbar,T3_K,Tsolid_mean_K,Tamb_K,selected
E67,15.281090909090908,0.14436363636363633,296.65890909090905,296.3588363636363,293.3701818181818,true
E68,12.489909090909093,-0.06999999999999999,293.671,293.832,293.4425,true
E69,10.504181818181818,-0.02890909090909091,380.76572727272725,346.6321454545454,297.29840909090905,false
E70,9.096545454545456,-0.22672727272727275,293.7470909090909,293.90950909090907,293.4885909090909,true
E71,7.116999999999999,-0.29881818181818176,303.1212727272727,305.5112909090909,293.75622727272724,false
E72,19.49518181818182,0.2585454545454546,294.1657272727272,294.4024181818182,294.0625909090909,true
E73,13.165909090909093,0.02045454545454546,317.16872727272727,309.7755454545454,295.45154545454545,false
E74,9.016818181818183,-0.2273636363636364,294.09499999999997,294.45812727272727,293.93440909090907,true
E75,6.939636363636362,-0.3019090909090909,294.0941818181818,294.4708,293.9861363636363,true
E76,4.5151818181818175,-0.38345454545454544,294.0574545454545,294.36892727272726,293.91590909090905,true
E77,13.841545454545455,0.067,322.5731818181818,317.6242,295.35263636363635,false
E78,10.007363636363637,-0.16436363636363638,294.3516363636363,294.70483636363633,294.323,true
E79,8.023454545454545,-0.22563636363636366,303.22472727272725,301.6508181818182,295.85040909090907,false
E80,6.601545454545455,-0.30036363636363633,294.5871818181818,294.9209454545454,294.2864545454545,true
E81,4.514909090909091,-0.36645454545454537,303.9435454545454,302.85214545454545,295.2874545454545,false
# intercept_mbar,-0.6142260302026296
# slope_mbar_per_lpm,0.04555449975489292
# r2,0.9814399765099592
# rmse_mbar,0.027680144196544274
# ideal_slope_mbar_per_lpm,0.0233407903111793
# hydraulic_resistance_scale,1.9517119663713418
