simulation_id,phase,base_rmse_mbar,augmented_rmse_mbar,base_bias_mbar,augmented_bias_mbar,base_final_error_mbar,augmented_final_error_mbar
E67,heating_train,1.0011682183906707,0.28213711007667025,-0.9182888467363117,0.05146007213942631,-1.2358389858213705,-0.1858428150136775
E69,heating_train,0.4165611619496768,0.22515134355654154,-0.3679091992728146,0.17392106374410896,-0.545240448066869,0.03648681478242932
E71,heating_train,0.21901318270669873,0.18914524645682126,-0.14278896988278986,0.12668529941041531,-0.29409204296542424,-0.004723713120955875
E72,heating_train,1.0340245561237207,0.3063684526987487,-0.9539399643996276,-0.06986833568241946,-1.289440104897039,-0.35254948037980105
E74,heating_train,0.41786744342344173,0.1763204562539454,-0.3631888618755023,-0.052062394166859614,-0.5484338610088614,-0.21404150603369754
E76,heating_train,0.13464443893059516,0.07159878099642222,-0.11058434316571362,-0.025585964276526447,-0.19539511758468814,-0.10300055398733345
E77,heating_train,0.39293867676750877,0.12253772714669824,-0.35928646718964286,-0.052855749798250494,-0.5134463330575517,-0.17104187133959758
E79,heating_train,0.22668007247778632,0.09798694747077354,-0.20410936673336702,-0.06067058398897983,-0.2913044678497543,-0.13317992124576106
E81,heating_train,0.11511070399662557,0.06572867871278965,-0.10428206452726108,-0.051814993696786396,-0.1508670826034673,-0.0923914495642515
E68,heating_validation,0.5869592025705433,0.32640880948452267,-0.4987587781951788,0.22661166409681577,-0.7763517790365002,-0.0005757856521380056
E70,heating_validation,0.36757881092932815,0.2244386737447738,-0.2930426576394887,0.1329822023002172,-0.49486205397061,-0.041074108582288105
E73,heating_validation,0.7480758345969738,0.2633635182450015,-0.6843512666859094,-0.12548461109201597,-0.9494063336329513,-0.34561679577511484
E75,heating_validation,0.2666004320102451,0.1261409089781434,-0.2222882207889647,-0.02661240695840833,-0.35662197338169876,-0.14522107976698573
E78,heating_validation,0.31030255540817536,0.12860383595622993,-0.28149719555195735,-0.07906729838192748,-0.39050139507403403,-0.1691865938107029
E80,heating_validation,0.18416265296447343,0.09001034583198016,-0.16470333445739926,-0.06077558781553135,-0.2339905513652517,-0.11922963381373752
C69,cooling_validation,0.30081567430424694,0.13991564469158424,-0.24124591187471806,-0.1219602563255705,-0.05704024053449646,-0.041278570832881036
C80,cooling_validation,0.12647077885335284,0.09372411526554356,-0.11061563668295411,-0.08642128805777723,-0.042253936395150904,-0.03941005765455047
C81,cooling_validation,0.06712939197801651,0.0537321206884206,-0.051658775626345695,-0.04349785715813986,-0.004697634903156278,-0.004898886518929169
