simulation_id,phase,flow_t0_lpm,dp1_t0_observed_mbar,dp1_t0_model_mbar,dp1_final_observed_mbar,dp1_final_model_mbar,velocity_t0_mean_m_s,velocity_final_mean_m_s
E67,heating,15.279999999999998,0.146,0.07929917945900467,2.712,1.7397268584757661,1.1490048712503256,2.2819561790655047
E68,heating,12.492,-0.066,-0.0469814308149491,2.004,1.3811839897603888,0.9395999498206881,1.9035942735256441
E69,heating,10.51,-0.026,-0.12583373741137538,1.542,1.0774597855566368,0.8008891957087572,1.6070085893199813
E70,heating,9.093,-0.227,-0.2012280421310862,1.314,0.856792673607207,0.6840312078199761,1.3949284201837369
E71,heating,7.13,-0.303,-0.2898488914651398,0.825,0.5239685307417964,0.5368639815555688,1.0851916312088412
E72,heating,19.503,0.255,0.2747526054501419,2.485,1.492483676769948,1.4700896615505687,2.311097677984697
E73,heating,13.164,0.024,-0.009174893644880333,1.827,1.0596791113547654,0.9969408635486616,1.7582912432486688
E74,heating,9.025,-0.229,-0.20318777771196295,1.071,0.5915826788042443,0.6799695397711675,1.2374151104886078
E75,heating,6.941,-0.301,-0.2980069689495578,0.651,0.3157305901355012,0.5230439231965925,0.9530234997498005
E76,heating,4.519,-0.379,-0.40844065994157114,0.174,-0.032287215912869094,0.3404466990354207,0.6070202090532156
E77,heating,13.844999999999999,0.062,0.021736368183597476,0.978,0.6220078321760066,1.04815263000798,1.5118042423777578
E78,heating,10.011000000000001,-0.165,-0.1572285687551016,0.637,0.35636597247933355,0.7552391328792363,1.1442638009180464
E79,heating,8.031,-0.221,-0.24422364692184362,0.403,0.18954429867868827,0.6090218029495663,0.9343479616977929
E80,heating,6.605,-0.296,-0.3127717109708918,0.238,0.05721727965577683,0.49823061558498366,0.7745030276982594
E81,heating,4.518,-0.363,-0.4067738893529875,-0.023,-0.15345456961760634,0.34196659068954316,0.5306666278867648
C69,cooling,10.497000000000002,1.54,0.7925130999166142,-0.058,-0.11224821548118702,1.4347662715528455,0.812192465982897
C80,cooling,6.603000000000001,0.241,-0.0461606906301385,-0.265,-0.3068647588596596,0.7027265076348351,0.5029485712227192
C81,cooling,4.526,-0.006,-0.2367873729916793,-0.405,-0.4096520051614096,0.47374065061321113,0.33952056987120444
