index,name,value,lower,upper,normalized_bound_distance,near_bound
1,A_Nu,0.0012373910223475717,1.0e-5,0.1,0.01227513773724944,false
3,k_scale_r,0.1806854888787219,0.005,0.3,0.4044559699026376,false
4,k_scale_z,0.2,0.2,2.0,0.0,true
7,scale_456,1.0506724963245677,0.5,2.2,0.32392499783798095,false
8,scale_304,1.051748201315345,0.5,2.2,0.3245577654796147,false
9,scale_256,0.6212979097169832,0.3,1.5,0.267748258097486,false
10,beta_rad,102.89377254922604,20.0,1000.0,0.0845854821930878,false
12,beta_opt,21.291389440034706,10.0,300.0,0.03893582565529209,false
