simulation_id,phase,mid_model_K,mid_experiment_K,mid_sign_correct,deep_model_K,deep_experiment_K,deep_sign_correct
E67,heating_train,-1.2675200787678023,24.437000000000012,false,-0.7821069220331083,53.059999999999945,false
E69,heating_train,-1.9252633690409766,26.35200000000009,false,-1.0912525761657434,43.918000000000006,false
E71,heating_train,-2.7154588142361717,25.041999999999916,false,-1.4484791418112763,35.34699999999998,false
E72,heating_train,-0.5696651148455203,26.787000000000035,false,-0.37980626725811817,49.79000000000008,false
E74,heating_train,-1.2663856485388578,27.01800000000003,false,-0.7250946625624692,36.19900000000007,false
E76,heating_train,-2.1731884921614437,23.119000000000028,false,-1.142538208099495,24.84999999999991,false
E77,heating_train,-0.30097971870617357,20.920999999999935,false,-0.20447489531341034,30.572000000000003,false
E79,heating_train,-0.5281465294474401,22.04499999999996,false,-0.32229617110226627,26.559000000000083,false
E81,heating_train,-0.8798483870114069,21.39800000000014,false,-0.48949599111097086,21.208999999999946,false
E68,heating_validation,-1.6004944495107338,26.7890000000001,false,-0.9414425045285952,48.652000000000044,false
E70,heating_validation,-2.2133790738071184,26.552000000000135,false,-1.2218257645798758,40.690000000000055,false
E73,heating_validation,-0.8309813607322667,26.93100000000004,false,-0.5168815064006367,44.360000000000014,false
E75,heating_validation,-1.619459870584933,25.510999999999967,false,-0.8875998149528641,31.284999999999968,false
E78,heating_validation,-0.4202576081090683,22.18399999999997,false,-0.26743368389941224,28.388000000000034,false
E80,heating_validation,-0.6410707191248548,22.118000000000052,false,-0.3774524064160687,24.714999999999918,false
