parameter,A_Nu,k_scale_r,k_scale_z,scale_456,scale_304,scale_256,beta_rad,beta_opt
A_Nu,1.000000000000001,-0.4473268970432415,0.12458825343027484,-0.5004188627036492,-0.3055708394025723,-0.4989249438232205,0.16391604819255753,-0.5688664826240935
k_scale_r,-0.4473268970432415,1.0000000000000007,-0.47426448606013905,0.2609779918511088,0.07359948975626229,0.14827346867435146,0.365149332420015,0.6559901035514583
k_scale_z,0.12458825343027484,-0.47426448606013905,1.000000000000001,0.08789808515821596,0.13843264621882737,-0.018871197067243696,-0.7575972736518108,-0.7383525686164693
scale_456,-0.5004188627036492,0.2609779918511088,0.08789808515821596,0.9999999999999998,0.0,0.0,-0.36539664703671904,0.24952502141515884
scale_304,-0.3055708394025723,0.07359948975626229,0.13843264621882737,0.0,1.0,0.0,-0.3558709537694022,0.17698515497263523
scale_256,-0.4989249438232205,0.14827346867435146,-0.018871197067243696,0.0,0.0,0.9999999999999998,-0.0657677246837354,0.4077057045657938
beta_rad,0.16391604819255753,0.365149332420015,-0.7575972736518108,-0.36539664703671904,-0.3558709537694022,-0.0657677246837354,1.0000000000000009,0.4553531952933992
beta_opt,-0.5688664826240935,0.6559901035514583,-0.7383525686164693,0.24952502141515884,0.17698515497263523,0.4077057045657938,0.4553531952933992,0.9999999999999991
